timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:33:55,26.22,0.00,1.25,0.00,0.00,72.53,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,0,875,2.75,2.78,2.79,0,8407008,7490980,47.12,103468,4252112,5822060,36.62,3659704,3541320,333736,lo,19.00,19.00,1.72,1.72,0.00,0.00,0.00,0.00,0.00,4.00,33757.00,0.00,1063.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,9048.00
12:33:56,12.31,0.00,1.63,0.00,0.00,86.06,4.00,0.00,144.00,36.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,144.00,4,871,2.69,2.77,2.79,0,8446440,7451548,46.87,103468,4252112,5744056,36.13,3620344,3541320,333736,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,72.00,37564.00,0.00,43723.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,65.00,7784.00
12:33:57,30.79,0.00,1.00,0.00,0.00,68.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,895,2.69,2.77,2.79,0,8356212,7541776,47.44,103468,4252112,5819592,36.61,3710216,3541316,333740,lo,8.00,8.00,1.29,1.29,0.00,0.00,0.00,0.00,0.00,0.00,23116.00,0.00,953.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,8632.00
12:33:58,61.31,0.00,2.40,0.13,0.00,36.16,203.00,0.00,18152.00,89.42,1.38,6.82,0.10,2.00,203.00,0.00,203.00,0.00,18152.00,6,893,2.69,2.77,2.79,0,8499964,7398024,46.53,103476,4252088,5626476,35.39,3567744,3541280,324680,lo,55.00,55.00,12.55,12.55,0.00,0.00,0.00,0.00,0.00,9076.00,70174.00,0.00,106295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,12474.00
12:33:59,48.74,0.00,1.89,0.00,0.00,49.37,9.00,0.00,152.00,16.89,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,152.00,2,922,2.69,2.77,2.79,0,8354220,7543768,47.45,103476,4251532,5764532,36.26,3712728,3540916,324456,lo,128.00,128.00,125.75,125.75,0.00,0.00,0.00,0.00,0.00,76.00,38840.00,0.00,1431.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,11152.00
12:34:00,17.57,0.00,2.76,5.02,0.00,74.65,277.00,0.00,112648.00,406.67,57.64,156.87,1.72,47.60,277.00,0.00,277.00,0.00,112648.00,1,934,2.69,2.77,2.79,0,8147600,7750388,48.75,103476,4393540,5826968,36.65,3837264,3617284,390684,lo,2069.00,2069.00,76780.51,76780.51,0.00,0.00,0.00,0.00,0.00,76620.00,15120.00,0.00,13851.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,18775.00
12:34:01,42.34,0.00,1.62,0.00,0.00,56.04,98.00,0.00,40712.00,415.43,8.15,228.00,1.55,15.20,98.00,0.00,98.00,0.00,40712.00,9,939,3.35,2.91,2.83,0,7980092,7917896,49.80,103476,4404932,5977096,37.60,4003904,3617656,401108,lo,933.00,933.00,22995.02,22995.02,0.00,0.00,0.00,0.00,0.00,60.00,43220.00,0.00,4332.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,14432.00
12:34:02,91.71,0.00,1.63,0.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,939,3.35,2.91,2.83,0,7941568,7956420,50.05,103476,4404932,5977096,37.60,4039456,3617580,401108,lo,2579.00,2579.00,90041.86,90041.86,0.00,0.00,0.00,0.00,0.00,0.00,9318.00,0.00,717.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,9585.00
12:34:03,92.40,0.00,2.41,0.00,0.00,5.20,11.00,0.00,680.00,61.82,0.02,1.82,0.36,0.40,6.00,0.00,6.00,0.00,136.00,8,940,3.35,2.91,2.83,0,7944828,7953160,50.03,103488,4404920,5977096,37.60,4036056,3617556,401108,lo,5819.00,5819.00,210928.86,210928.86,0.00,0.00,0.00,0.00,0.00,344.00,537.00,0.00,2511.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,9988.00
12:34:04,43.55,0.00,2.00,0.13,0.00,54.32,50.00,0.00,264.00,5.28,0.01,0.24,0.24,1.20,55.00,0.00,55.00,0.00,808.00,0,925,3.35,2.91,2.83,0,7974784,7923204,49.84,103492,4328712,6119316,38.49,4010988,3617608,401308,lo,546.00,546.00,213.38,213.38,0.00,0.00,0.00,0.00,0.00,128.00,15297.00,0.00,22277.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,91.00,18384.00
