timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:52:56,36.68,0.00,2.51,0.25,0.00,60.55,33.00,0.00,160.00,4.85,0.01,0.24,0.24,0.80,33.00,0.00,33.00,0.00,160.00,0,663,1.97,2.02,2.14,0,2756808,5142220,65.10,34040,2749068,3810620,48.24,3069256,1882064,156996,lo,131.00,131.00,28.40,28.40,0.00,0.00,0.00,0.00,0.00,84.00,13011.00,0.00,100287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,5109.00
20:52:57,59.40,0.00,3.76,0.00,0.00,36.84,2.00,0.00,72.00,36.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,72.00,3,660,1.97,2.02,2.14,0,2812948,5086080,64.39,34048,2632216,3854924,48.80,3123904,1771744,119296,lo,6.00,6.00,3.40,3.40,0.00,0.00,0.00,0.00,0.00,36.00,30355.00,0.00,43298.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,5922.00
20:52:58,62.44,0.00,1.49,0.25,0.00,35.82,16.00,0.00,896.00,56.00,0.03,1.75,0.25,0.40,10.00,0.00,10.00,0.00,752.00,3,660,2.06,2.04,2.14,0,2754844,5144184,65.12,34048,2632068,3927864,49.73,3183384,1771628,119168,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,14978.00,0.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3599.00
20:52:59,47.98,0.00,2.27,1.01,0.00,48.74,123.00,0.00,2296.00,18.67,0.05,0.42,0.42,5.20,129.00,0.00,129.00,0.00,2440.00,1,667,2.06,2.04,2.14,0,2656772,5242256,66.37,34320,2632068,3956184,50.08,3281324,1771428,119232,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,1596.00,24546.00,0.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4292.00
20:53:00,71.50,0.00,1.50,0.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,667,2.06,2.04,2.14,0,2620192,5278836,66.83,34320,2632068,3972336,50.29,3317452,1771428,119212,lo,6.00,6.00,1.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,10263.00,0.00,1340.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3362.00
20:53:01,67.91,0.00,2.99,0.25,0.00,28.86,6.00,8.00,80.00,14.67,0.00,0.00,0.00,0.00,6.00,1.00,5.00,8.00,80.00,4,635,2.06,2.04,2.14,0,2951616,4947412,62.63,34320,2631444,3398340,43.02,2988220,1771348,118588,lo,51.00,51.00,5.83,5.83,0.00,0.00,0.00,0.00,4.00,40.00,17672.00,0.00,100672.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3114.00
20:53:02,33.58,0.00,0.75,0.00,0.00,65.66,8.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,32.00,1,637,2.06,2.04,2.14,0,2961896,4937132,62.50,34320,2610900,3406276,43.12,2994836,1754560,98060,lo,51.00,51.00,236.64,236.64,0.00,0.00,0.00,0.00,0.00,16.00,4207.00,0.00,7103.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2641.00
20:53:03,58.63,0.00,1.27,0.25,0.00,39.85,14.00,0.00,56.00,4.00,0.00,0.29,0.29,0.40,12.00,0.00,12.00,0.00,48.00,4,641,2.05,2.04,2.14,0,2944720,4954308,62.72,34320,2610916,3447184,43.64,3012808,1754560,98076,lo,59.00,59.00,12.54,12.54,0.00,0.00,0.00,0.00,0.00,24.00,4785.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4390.00
20:53:04,46.85,0.00,1.01,7.30,0.00,44.84,233.00,0.00,83952.00,360.31,39.86,70.37,1.44,33.60,233.00,0.00,233.00,0.00,80560.00,0,640,2.05,2.04,2.14,1,2933464,4965564,62.86,34332,2615428,3454904,43.74,3019344,1758800,19748,lo,343.00,343.00,4492.02,4492.02,0.00,0.00,0.00,0.00,0.00,83448.00,1842.00,0.00,1538.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,4619.00
20:53:05,9.39,0.00,1.78,14.72,0.00,74.11,357.00,0.00,110544.00,309.65,43.78,188.36,1.29,46.00,359.00,0.00,359.00,0.00,113944.00,0,640,2.05,2.04,2.14,0,2921152,4977876,63.02,34332,2624908,3454904,43.74,3022724,1767428,15616,lo,882.00,882.00,9331.94,9331.94,0.00,0.00,0.00,0.00,0.00,13804.00,1629.00,0.00,3427.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.17,7836.63
20:53:06,2.51,0.00,1.26,0.25,0.00,95.98,72.00,0.00,304.00,4.22,0.02,0.33,0.33,2.40,72.00,0.00,72.00,0.00,304.00,0,640,2.05,2.04,2.14,0,2918404,4980624,63.05,34332,2627076,3454904,43.74,3023548,1769708,17784,lo,346.00,346.00,2346.71,2346.71,0.00,0.00,0.00,0.00,0.00,152.00,557.00,0.00,1225.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,4105.00
20:53:07,0.75,0.00,0.50,0.25,0.00,98.50,32.00,0.00,128.00,4.00,0.01,0.25,0.25,0.80,32.00,0.00,32.00,0.00,128.00,0,640,2.05,2.04,2.14,0,2916928,4982100,63.07,34332,2628032,3454904,43.74,3023972,1770520,18740,lo,154.00,154.00,921.65,921.65,0.00,0.00,0.00,0.00,0.00,64.00,261.00,0.00,607.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,2529.00
20:53:08,3.77,0.00,0.50,0.25,0.00,95.48,56.00,0.00,240.00,4.29,0.01,0.21,0.21,1.20,56.00,0.00,56.00,0.00,240.00,0,640,2.05,2.04,2.14,0,2909492,4989536,63.17,34332,2634896,3454904,43.74,3024928,1777080,25604,lo,443.00,443.00,6873.34,6873.34,0.00,0.00,0.00,0.00,0.00,120.00,450.00,0.00,2216.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,3556.00
20:53:09,4.26,0.00,0.75,0.50,0.00,94.49,85.00,0.00,824.00,9.69,0.02,0.19,0.19,1.60,85.00,0.00,85.00,0.00,824.00,0,640,2.05,2.04,2.14,0,2899452,4999576,63.29,34336,2644476,3454904,43.74,3026284,1785924,35308,lo,654.00,654.00,9334.06,9334.06,0.00,0.00,0.00,0.00,0.00,412.00,589.00,0.00,2992.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,3871.00
