timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:42:54,30.38,0.00,2.03,0.00,0.00,67.59,100.00,0.00,12496.00,124.96,1.18,7.72,0.16,1.60,136.00,0.00,136.00,0.00,16896.00,6,773,2.69,2.73,3.00,0,977960,6921068,87.62,126692,3727764,4931380,62.43,3701520,2979088,150924,lo,17.00,17.00,1.37,1.37,0.00,0.00,0.00,0.00,0.00,40.00,22699.00,0.00,35391.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,6079.00
12:42:55,46.87,0.00,1.50,0.50,0.00,51.13,36.00,0.00,4400.00,122.22,0.13,14.89,0.33,1.20,0.00,0.00,0.00,0.00,0.00,1,774,2.69,2.73,3.00,0,956360,6942668,87.89,126692,3672772,5053340,63.97,3774800,2927344,150956,lo,23.00,23.00,3.74,3.74,0.00,0.00,0.00,0.00,0.00,8408.00,19924.00,0.00,14418.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5281.00
12:42:56,32.75,0.00,3.02,0.00,0.00,64.23,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,3,761,2.55,2.70,2.99,0,997032,6901996,87.38,126692,3672808,4981792,63.07,3736088,2927144,150764,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,72.00,35065.00,0.00,42774.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,7084.00
12:42:57,54.25,0.00,2.50,0.00,0.00,43.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,758,2.55,2.70,2.99,0,1299064,6599964,83.55,126692,3672700,4444320,56.26,3435568,2926916,150756,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,0.00,20050.00,0.00,95165.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,6617.00
12:42:58,87.53,0.00,5.49,0.00,0.00,6.98,9.00,0.00,40.00,4.44,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,40.00,4,791,2.55,2.70,2.99,0,1142396,6756632,85.54,126692,3622716,4745160,60.07,3609364,2910448,151016,lo,1539.00,1539.00,32183.58,32183.58,0.00,0.00,0.00,0.00,0.00,20.00,53874.00,0.00,30338.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,9956.00
12:42:59,90.23,0.00,2.26,0.00,0.00,7.52,9.00,40.00,760.00,88.89,0.00,0.00,0.00,0.00,9.00,2.00,7.00,40.00,760.00,6,798,2.55,2.70,2.99,0,1058228,6840800,86.60,126696,3622748,4901604,62.05,3693408,2910472,151068,lo,3.00,3.00,0.54,0.54,0.00,0.00,0.00,0.00,20.00,60.00,21524.00,0.00,278.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5925.00
12:43:00,70.56,0.00,6.60,2.28,0.00,20.56,379.00,29368.00,20736.00,132.20,2.53,3.57,0.40,15.20,387.00,288.00,99.00,29368.00,22528.00,3,819,2.55,2.70,2.99,1,801664,7097364,89.85,126696,3713920,5049856,63.93,3869892,2986920,202112,lo,2270.00,2270.00,76768.56,76768.56,0.00,0.00,0.00,0.00,14684.00,16704.00,40565.00,0.00,12881.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,20447.00
12:43:01,39.60,0.00,3.51,8.77,0.00,48.12,418.00,0.00,132616.00,317.26,58.08,141.78,1.34,56.00,410.00,0.00,410.00,0.00,130824.00,2,822,2.43,2.68,2.98,0,654692,7244336,91.71,126696,3790756,5232960,66.25,4017696,2987356,227740,lo,55.00,55.00,31.66,31.66,0.00,0.00,0.00,0.00,0.00,60292.00,26480.00,0.00,8238.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,6371.00
12:43:02,82.03,0.00,2.03,0.00,0.00,15.95,210.00,104.00,17248.00,82.63,1.33,6.34,0.10,2.00,210.00,9.00,201.00,104.00,17248.00,6,826,2.43,2.68,2.98,0,611156,7287872,92.26,126696,3790816,5232960,66.25,4060100,2987248,219064,lo,567.00,567.00,14166.34,14166.34,0.00,0.00,0.00,0.00,52.00,8624.00,11310.00,0.00,376.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,7971.00
12:43:03,97.24,0.00,1.01,0.00,0.00,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,825,2.43,2.68,2.98,0,567984,7331044,92.81,126696,3790876,5241888,66.36,4102932,2987264,218936,lo,819.00,819.00,27537.07,27537.07,0.00,0.00,0.00,0.00,0.00,0.00,12036.00,0.00,1798.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5068.00
