timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:49:36,91.18,0.00,3.02,0.00,0.00,5.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,802,2.61,2.59,2.52,0,2689404,5209624,65.95,87248,2293252,4764200,60.31,3314460,1716776,77336,lo,86.00,86.00,10.99,10.99,0.00,0.00,0.00,0.00,0.00,0.00,34747.00,0.00,1077.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,4679.00
11:49:37,57.50,0.00,1.50,5.50,0.00,35.50,685.00,0.00,13160.00,19.21,0.32,0.46,0.40,27.20,685.00,0.00,685.00,0.00,13160.00,3,807,2.61,2.59,2.52,0,2622284,5276744,66.80,87864,2294844,4771956,60.41,3379956,1718184,77352,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,6580.00,20026.00,0.00,3796.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.95,7810.89
11:49:38,68.51,0.00,1.01,0.25,0.00,30.23,40.00,0.00,1072.00,26.80,0.00,0.10,0.10,0.40,48.00,0.00,48.00,0.00,1184.00,3,807,2.56,2.58,2.51,0,2592524,5306504,67.18,87900,2295176,4861688,61.55,3410364,1718268,77416,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,512.00,7958.00,0.00,258.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3889.00
11:49:39,74.69,0.00,1.25,5.01,0.00,19.05,641.00,0.00,11288.00,17.61,0.22,0.34,0.34,21.60,638.00,0.00,638.00,0.00,11280.00,1,806,2.56,2.58,2.51,0,2590748,5308280,67.20,88544,2296588,4869448,61.65,3410332,1718600,78460,lo,9.00,9.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,5668.00,1367.00,0.00,1854.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,7336.00
11:49:40,50.88,0.00,1.25,1.75,0.00,46.12,221.00,0.00,4384.00,19.84,0.09,0.40,0.33,7.20,218.00,0.00,218.00,0.00,4288.00,3,810,2.56,2.58,2.51,0,2575516,5323512,67.39,88740,2297100,4886008,61.86,3425136,1718712,77948,lo,29.00,29.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,2192.00,4175.00,0.00,726.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5361.00
11:49:41,42.28,0.00,0.51,0.00,0.00,57.22,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,3,808,2.56,2.58,2.51,0,2562916,5336112,67.55,88740,2297108,4909256,62.15,3438948,1718712,77956,lo,23.00,23.00,3.16,3.16,0.00,0.00,0.00,0.00,0.00,8.00,4815.00,0.00,1514.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,6136.00
11:49:42,71.57,0.00,1.50,0.25,0.00,26.68,72.00,0.00,1208.00,16.78,0.04,0.56,0.50,3.60,72.00,0.00,72.00,0.00,1208.00,3,806,2.56,2.58,2.51,0,2547776,5351252,67.75,88836,2297024,4909256,62.15,3453636,1718716,77976,lo,58.00,58.00,8.55,8.55,0.00,0.00,0.00,0.00,0.00,604.00,3848.00,0.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5024.00
11:49:43,59.25,0.00,3.50,0.00,0.00,37.25,60.00,0.00,944.00,15.73,0.00,0.07,0.07,0.40,60.00,0.00,60.00,0.00,944.00,2,811,2.43,2.55,2.50,0,2444832,5454196,69.05,88836,2345340,4995224,63.24,3506592,1766512,125648,lo,1353.00,1353.00,50836.80,50836.80,0.00,0.00,0.00,0.00,0.00,472.00,13534.00,0.00,8335.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,12050.00
11:49:44,39.09,0.00,5.33,5.33,0.00,50.25,215.00,0.00,153352.00,713.27,53.37,248.24,2.92,62.80,215.00,0.00,215.00,0.00,153352.00,1,813,2.43,2.55,2.50,0,2252524,5646504,71.48,88840,2450428,5169924,65.45,3669080,1795324,154060,lo,733.00,733.00,25998.45,25998.45,0.00,0.00,0.00,0.00,0.00,76676.00,22084.00,0.00,5221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,9647.00
11:49:45,72.98,0.00,2.53,0.00,0.00,24.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,820,2.43,2.55,2.50,0,2161628,5737400,72.63,88840,2450488,5219396,66.08,3759148,1795272,154060,lo,112.00,112.00,108.71,108.71,0.00,0.00,0.00,0.00,0.00,0.00,22783.00,0.00,134.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,5453.00
