timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:20:10,48.25,0.00,3.00,0.00,0.00,48.75,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,2,737,3.31,3.41,3.15,0,1304040,6594988,83.49,117644,3891948,4283240,54.22,3153616,3204552,334664,lo,9.00,9.00,2.27,2.27,0.00,0.00,0.00,0.00,0.00,40.00,28842.00,0.00,35440.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,6473.00
12:20:11,25.76,0.00,3.03,0.00,0.00,71.21,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,3,736,3.31,3.41,3.15,0,1366984,6532044,82.69,117644,3891948,4234568,53.61,3090196,3204552,334668,lo,17.00,17.00,1.58,1.58,0.00,0.00,0.00,0.00,0.00,72.00,29687.00,0.00,42369.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,60.00,5055.00
12:20:12,50.00,0.00,3.71,6.68,0.00,39.60,200.00,0.00,141408.00,707.04,75.63,260.88,3.04,60.80,239.00,0.00,239.00,0.00,156832.00,2,741,3.31,3.41,3.15,2,1271592,6627436,83.90,117648,3891944,4357808,55.17,3185052,3204540,212808,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,106076.00,25535.00,0.00,446.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5287.00
12:20:13,48.50,0.00,3.25,31.00,0.00,17.25,390.00,0.00,219248.00,562.17,105.47,330.57,2.54,99.20,352.00,0.00,352.00,0.00,203832.00,4,786,3.31,3.41,3.15,0,1479216,6419812,81.27,117648,3577048,4559896,57.73,3282848,2906904,692,lo,38.00,38.00,11.42,11.42,0.00,0.00,0.00,0.00,0.00,73516.83,27644.55,0.00,80493.07,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.00,7122.00
12:20:14,93.00,0.00,3.75,0.00,0.00,3.25,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,790,3.31,3.41,3.15,0,1334304,6564724,83.11,117648,3577024,4707664,59.60,3428184,2906796,480,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,4.00,40004.00,0.00,2055.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,6097.00
12:20:15,87.22,0.00,2.76,0.00,0.00,10.03,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,3,807,3.44,3.44,3.16,0,1209164,6689864,84.69,117648,3577028,4929260,62.40,3552556,2906796,484,lo,53.00,53.00,10.14,10.14,0.00,0.00,0.00,0.00,0.00,60.00,31760.00,0.00,429.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,5337.00
12:20:16,41.41,0.00,5.05,10.10,0.00,43.43,273.00,0.00,112640.00,412.60,57.46,158.45,1.73,47.20,289.00,0.00,289.00,0.00,119272.00,1,817,3.44,3.44,3.16,0,999084,6899944,87.35,117648,3729968,4996080,63.25,3684136,2983240,76888,lo,2072.00,2072.00,76752.27,76752.27,0.00,0.00,0.00,0.00,0.00,76616.00,19142.00,0.00,19139.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,14666.00
12:20:17,61.46,0.00,3.27,0.00,0.00,35.26,100.00,0.00,40712.00,407.12,8.56,227.56,1.52,15.20,89.00,0.00,89.00,0.00,34536.00,2,823,3.44,3.44,3.16,0,874828,7024200,88.92,117656,3730384,5091660,64.46,3809172,2983392,77112,lo,68.00,68.00,34.05,34.05,0.00,0.00,0.00,0.00,0.00,60.00,32028.00,0.00,256.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,6119.00
12:20:18,86.80,0.00,5.58,0.00,0.00,7.61,5.00,0.00,456.00,91.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,829,3.44,3.44,3.16,0,833944,7065084,89.44,117656,3730392,5109008,64.68,3847936,2983336,77200,lo,7350.00,7350.00,268373.28,268373.28,0.00,0.00,0.00,0.00,0.00,228.00,10671.00,0.00,1713.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,9029.00
12:20:19,84.34,0.00,3.79,0.00,0.00,11.87,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,6,828,3.44,3.44,3.16,0,786740,7112288,90.04,117656,3761036,5117320,64.78,3871556,3006556,107844,lo,3485.00,3485.00,126141.37,126141.37,0.00,0.00,0.00,0.00,0.00,4.00,7956.00,0.00,4098.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,7946.00
12:20:20,87.44,0.00,9.55,0.00,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,828,3.49,3.45,3.16,0,663944,7235084,91.59,117656,3879692,5117320,64.78,3881024,3117080,226500,lo,5953.00,5953.00,217841.23,217841.23,0.00,0.00,0.00,0.00,0.00,0.00,1638.00,0.00,22308.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6476.00
12:20:21,82.74,0.00,5.58,0.00,0.00,11.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,834,3.49,3.45,3.16,0,514328,7384700,93.49,117656,3900940,5232292,66.24,4010912,3137568,247748,lo,606.00,606.00,18913.18,18913.18,0.00,0.00,0.00,0.00,0.00,0.00,34575.00,0.00,21958.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,5685.00
