timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:38:31,25.75,0.00,1.50,0.12,0.00,72.62,6.00,0.00,600.00,100.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,600.00,0,875,2.69,2.76,2.58,0,22906044,9507008,29.33,107952,5673168,6887132,21.25,4258492,4894096,316456,lo,22.00,22.00,2.47,2.47,0.00,0.00,0.00,0.00,0.00,300.00,43499.00,0.00,538.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,7948.00
12:38:32,15.83,0.00,1.63,0.00,0.00,82.54,2.00,0.00,72.00,36.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,72.00,5,872,2.63,2.75,2.58,0,22996108,9416944,29.05,107952,5674132,6876736,21.22,4166468,4895012,317460,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,36.00,32375.00,0.00,53374.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,8570.00
12:38:33,32.74,0.00,0.89,0.00,0.00,66.37,6.00,0.00,24.00,4.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,24.00,4,874,2.63,2.75,2.58,0,22855760,9557292,29.49,107952,5674144,6757432,20.85,4306492,4895012,317472,lo,1621.00,1621.00,51604.69,51604.69,0.00,0.00,0.00,0.00,0.00,12.00,35937.00,0.00,977.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,9346.00
12:38:34,23.31,0.00,1.63,0.13,0.00,74.94,109.00,0.00,1040.00,9.54,0.00,0.04,0.04,0.40,109.00,0.00,109.00,0.00,1040.00,1,843,2.63,2.75,2.58,0,23594080,8818972,27.21,107952,5359512,5959092,18.38,3875740,4596932,2220,lo,246.00,246.00,425.70,425.70,0.00,0.00,0.00,0.00,0.00,520.00,15992.00,0.00,201253.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,7892.00
12:38:35,20.45,0.00,2.13,0.00,0.00,77.42,13.00,0.00,56.00,4.31,0.00,0.31,0.31,0.40,13.00,0.00,13.00,0.00,56.00,2,879,2.63,2.75,2.58,0,23826712,8586340,26.49,107952,5034500,6562876,20.25,3973848,4272340,2824,lo,253.00,253.00,706.12,706.12,0.00,0.00,0.00,0.00,0.00,28.00,29728.00,0.00,88188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,102.00,11756.00
12:38:36,30.58,0.00,1.00,0.00,0.00,68.42,9.00,0.00,984.00,109.33,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,984.00,2,883,2.63,2.75,2.58,0,23697240,8715812,26.89,107956,5034492,6575124,20.29,4104376,4272220,3256,lo,64.00,64.00,8.11,8.11,0.00,0.00,0.00,0.00,0.00,492.00,33148.00,0.00,376.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6926.00
12:38:37,44.65,0.00,1.87,0.00,0.00,53.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,894,2.66,2.75,2.58,0,23507948,8905104,27.47,107956,5034508,6744132,20.81,4293804,4272216,3296,lo,30.00,30.00,2.90,2.90,0.00,0.00,0.00,0.00,0.00,0.00,53092.00,0.00,5673.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,6113.00
12:38:38,20.55,0.00,0.25,0.00,0.00,79.20,10.00,0.00,40.00,4.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,40.00,0,942,2.66,2.75,2.58,0,23489324,8923728,27.53,107956,5034644,6776920,20.91,4311024,4272336,3432,lo,66.00,66.00,128.41,128.41,0.00,0.00,0.00,0.00,0.00,20.00,4123.00,0.00,229.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5076.00
12:38:39,0.50,0.00,0.13,0.00,0.00,99.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,941,2.66,2.75,2.58,0,23488472,8924580,27.53,107956,5034652,6776920,20.91,4311632,4272336,3440,lo,23.00,23.00,2.93,2.93,0.00,0.00,0.00,0.00,0.00,0.00,198.00,0.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3740.00
12:38:40,43.24,0.00,2.28,0.00,0.00,54.49,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,2,991,2.66,2.75,2.58,0,23314216,9098836,28.07,107956,5034864,7362988,22.72,4483720,4272488,3628,lo,79.00,79.00,13.81,13.81,0.00,0.00,0.00,0.00,0.00,8.00,49920.00,0.00,4960.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,65.00,13122.00
12:38:41,60.33,0.00,2.02,0.13,0.00,37.53,6.00,0.00,528.00,88.00,0.00,0.67,0.67,0.40,6.00,0.00,6.00,0.00,528.00,2,1007,2.66,2.75,2.58,0,23209364,9203688,28.40,107956,5035120,7299464,22.52,4587324,4272716,3892,lo,73.00,73.00,10.98,10.98,0.00,0.00,0.00,0.00,0.00,260.00,26610.00,0.00,603.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,10220.00
12:38:42,43.29,0.00,2.01,0.00,0.00,54.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1013,2.69,2.75,2.58,0,22988196,9424856,29.08,107956,5040520,7415296,22.88,4807588,4272700,9384,lo,2176.00,2176.00,78889.63,78889.63,0.00,0.00,0.00,0.00,0.00,4.00,54407.00,0.00,1232.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,7867.00
12:38:43,13.19,0.00,1.76,0.00,0.00,85.05,6.00,0.00,152.00,25.33,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,152.00,0,948,2.69,2.75,2.58,0,23404488,9008564,27.79,107956,5116072,6791144,20.95,4389552,4272352,84872,lo,114.00,114.00,39.62,39.62,0.00,0.00,0.00,0.00,0.00,76.00,2161.00,0.00,126584.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,6197.00
12:38:44,43.18,0.00,2.40,0.00,0.00,54.42,13.00,0.00,248.00,19.08,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,248.00,5,998,2.69,2.75,2.58,0,23209844,9203208,28.39,107956,5116212,7362464,22.71,4586096,4272500,84992,lo,54.00,54.00,11.17,11.17,0.00,0.00,0.00,0.00,0.00,124.00,54480.00,0.00,3288.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,66.00,13675.00
