timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:55:54,7.62,0.00,0.38,0.00,0.00,92.00,24.00,0.00,104.00,4.33,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,104.00,3,751,1.79,1.39,1.64,0,26167068,6245984,19.27,62388,2867772,5625680,17.36,4033480,1937104,150056,lo,109.00,109.00,26.02,26.02,0.00,0.00,0.00,0.00,0.00,52.00,719.00,0.00,1146.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4597.00
20:55:55,15.93,0.00,1.63,0.00,0.00,82.43,13.00,0.00,128.00,9.85,0.00,0.31,0.31,0.40,20.00,0.00,20.00,0.00,784.00,4,735,1.79,1.39,1.64,0,26527568,5885484,18.16,62396,2867852,5473168,16.89,3677352,1937164,150280,lo,34.00,34.00,4.06,4.06,0.00,0.00,0.00,0.00,0.00,64.00,37272.00,0.00,123341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,94.00,8212.00
20:55:56,37.30,0.00,1.13,0.13,0.00,61.45,7.00,0.00,656.00,93.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,735,1.81,1.40,1.64,0,26389780,6023272,18.58,62396,2867964,5489144,16.93,3814136,1937292,150576,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,328.00,34530.00,0.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5187.00
20:55:57,26.62,0.00,1.00,0.62,0.00,71.75,133.00,0.00,2448.00,18.41,0.07,0.51,0.42,5.60,133.00,0.00,133.00,0.00,2448.00,1,742,1.81,1.40,1.64,0,26448384,5964668,18.40,62612,2750856,5363188,16.55,3865916,1827044,119208,lo,8.00,8.00,3.53,3.53,0.00,0.00,0.00,0.00,0.00,1224.00,14847.00,0.00,29825.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6154.00
20:55:58,44.06,0.00,0.25,0.00,0.00,55.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,743,1.81,1.40,1.64,0,26382544,6030508,18.61,62612,2750848,5483868,16.92,3933092,1826580,119168,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,18996.00,0.00,2374.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4581.00
20:55:59,15.09,0.00,0.75,0.00,0.00,84.15,5.00,0.00,80.00,16.00,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,80.00,2,704,1.81,1.40,1.64,0,26845576,5567476,17.18,62612,2750412,4734032,14.61,3471408,1826580,118732,lo,49.00,49.00,5.49,5.49,0.00,0.00,0.00,0.00,0.00,40.00,5047.00,0.00,121672.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3147.00
20:56:00,25.09,0.00,0.62,0.00,0.00,74.28,16.00,0.00,72.00,4.50,0.02,1.00,1.00,1.60,16.00,0.00,16.00,0.00,72.00,3,711,1.81,1.40,1.64,0,26844680,5568372,17.18,62612,2729600,4782932,14.76,3491132,1809652,97932,lo,104.00,104.00,245.09,245.09,0.00,0.00,0.00,0.00,0.00,36.00,7810.00,0.00,6923.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,7300.00
20:56:01,21.08,0.00,0.88,0.25,0.00,77.79,128.00,0.00,536.00,4.19,0.03,0.22,0.22,2.80,128.00,0.00,128.00,0.00,536.00,0,710,1.66,1.38,1.63,0,26822416,5590636,17.25,62612,2737132,4782932,14.76,3504896,1816352,105472,lo,717.00,717.00,8191.69,8191.69,0.00,0.00,0.00,0.00,0.00,268.00,5251.00,0.00,3946.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,10135.00
20:56:02,0.50,0.00,0.25,0.00,0.00,99.25,23.00,0.00,840.00,36.52,0.00,0.00,0.00,0.00,23.00,0.00,23.00,0.00,840.00,0,710,1.66,1.38,1.63,0,26822556,5590496,17.25,62620,2737900,4782932,14.76,3505212,1817432,106248,lo,81.00,81.00,372.89,372.89,0.00,0.00,0.00,0.00,0.00,420.00,101.00,0.00,453.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2040.00
20:56:03,4.50,0.00,0.25,0.12,0.00,95.12,108.00,0.00,872.00,8.07,0.03,0.30,0.30,3.20,108.00,0.00,108.00,0.00,872.00,0,710,1.66,1.38,1.63,0,26813412,5599640,17.28,62620,2743668,4782932,14.76,3508936,1822144,111684,lo,541.00,541.00,5872.38,5872.38,0.00,0.00,0.00,0.00,0.00,436.00,1675.00,0.00,2268.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,5589.00
