timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:33:01,46.19,0.00,5.58,0.00,0.00,48.22,13.00,0.00,128.00,9.85,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,128.00,3,621,2.41,2.64,2.42,0,1026504,7001812,87.21,19560,4890128,3539700,44.09,4318600,2512020,1436,lo,63.00,63.00,7.54,7.54,0.00,0.00,0.00,0.00,0.00,64.00,21983.00,0.00,107616.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,5952.00
15:33:02,88.50,0.00,5.50,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,622,2.46,2.65,2.43,0,1077392,6950924,86.58,19560,4773108,3578716,44.58,4378216,2401568,1644,lo,10.00,10.00,3.62,3.62,0.00,0.00,0.00,0.00,0.00,0.00,17763.00,0.00,30312.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5184.00
15:33:03,93.00,0.00,3.00,0.00,0.00,4.00,8.00,0.00,784.00,98.00,0.02,2.00,0.50,0.40,8.00,0.00,8.00,0.00,784.00,2,622,2.46,2.65,2.43,0,1020508,7007808,87.29,19572,4773096,3662368,45.62,4434596,2401508,1816,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,392.00,14181.00,0.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4770.00
15:33:04,81.31,0.00,2.53,3.03,0.00,13.13,133.00,8.00,2464.00,18.59,0.06,0.45,0.39,5.20,133.00,1.00,132.00,8.00,2464.00,3,619,2.46,2.65,2.43,0,980940,7047376,87.78,19868,4773112,3683024,45.88,4474748,2401148,1752,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,4.00,1232.00,10291.00,0.00,537.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4870.00
15:33:05,87.31,0.00,4.06,0.00,0.00,8.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,598,2.46,2.65,2.43,0,1229444,6798872,84.69,19868,4772488,3099132,38.60,4228412,2401064,1744,lo,25.74,25.74,2.91,2.91,0.00,0.00,0.00,0.00,0.00,0.00,24219.00,0.00,86445.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,4385.00
15:33:06,93.94,0.00,1.52,0.00,0.00,4.55,8.00,0.00,32.00,4.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,32.00,3,600,2.46,2.65,2.43,0,1241560,6786756,84.54,19868,4751832,3099132,38.60,4232676,2384784,2660,lo,91.00,91.00,1127.43,1127.43,0.00,0.00,0.00,0.00,0.00,16.00,2252.00,0.00,6004.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4520.00
15:33:07,91.46,0.00,3.02,0.00,0.00,5.53,5.00,8.00,16.00,4.80,0.00,0.00,0.00,0.00,5.00,1.00,4.00,8.00,16.00,1,604,2.42,2.64,2.43,0,1206248,6822068,84.98,19868,4751840,3154748,39.30,4268240,2384788,2664,lo,32.00,32.00,3.91,3.91,0.00,0.00,0.00,0.00,4.00,8.00,10666.00,0.00,1811.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3871.00
15:33:08,68.50,0.00,1.50,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,604,2.42,2.64,2.43,0,1189756,6838560,85.18,19868,4751844,3154748,39.30,4284848,2384668,2668,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,4151.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3466.00
15:33:09,80.50,0.00,2.00,0.00,0.00,17.50,30.00,0.00,888.00,29.60,0.02,0.67,0.13,0.40,28.00,0.00,28.00,0.00,880.00,2,606,2.42,2.64,2.43,0,1172552,6855764,85.39,19880,4751860,3196656,39.82,4301824,2384640,2700,lo,63.00,63.00,12.64,12.64,0.00,0.00,0.00,0.00,0.00,444.00,4435.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4886.00
15:33:10,85.28,0.00,5.08,2.03,0.00,7.61,262.00,8.00,3376.00,12.92,0.07,0.26,0.17,4.40,254.00,1.00,253.00,8.00,3336.00,3,610,2.42,2.64,2.43,0,1150688,6877628,85.67,19888,4767336,3212340,40.01,4308512,2398916,17204,lo,1266.00,1266.00,14281.70,14281.70,0.00,0.00,0.00,0.00,4.00,1692.00,2971.00,0.00,4919.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,106.00,12358.00
15:33:11,59.70,0.00,17.91,5.47,0.00,16.92,667.00,288.00,2760.00,4.57,0.12,0.19,0.19,12.40,677.00,5.00,672.00,288.00,2808.00,3,606,2.42,2.64,2.43,0,1046656,6981660,86.96,19888,4869608,3212340,40.01,4318856,2493052,119364,lo,6474.00,6474.00,102498.32,102498.32,0.00,0.00,0.00,0.00,144.00,1376.00,3822.00,0.00,27761.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,335.00,28666.00
15:33:12,89.00,0.00,4.50,0.00,0.00,6.50,26.00,0.00,112.00,4.31,0.00,0.00,0.00,0.00,26.00,0.00,26.00,0.00,112.00,2,606,2.39,2.62,2.42,0,1019740,7008576,87.30,19888,4870108,3228156,40.21,4345964,2493428,119864,lo,1321.00,1321.00,501.76,501.76,0.00,0.00,0.00,0.00,0.00,56.00,8385.00,0.00,1903.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,12867.00
15:33:13,42.86,0.00,22.96,0.00,0.00,34.18,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,16.00,1,615,2.39,2.62,2.42,0,937140,7091176,88.33,20024,4949840,3228156,40.21,4347212,2573008,199540,lo,4597.00,4597.00,80191.38,80191.38,0.00,0.00,0.00,0.00,0.00,8.00,18499.00,0.00,20725.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,569.00,16510.00
15:33:14,53.00,0.00,20.00,0.00,0.00,27.00,3.00,0.00,120.00,40.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,120.00,2,630,2.39,2.62,2.42,0,848268,7180048,89.43,20372,4987676,3430528,42.73,4400996,2607992,236924,lo,2147.00,2147.00,37018.71,37018.71,0.00,0.00,0.00,0.00,0.00,60.00,41079.00,0.00,24940.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,490.00,13102.00
15:33:15,94.92,0.00,2.54,0.00,0.00,2.54,24.00,0.00,2776.00,115.67,0.09,3.83,0.33,0.80,24.00,0.00,24.00,0.00,2776.00,2,629,2.39,2.62,2.42,0,811956,7216360,89.89,20388,4987672,3475368,43.29,4437684,2607760,237960,lo,18.00,18.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,1388.00,9394.00,0.00,402.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5324.00
15:33:16,89.55,0.00,4.48,0.00,0.00,5.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,632,2.39,2.62,2.42,0,746748,7281568,90.70,20388,4987672,3538156,44.07,4502592,2607724,237964,lo,39.00,39.00,4.87,4.87,0.00,0.00,0.00,0.00,0.00,0.00,16437.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4088.00
15:33:17,86.36,0.00,2.53,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,644,2.44,2.63,2.43,0,673380,7354936,91.61,20388,4987676,3631004,45.23,4575796,2607720,237968,lo,37.00,37.00,4.98,4.98,0.00,0.00,0.00,0.00,0.00,0.00,18328.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,4376.00
15:33:18,90.36,0.00,2.54,0.00,0.00,7.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,684,2.44,2.63,2.43,0,641444,7386872,92.01,20388,4987684,3714360,46.27,4606752,2607696,237976,lo,20.00,20.00,2.26,2.26,0.00,0.00,0.00,0.00,0.00,0.00,7854.00,0.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4916.00
15:33:19,62.94,0.00,1.52,0.51,0.00,35.03,220.00,0.00,2416.00,10.98,0.46,2.09,0.02,0.40,220.00,0.00,220.00,0.00,2416.00,0,692,2.44,2.63,2.43,0,611096,7417220,92.39,20388,4987972,3714360,46.27,4635604,2607956,236956,lo,84.00,84.00,287.71,287.71,0.00,0.00,0.00,0.00,0.00,1208.00,8114.00,0.00,1084.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5014.00
15:33:20,21.83,0.00,0.00,0.00,0.00,78.17,3.00,0.00,248.00,82.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,248.00,0,691,2.44,2.63,2.43,0,606896,7421420,92.44,20396,4987968,3714360,46.27,4640444,2607956,236960,lo,24.00,24.00,3.95,3.95,0.00,0.00,0.00,0.00,0.00,124.00,1249.00,0.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3612.00
15:33:21,78.00,0.00,12.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,702,2.44,2.63,2.43,0,554456,7473860,93.09,20404,4988640,3831668,47.73,4690256,2608424,237352,lo,1162.00,1162.00,280.82,280.82,0.00,0.00,0.00,0.00,0.00,0.00,36523.00,0.00,17560.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,188.00,14010.00
15:33:22,91.50,0.00,8.50,0.00,0.00,0.00,2.00,0.00,16.00,8.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,16.00,5,724,2.80,2.70,2.45,0,461656,7566660,94.25,20404,4989216,4177988,52.04,4783496,2608108,237420,lo,18.00,18.00,3.52,3.52,0.00,0.00,0.00,0.00,0.00,8.00,34323.00,0.00,8395.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,73.00,6777.00
15:33:23,97.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,720,2.80,2.70,2.45,0,401876,7626440,94.99,20408,4989212,4177988,52.04,4843060,2608104,237420,lo,33.00,33.00,4.63,4.63,0.00,0.00,0.00,0.00,0.00,0.00,15191.00,0.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5537.00
15:33:24,96.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,722,2.80,2.70,2.45,0,375588,7652728,95.32,20408,4989212,4242028,52.84,4868972,2608100,237420,lo,22.00,22.00,3.65,3.65,0.00,0.00,0.00,0.00,0.00,0.00,6891.00,0.00,545.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,5917.00
15:33:25,96.48,0.00,2.51,0.00,0.00,1.01,19.00,0.00,2240.00,117.89,0.05,2.74,0.21,0.40,19.00,0.00,19.00,0.00,2240.00,7,727,2.80,2.70,2.45,0,350492,7677824,95.63,20416,4989220,4274320,53.24,4894128,2608088,238420,lo,51.00,51.00,7.64,7.64,0.00,0.00,0.00,0.00,0.00,1120.00,6357.00,0.00,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5686.00
