timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:56:53,41.21,0.00,4.02,0.00,0.00,54.77,3.00,0.00,136.00,45.33,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,136.00,1,690,3.85,3.14,1.94,0,4574232,3454084,43.02,43308,1111952,4355588,54.25,2835312,489736,1404,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,68.00,25869.00,0.00,40709.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,4713.00
13:56:54,81.91,0.00,6.03,0.00,0.00,12.06,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,3,661,3.62,3.10,1.94,0,4816892,3211424,40.00,43308,1111780,3871864,48.23,2594580,489584,1320,lo,28.00,28.00,3.19,3.19,0.00,0.00,0.00,0.00,0.00,4.00,21627.00,0.00,82160.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,5318.00
13:56:55,84.85,0.00,4.04,0.00,0.00,11.11,60.00,0.00,872.00,14.53,0.00,0.00,0.00,0.00,60.00,0.00,60.00,0.00,872.00,5,685,3.62,3.10,1.94,0,4751328,3276988,40.82,43308,1111264,3919516,48.82,2657008,489484,872,lo,52.00,52.00,281.56,281.56,0.00,0.00,0.00,0.00,0.00,436.00,16312.00,0.00,678.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,5217.00
13:56:56,88.94,0.00,7.04,0.00,0.00,4.02,8.00,0.00,632.00,79.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,632.00,4,711,3.62,3.10,1.94,0,4587332,3440984,42.86,43316,1111300,4185368,52.13,2820168,489520,1244,lo,35.00,35.00,10.79,10.79,0.00,0.00,0.00,0.00,0.00,316.00,43260.00,0.00,1661.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,5424.00
13:56:57,97.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,711,3.62,3.10,1.94,0,4527812,3500504,43.60,43316,1111316,4302060,53.59,2879800,489508,1220,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,0.00,15895.00,0.00,1275.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6798.00
13:56:58,95.48,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,717,3.62,3.10,1.94,0,4476628,3551688,44.24,43316,1111324,4376016,54.51,2930652,489508,1228,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,12898.00,0.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6126.00
13:56:59,94.00,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,726,3.65,3.12,1.95,0,4407804,3620512,45.10,43316,1111328,4478220,55.78,2998896,489508,1236,lo,89.00,89.00,11.88,11.88,0.00,0.00,0.00,0.00,0.00,0.00,19086.00,0.00,2024.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,5200.00
13:57:00,78.17,0.00,3.05,0.00,0.00,18.78,5.00,0.00,200.00,40.00,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,200.00,3,731,3.65,3.12,1.95,0,4345692,3682624,45.87,43316,1111388,4478220,55.78,3060872,489512,1200,lo,36.00,36.00,21.59,21.59,0.00,0.00,0.00,0.00,0.00,100.00,17686.00,0.00,146.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,5790.00
13:57:01,53.61,0.00,16.49,7.22,0.00,22.68,213.00,0.00,153640.00,721.31,44.14,207.25,2.72,58.00,213.00,0.00,213.00,0.00,153640.00,1,731,3.65,3.12,1.95,0,4088440,3939876,49.07,43324,1264616,4696364,58.50,3237764,566128,77820,lo,2047.00,2047.00,76746.88,76746.88,0.00,0.00,0.00,0.00,0.00,76820.00,23944.00,0.00,13827.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,16158.00
13:57:02,87.37,0.00,4.55,0.00,0.00,8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,741,3.65,3.12,1.95,0,4020776,4007540,49.92,43324,1264684,4696364,58.50,3305712,566068,77872,lo,70.00,70.00,18.95,18.95,0.00,0.00,0.00,0.00,0.00,0.00,18529.00,0.00,1835.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5774.00
13:57:03,93.43,0.00,2.02,0.00,0.00,4.55,54.00,0.00,224.00,4.15,0.01,0.22,0.22,1.20,50.00,0.00,50.00,0.00,208.00,5,748,3.65,3.12,1.95,0,4013608,4014708,50.01,43324,1264760,4727940,58.89,3312988,566052,77952,lo,473.00,473.00,256.33,256.33,0.00,0.00,0.00,0.00,0.00,124.00,2279.00,0.00,824.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.00,8224.00
13:57:04,49.74,0.00,6.15,0.51,0.00,43.59,40.00,0.00,392.00,9.80,0.02,0.40,0.40,1.60,44.00,0.00,44.00,0.00,408.00,3,662,3.68,3.13,1.96,0,4799080,3229236,40.22,43324,1188088,3818624,47.56,2535632,561580,77944,lo,212.00,212.00,48.58,48.58,0.00,0.00,0.00,0.00,0.00,184.00,19544.00,0.00,211516.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,85.00,7277.00
