timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:37:04,47.24,0.00,0.75,0.25,0.00,51.76,75.00,0.00,1712.00,22.83,0.03,0.43,0.32,2.40,75.00,0.00,75.00,0.00,1712.00,1,751,2.44,2.99,2.56,0,11514676,4641888,28.73,67756,1907660,4809536,29.77,3106568,1355448,2368,lo,52.00,52.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,856.00,4111.00,0.00,144.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,5827.00
11:37:05,67.00,0.00,3.25,0.00,0.00,29.75,26.00,0.00,576.00,22.15,0.02,0.62,0.46,1.20,26.00,0.00,26.00,0.00,576.00,2,767,2.44,2.99,2.56,0,11441460,4715104,29.18,67804,1913580,5138104,31.80,3173216,1360876,8192,lo,21.00,21.00,2.61,2.61,0.00,0.00,0.00,0.00,0.00,288.00,19992.00,0.00,2096.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,6759.00
11:37:06,43.61,0.00,7.52,0.00,0.00,48.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,767,2.44,2.99,2.56,0,11284964,4871600,30.15,67804,1969256,5216280,32.29,3263420,1415008,63868,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,22108.00,0.00,287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4979.00
11:37:07,60.96,0.00,1.76,0.00,0.00,37.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,769,2.44,2.99,2.56,0,11182724,4973840,30.79,67804,1969260,5244996,32.46,3364836,1414848,63872,lo,7.00,7.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,0.00,25492.00,0.00,344.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5387.00
11:37:08,41.10,0.00,4.51,0.00,0.00,54.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,771,2.44,2.99,2.56,0,11213592,4942972,30.59,67804,1907888,5189624,32.12,3405088,1355728,2500,lo,135.00,135.00,30.80,30.80,0.00,0.00,0.00,0.00,0.00,0.00,12689.00,0.00,20774.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4937.00
11:37:09,51.76,0.00,1.76,0.00,0.00,46.48,39.00,0.00,224.00,5.74,0.01,0.21,0.21,0.80,39.00,0.00,39.00,0.00,224.00,2,756,2.49,2.99,2.56,0,11484968,4671596,28.91,67804,1908508,4855700,30.05,3134720,1355656,3124,lo,203.00,203.00,1882.61,1882.61,0.00,0.00,0.00,0.00,0.00,112.00,5378.00,0.00,73622.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,7525.00
11:37:10,46.75,0.00,2.50,0.25,0.00,50.50,77.00,0.00,5736.00,74.49,0.24,3.12,0.31,2.40,77.00,0.00,77.00,0.00,5736.00,1,752,2.49,2.99,2.56,0,11460700,4695864,29.06,67824,1925412,4855700,30.05,3143224,1371612,22532,lo,769.00,769.00,15568.29,15568.29,0.00,0.00,0.00,0.00,0.00,2868.00,2146.00,0.00,3590.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,6044.00
11:37:11,18.80,0.00,3.51,0.25,0.00,77.44,5.00,0.00,24.00,4.80,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,24.00,2,778,2.49,2.99,2.56,0,11393228,4763336,29.48,67824,1942832,5213936,32.27,3193304,1388216,40060,lo,719.00,719.00,17421.74,17421.74,0.00,0.00,0.00,0.00,0.00,12.00,18172.00,0.00,5316.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,103.00,7266.00
11:37:12,61.46,0.00,1.76,0.00,0.00,36.78,93.00,0.00,6032.00,64.86,0.26,2.84,0.09,0.80,93.00,0.00,93.00,0.00,6032.00,3,779,2.49,2.99,2.56,0,11298600,4857964,30.07,67824,1942828,5291020,32.75,3288068,1388000,36780,lo,15.00,15.00,2.18,2.18,0.00,0.00,0.00,0.00,0.00,3016.00,23762.00,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,6558.00
11:37:13,59.60,0.00,2.74,0.00,0.00,37.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,792,2.49,2.99,2.56,0,11184072,4972492,30.78,67824,1942832,5383364,33.32,3402212,1388000,36796,lo,60.00,60.00,7.45,7.45,0.00,0.00,0.00,0.00,0.00,0.00,31214.00,0.00,1746.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5369.00
11:37:14,81.77,0.00,2.03,0.00,0.00,16.20,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,5,840,2.77,3.04,2.58,0,11098520,5058044,31.31,67824,1942840,5565600,34.45,3486956,1388000,36808,lo,29.00,29.00,4.15,4.15,0.00,0.00,0.00,0.00,0.00,4.00,22336.00,0.00,2028.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,5348.00
