timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:32:21,0.38,0.00,0.13,0.00,0.00,99.50,21.00,0.00,448.00,21.33,0.00,0.19,0.19,0.40,21.00,0.00,21.00,0.00,448.00,0,746,2.93,2.35,2.04,0,2193136,13704852,86.20,27612,10456192,4678556,29.43,7263688,6000668,2132,lo,24.00,24.00,8.88,8.88,0.00,0.00,0.00,0.00,0.00,224.00,93.00,0.00,1347.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2549.00
20:32:22,13.96,0.00,1.51,0.13,0.00,84.40,89.00,88.00,400.00,5.48,0.02,0.22,0.22,2.00,89.00,11.00,78.00,88.00,400.00,1,727,2.93,2.35,2.04,0,2544992,13352996,83.99,27656,10456372,4421028,27.81,6918348,6000508,2440,lo,396.00,396.00,79.67,79.67,0.00,0.00,0.00,0.00,44.00,200.00,23250.00,0.00,106857.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,87.00,8744.00
20:32:23,35.77,0.00,1.39,0.00,0.00,62.85,14.00,0.00,856.00,61.14,0.00,0.29,0.29,0.40,7.00,0.00,7.00,0.00,176.00,1,735,2.93,2.35,2.04,1,2417292,13480696,84.79,27668,10456348,4518456,28.42,7048340,6000536,2600,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,428.00,33999.00,0.00,1081.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,7644.00
20:32:24,27.00,0.00,1.12,0.62,0.00,71.25,138.00,0.00,2448.00,17.74,0.06,0.46,0.38,5.20,145.00,0.00,145.00,0.00,3128.00,1,743,2.93,2.35,2.04,0,2415792,13482196,84.80,27956,10338592,4515776,28.40,7159060,5889816,2636,lo,8.00,8.00,3.98,3.98,0.00,0.00,0.00,0.00,0.00,1224.00,29522.00,0.00,29661.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6460.00
20:32:25,39.92,0.00,0.75,0.00,0.00,59.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,743,3.10,2.39,2.06,0,2353544,13544444,85.20,27956,10338740,4590100,28.87,7221032,5889552,2516,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,16471.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5355.00
20:32:26,19.42,0.00,0.75,0.00,0.00,79.82,98.00,8.00,1752.00,17.96,0.01,0.12,0.04,0.40,98.00,1.00,97.00,8.00,1752.00,7,709,3.10,2.39,2.06,0,2781792,13116196,82.50,27960,10338364,3897936,24.52,6795360,5889024,1472,lo,51.00,51.00,5.85,5.85,0.00,0.00,0.00,0.00,4.00,876.00,11279.00,0.00,119481.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3641.00
20:32:27,30.29,0.00,1.25,0.00,0.00,68.46,16.00,0.00,64.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,64.00,2,713,3.10,2.39,2.06,0,3181040,12716948,79.99,27960,9915808,3972280,24.99,6816256,5467148,5272,lo,259.00,259.00,3958.96,3958.96,0.00,0.00,0.00,0.00,0.00,32.00,7068.00,0.00,122066.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,8451.00
20:32:28,19.62,0.00,1.64,0.63,0.00,78.11,248.00,0.00,1040.00,4.19,0.06,0.26,0.26,6.40,246.00,0.00,246.00,0.00,1032.00,2,712,3.10,2.39,2.06,0,3672096,12225892,76.90,27960,9422664,3980872,25.04,6770008,5025804,18224,lo,1352.00,1352.00,14713.58,14713.58,0.00,0.00,0.00,0.00,0.00,528.00,3026.00,0.00,119919.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,116.00,14768.00
20:32:29,13.52,0.00,2.38,0.63,0.00,83.48,465.00,0.00,3296.00,7.09,0.12,0.27,0.22,10.40,467.00,0.00,467.00,0.00,3304.00,0,713,3.10,2.39,2.06,0,3613712,12284276,77.27,27972,9496828,3972732,24.99,6761232,5095968,93180,lo,4712.00,4712.00,72757.97,72757.97,0.00,0.00,0.00,0.00,0.00,1640.00,5713.00,0.00,28294.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,228.00,24718.00
20:32:30,0.50,0.00,0.13,0.13,0.00,99.25,80.00,0.00,336.00,4.20,0.02,0.20,0.20,1.60,80.00,0.00,80.00,0.00,336.00,0,713,2.85,2.35,2.05,0,3610772,12287216,77.29,27972,9499452,3972732,24.99,6761700,5098452,95676,lo,387.00,387.00,2686.94,2686.94,0.00,0.00,0.00,0.00,0.00,168.00,485.00,0.00,1371.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4361.00
