timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:17:34,61.19,0.00,3.98,0.00,0.00,34.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,689,2.67,2.75,2.79,0,1182620,2716928,69.67,19256,439908,3731716,95.70,2403460,206568,11112,lo,37.00,37.00,3.50,3.50,0.00,0.00,0.00,0.00,0.00,0.00,12119.00,0.00,72655.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,2938.00
13:17:35,66.67,0.00,6.57,0.51,0.00,26.26,53.00,800.00,104.00,17.06,0.06,1.21,0.15,0.80,53.00,43.00,10.00,800.00,104.00,3,691,2.67,2.75,2.79,0,1280356,2619192,67.17,19400,389080,3699924,94.88,2353980,158904,12008,lo,49.00,49.00,120.76,120.76,0.00,0.00,0.00,0.00,400.00,52.00,26207.00,1.00,47972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,4474.00
13:17:36,85.35,0.00,3.54,0.00,0.00,11.11,6.00,0.00,24.00,4.00,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,1064.00,2,696,2.67,2.75,2.79,0,1200540,2699008,69.21,19400,389084,3812536,97.77,2433544,158840,12012,lo,41.00,41.00,67.71,67.71,0.00,0.00,0.00,0.00,0.00,532.00,19962.00,0.00,247.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2607.00
13:17:37,85.86,0.00,5.05,0.00,0.00,9.09,62.00,24.00,1208.00,19.87,0.02,0.39,0.39,2.40,43.00,3.00,40.00,24.00,168.00,1,697,2.67,2.75,2.79,0,1120268,2779280,71.27,19412,389488,3862556,99.05,2513668,158972,12532,lo,191.00,191.00,388.02,388.02,0.00,0.00,0.00,0.00,12.00,84.00,20546.00,0.00,438.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,3846.00
13:17:38,58.88,0.00,5.58,0.00,0.00,35.53,213.00,0.00,17552.00,82.40,1.47,6.91,0.08,1.60,213.00,0.00,213.00,0.00,17552.00,1,720,2.54,2.72,2.78,0,1048008,2851540,73.12,19412,389988,4020624,103.10,2584168,159392,4060,lo,161.00,161.00,378.15,378.15,0.00,0.00,0.00,0.00,0.00,8776.00,24546.00,0.00,5496.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,4307.00
13:17:39,89.95,0.00,3.52,0.00,0.00,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,720,2.54,2.72,2.78,0,1003896,2895652,74.26,19412,389984,4089676,104.88,2628140,159276,4060,lo,15.00,15.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,11871.00,0.00,386.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,3672.00
13:17:40,91.50,0.00,2.50,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,726,2.54,2.72,2.78,0,950264,2949284,75.63,19412,389984,4174512,107.05,2681804,159276,4060,lo,60.00,60.00,7.39,7.39,0.00,0.00,0.00,0.00,0.00,0.00,15533.00,0.00,1640.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2806.00
13:17:41,91.96,0.00,4.02,0.00,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,680.00,4,736,2.54,2.72,2.78,0,865072,3034476,77.82,19416,389992,4235688,108.62,2766440,159264,4068,lo,16.00,16.00,2.20,2.20,0.00,0.00,0.00,0.00,0.00,340.00,22080.00,0.00,2185.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2965.00
13:17:42,93.50,0.00,3.50,0.00,0.00,3.00,16.00,0.00,704.00,44.00,0.00,0.25,0.25,0.40,6.00,0.00,6.00,0.00,24.00,3,784,2.54,2.72,2.78,0,829476,3070072,78.73,19428,390008,4348760,111.52,2801424,159264,4384,lo,36.00,36.00,4.40,4.40,0.00,0.00,0.00,0.00,0.00,12.00,10036.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.00,4364.00
13:17:43,23.74,0.00,1.01,0.00,0.00,75.25,8.00,0.00,920.00,115.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,920.00,0,784,2.33,2.67,2.77,0,809868,3089680,79.23,19428,390140,4340948,111.32,2820908,159380,4072,lo,37.00,37.00,124.28,124.28,0.00,0.00,0.00,0.00,0.00,460.00,4359.00,0.00,2007.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,2542.00
