timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:33:42,80.10,0.00,4.48,0.00,0.00,15.42,124.00,0.00,78744.00,635.03,13.94,112.39,2.58,32.00,124.00,0.00,124.00,0.00,78744.00,0,724,3.28,3.04,2.88,0,349220,3550328,91.04,16084,1072252,4111180,105.43,2589412,841500,40208,lo,18.00,18.00,1.67,1.67,0.00,0.00,0.00,0.00,0.00,39372.00,15152.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4154.00
12:33:43,48.73,0.00,3.55,0.00,0.00,47.72,8.00,0.00,704.00,88.00,0.02,3.00,1.00,0.80,8.00,0.00,8.00,0.00,704.00,1,709,3.28,3.04,2.88,0,406880,3492668,89.57,16084,1073096,4066356,104.28,2531448,842056,41008,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,352.00,21805.00,0.00,33419.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,5514.00
12:33:44,91.04,0.00,3.98,0.00,0.00,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,689,3.28,3.04,2.88,0,630288,3269260,83.84,16096,1073128,3669840,94.11,2309736,842084,41228,lo,26.00,26.00,3.08,3.08,0.00,0.00,0.00,0.00,0.00,0.00,16033.00,0.00,70850.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,4337.00
12:33:45,90.00,0.00,5.00,0.00,0.00,5.00,14.00,0.00,56.00,4.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,56.00,2,702,3.28,3.04,2.88,0,583360,3316188,85.04,16096,1072736,3767048,96.60,2354056,841884,41384,lo,1737.00,1737.00,52778.68,52778.68,0.00,0.00,0.00,0.00,0.00,28.00,12344.00,0.00,697.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,5996.00
12:33:46,76.65,0.00,3.05,0.00,0.00,20.30,41.00,8.00,168.00,4.29,0.01,0.20,0.20,0.80,41.00,1.00,40.00,8.00,168.00,0,703,3.18,3.03,2.87,0,514432,3385116,86.81,16096,1073172,3805296,97.58,2422720,842192,41792,lo,206.00,206.00,422.27,422.27,0.00,0.00,0.00,0.00,4.00,84.00,14798.00,0.00,432.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,5641.00
12:33:47,62.63,0.00,7.07,0.00,0.00,30.30,6.00,8.00,24.00,5.33,0.00,0.00,0.00,0.00,6.00,1.00,5.00,8.00,24.00,4,726,3.18,3.03,2.87,0,462596,3436952,88.14,16100,1073752,3954368,101.41,2472984,842396,42372,lo,201.00,201.00,419.99,419.99,0.00,0.00,0.00,0.00,4.00,12.00,17602.00,0.00,3988.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,83.00,6791.00
12:33:48,92.39,0.00,3.05,0.00,0.00,4.57,7.00,0.00,720.00,102.86,0.02,3.43,0.57,0.40,7.00,0.00,7.00,0.00,720.00,3,727,3.18,3.03,2.87,0,418096,3481452,89.28,16100,1073728,4002768,102.65,2517520,842452,42336,lo,31.00,31.00,2.90,2.90,0.00,0.00,0.00,0.00,0.00,360.00,11523.00,0.00,370.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,5292.00
12:33:49,83.42,0.00,6.03,0.00,0.00,10.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,738,3.18,3.03,2.87,0,355472,3544076,90.88,16112,1073724,4099088,105.12,2580084,842432,42508,lo,60.00,60.00,7.37,7.37,0.00,0.00,0.00,0.00,0.00,0.00,16223.00,0.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,4393.00
12:33:50,94.47,0.00,4.52,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,742,3.18,3.03,2.87,0,270312,3629236,93.07,16112,1073728,4219880,108.21,2664772,842312,42516,lo,15.00,15.00,2.14,2.14,0.00,0.00,0.00,0.00,0.00,0.00,22584.00,0.00,2013.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4347.00
12:33:51,91.84,0.00,4.08,0.00,0.00,4.08,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,40.00,2,790,3.08,3.01,2.87,0,227240,3672308,94.17,16112,1073732,4276668,109.67,2706928,842296,42520,lo,69.00,69.00,128.56,128.56,0.00,0.00,0.00,0.00,0.00,20.00,10716.00,0.00,216.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5799.00
