timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:35:12,95.98,0.00,3.52,0.50,0.00,0.00,556.00,13824.00,432.00,25.64,0.16,0.30,0.29,16.00,562.00,555.00,7.00,13888.00,432.00,3,734,3.01,2.92,2.43,0,1092808,2806740,71.98,37728,595664,3715656,95.28,2402128,291528,2208,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,6916.00,216.00,15718.00,0.00,1286.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5365.00
11:35:13,95.98,0.00,3.52,0.00,0.00,0.50,105.00,2888.00,8.00,27.58,0.04,0.42,0.42,4.40,99.00,98.00,1.00,2824.00,8.00,4,737,3.01,2.92,2.43,0,1043068,2856480,73.25,37728,597108,3762764,96.49,2450904,292092,2256,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,1440.00,4.00,14786.00,0.00,900.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,5972.00
11:35:14,95.96,0.00,3.03,0.00,0.00,1.01,16.83,570.30,0.00,33.88,0.02,0.94,0.94,1.58,19.00,19.00,0.00,592.00,0.00,5,743,3.17,2.95,2.44,0,968292,2931256,75.17,37728,597464,3938508,101.00,2525708,291976,2256,lo,47.00,47.00,4.95,4.95,0.00,0.00,0.00,0.00,288.00,0.00,16518.00,0.00,238.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5306.00
11:35:15,89.90,0.00,5.56,2.02,0.00,2.53,338.00,8296.00,0.00,24.54,0.15,0.45,0.38,12.80,353.00,353.00,0.00,8624.00,0.00,2,746,3.17,2.95,2.44,0,859216,3040332,77.97,37728,601408,4021916,103.14,2631928,294484,2256,lo,55.00,55.00,8.26,8.26,0.00,0.00,0.00,0.00,4224.00,0.00,26716.00,0.00,230.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4900.00
11:35:16,82.47,0.00,3.09,9.28,0.00,5.15,617.00,4960.00,8520.00,21.85,0.29,0.47,0.42,26.00,644.00,206.00,438.00,4616.00,9256.00,1,746,3.17,2.95,2.44,1,843220,3056328,78.38,38356,605480,4029760,103.34,2645048,296896,2260,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,2404.00,4400.00,4113.00,0.00,1539.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,7145.00
11:35:17,81.12,0.00,1.53,6.63,0.00,10.71,438.00,3672.00,4848.00,19.45,0.22,0.50,0.36,15.60,394.00,136.00,258.00,3672.00,4112.00,1,752,3.17,2.95,2.44,0,830508,3069040,78.70,38936,607748,4045076,103.73,2657004,297876,2456,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,1836.00,2284.00,2569.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6148.00
11:35:18,91.00,0.00,1.50,3.00,0.00,4.50,184.00,704.00,3248.00,21.48,0.06,0.35,0.35,6.40,199.00,20.00,179.00,704.00,3576.00,3,752,3.17,2.95,2.44,0,824928,3074620,78.85,39184,608652,4045076,103.73,2662460,297912,2700,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,352.00,1704.00,1134.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5340.00
11:35:19,84.00,0.00,2.50,10.00,0.00,3.50,583.00,1336.00,9424.00,18.46,0.23,0.40,0.38,22.40,568.00,56.00,512.00,1336.00,9096.00,2,752,2.99,2.92,2.43,0,817736,3081812,79.03,39988,610360,4045076,103.73,2668940,298488,3224,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,668.00,4632.00,1267.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,7532.00
11:35:20,87.50,0.00,3.00,3.00,0.00,6.50,246.00,1560.00,4080.00,22.93,0.10,0.41,0.34,8.40,246.00,46.00,200.00,1560.00,4080.00,3,755,2.99,2.92,2.43,0,807056,3092492,79.30,40292,611488,4060556,104.13,2679528,298804,2848,lo,15.00,15.00,1.70,1.70,0.00,0.00,0.00,0.00,780.00,2040.00,2413.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5103.00
11:35:21,78.00,0.00,3.00,3.50,0.00,15.50,331.00,5776.00,32.00,17.55,0.09,0.27,0.24,8.00,331.00,323.00,8.00,5776.00,32.00,3,755,2.99,2.92,2.43,0,788672,3110876,79.78,40292,614472,4083056,104.71,2696704,299784,2884,lo,40.00,40.00,5.62,5.62,0.00,0.00,0.00,0.00,2888.00,16.00,4758.00,1.00,763.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,5138.00
11:35:22,77.78,0.00,2.53,1.52,0.00,18.18,113.00,1848.00,0.00,16.35,0.02,0.21,0.21,2.40,119.00,119.00,0.00,2104.00,0.00,3,755,2.99,2.92,2.43,0,775280,3124268,80.12,40292,615396,4090712,104.90,2710292,299592,2888,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,944.00,0.00,3095.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4826.00
11:35:23,87.37,0.00,2.02,2.53,0.00,8.08,310.00,5304.00,1312.00,21.34,0.12,0.39,0.36,11.20,304.00,229.00,75.00,5048.00,1312.00,3,755,2.99,2.92,2.43,0,763624,3135924,80.42,40416,618024,4106192,105.30,2720668,300836,2896,lo,39.00,39.00,5.29,5.29,0.00,0.00,0.00,0.00,2605.94,649.50,2174.26,0.00,126.73,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5924.00
11:35:24,85.15,0.00,3.47,2.48,0.00,8.91,273.00,5384.00,16.00,19.78,0.08,0.31,0.23,6.40,280.00,276.00,4.00,5808.00,16.00,2,755,2.99,2.92,2.44,0,744900,3154648,80.90,40424,620696,4113944,105.50,2738336,301836,2784,lo,28.00,28.00,4.38,4.38,0.00,0.00,0.00,0.00,2708.00,8.00,4141.00,0.00,184.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5123.00
11:35:25,87.82,0.00,1.52,0.51,0.00,10.15,39.00,928.00,120.00,26.87,0.02,0.41,0.41,1.60,32.00,31.00,1.00,504.00,120.00,3,757,2.99,2.92,2.44,0,729832,3169716,81.28,40424,621240,4121656,105.70,2753516,301764,2792,lo,21.00,21.00,19.95,19.95,0.00,0.00,0.00,0.00,448.00,60.00,3968.00,0.00,133.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4103.00
11:35:26,19.90,0.00,8.16,34.69,0.00,37.24,778.00,107896.00,94784.00,260.51,53.86,53.80,1.10,85.60,779.00,552.00,227.00,107896.00,94912.00,0,758,2.99,2.92,2.44,1,573288,3326260,85.30,40424,751904,4139500,106.15,2778916,431952,11972,lo,2419.00,2419.00,76738.07,76738.07,0.00,0.00,0.00,0.00,53948.00,67584.00,5890.00,0.00,15641.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,11045.00
11:35:27,76.80,0.00,6.70,1.03,0.00,15.46,167.00,40.00,58568.00,350.95,14.99,161.65,1.44,24.00,170.00,6.00,164.00,152.00,58440.00,3,760,2.99,2.92,2.44,0,398444,3501104,89.78,40424,828528,4294424,110.13,2952856,432012,79416,lo,52.00,52.00,43.13,43.13,0.00,0.00,0.00,0.00,20.00,9092.00,25060.00,0.00,274.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4760.00
11:35:28,90.00,0.00,4.50,0.00,0.00,5.50,83.00,216.00,2000.00,26.70,0.01,0.10,0.10,0.80,79.00,7.00,72.00,104.00,2000.00,3,765,2.99,2.92,2.44,0,336296,3563252,91.38,40424,828692,4309840,110.52,3015496,431700,78484,lo,67.00,67.00,59.99,59.99,0.00,0.00,0.00,0.00,108.00,1000.00,16672.00,0.00,1297.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,4417.00
11:35:29,94.03,0.00,4.48,0.50,0.00,1.00,19.00,232.00,0.00,12.21,0.00,0.21,0.21,0.40,19.00,19.00,0.00,232.00,0.00,7,770,2.99,2.92,2.44,0,317508,3582040,91.86,40432,828856,4353260,111.63,3034240,431376,78604,lo,90.00,90.00,125.29,125.29,0.00,0.00,0.00,0.00,116.00,0.00,6075.00,0.00,1380.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4049.00
11:35:30,91.50,0.00,4.00,0.50,0.00,4.00,25.00,80.00,80.00,6.40,0.01,0.32,0.32,0.80,29.00,7.00,22.00,80.00,96.00,5,774,2.99,2.92,2.44,0,290516,3609032,92.55,40432,828912,4361056,111.83,3061304,431300,78708,lo,265.00,265.00,271.53,271.53,0.00,0.00,0.00,0.00,40.00,40.00,6947.00,0.00,337.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,5582.00
11:35:31,85.13,0.00,5.13,0.00,0.00,9.74,141.00,248.00,1296.00,10.95,0.03,0.23,0.23,3.20,137.00,20.00,117.00,248.00,1280.00,0,730,2.99,2.92,2.44,0,373212,3526336,90.43,40448,752624,4368720,112.03,2978240,431324,78992,lo,532.00,532.00,162.64,162.64,0.00,0.00,0.00,0.00,124.00,648.00,1480.00,0.00,22987.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,8240.00
11:35:32,1.50,0.00,3.00,0.00,0.00,95.50,4.00,0.00,224.00,56.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,224.00,0,670,2.99,2.92,2.44,0,1259992,2639556,67.69,40448,752320,3199052,82.04,2102448,424288,78912,lo,16.00,16.00,2.96,2.96,0.00,0.00,0.00,0.00,0.00,112.00,2712.00,0.00,222860.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2795.00
11:35:33,0.50,0.00,0.00,0.00,0.00,99.50,41.00,0.00,472.00,11.51,0.00,0.00,0.00,0.00,41.00,0.00,41.00,0.00,472.00,0,670,2.99,2.92,2.44,0,1259992,2639556,67.69,40448,752320,3199052,82.04,2102448,424288,78768,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,236.00,26.00,0.00,137.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2296.00
11:35:34,0.00,0.00,0.50,0.00,0.00,99.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,670,2.75,2.87,2.43,0,1260056,2639492,67.69,40448,752320,3199052,82.04,2102468,424288,78716,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2281.00
11:35:35,1.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,670,2.75,2.87,2.43,0,1260056,2639492,67.69,40448,752320,3199052,82.04,2102468,424288,78716,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2282.00
