timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:55:39,82.23,0.00,4.57,0.00,0.00,13.20,68.00,0.00,47320.00,695.88,3.34,49.12,3.06,20.80,68.00,0.00,68.00,0.00,47320.00,1,675,1.96,2.27,2.46,0,962728,2936820,75.31,70016,933364,3304264,84.73,2197904,624348,77140,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,23660.00,19634.00,0.00,30014.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,3978.00
11:55:40,52.24,0.00,3.48,0.00,0.00,44.28,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,1,672,1.96,2.27,2.46,0,1014292,2885256,73.99,70016,933364,3184172,81.65,2145404,624348,77152,lo,17.00,17.00,1.57,1.57,0.00,0.00,0.00,0.00,0.00,32.00,20772.00,0.00,31754.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,2996.00
11:55:41,79.00,0.00,5.50,0.00,0.00,15.50,8.00,88.00,80.00,21.00,0.01,1.00,1.00,0.80,8.00,5.00,3.00,88.00,80.00,2,675,1.96,2.27,2.46,0,934296,2965252,76.04,70016,933364,3351828,85.95,2225696,624240,77156,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,44.00,40.00,25749.00,0.00,6203.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4379.00
11:55:42,86.14,0.00,3.96,0.00,0.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,368.00,2,687,1.96,2.27,2.46,0,875476,3024072,77.55,70020,933408,3435880,88.11,2284148,624220,77160,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,184.00,15143.00,0.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,2974.00
11:55:43,91.41,0.00,4.55,0.00,0.00,4.04,9.00,0.00,376.00,41.78,0.00,0.44,0.44,0.40,1.00,0.00,1.00,0.00,8.00,5,721,1.96,2.27,2.46,0,740120,3159428,81.02,70036,933404,3664492,93.97,2418620,624216,77208,lo,36.00,36.00,10.84,10.84,0.00,0.00,0.00,0.00,0.00,4.00,36811.00,0.00,795.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,4711.00
11:55:44,97.49,0.00,2.51,0.00,0.00,0.00,1.00,32.00,0.00,32.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,32.00,0.00,6,723,2.13,2.30,2.47,0,681916,3217632,82.51,70036,933468,3697120,94.81,2476616,624260,77256,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,16.00,0.00,14756.00,0.00,1246.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3225.00
11:55:45,95.02,0.00,4.48,0.00,0.00,0.50,4.00,24.00,120.00,36.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00,24.00,120.00,2,727,2.13,2.30,2.47,0,634236,3265312,83.74,70044,933464,3747308,96.10,2523756,624260,77260,lo,7.00,7.00,1.74,1.74,0.00,0.00,0.00,0.00,12.00,60.00,11661.00,0.00,268.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4718.00
11:55:46,94.44,0.00,5.05,0.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,738,2.13,2.30,2.47,0,509812,3389736,86.93,70052,933536,3936064,100.94,2648124,624276,77260,lo,77.23,77.23,12.24,12.24,0.00,0.00,0.00,0.00,0.00,0.00,36050.00,0.00,2519.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,4277.00
11:55:47,31.66,0.00,8.54,27.64,0.00,32.16,266.00,0.00,134760.00,506.62,73.55,202.89,2.21,58.80,312.00,0.00,312.00,0.00,154880.00,0,743,2.13,2.30,2.47,2,381052,3518496,90.23,70056,1010108,4011676,102.88,2736936,662624,54380,lo,2114.00,2114.00,76739.47,76739.47,0.00,0.00,0.00,0.00,0.00,99428.00,9979.00,0.00,13442.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,14247.00
11:55:48,33.17,0.00,7.04,50.25,0.00,9.55,202.00,8.00,125616.00,621.90,27.71,234.10,2.65,53.60,156.00,1.00,155.00,8.00,105496.00,3,743,2.13,2.30,2.47,0,225288,3674260,94.22,70072,1086704,4171568,106.98,2852096,701036,100532,lo,52.00,52.00,30.08,30.08,0.00,0.00,0.00,0.00,4.00,30760.00,19979.00,0.00,287.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,8180.00
11:55:49,95.50,0.00,3.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,750,2.20,2.31,2.47,0,150544,3749004,96.14,70076,1086856,4180052,107.19,2926724,700992,100640,lo,60.00,60.00,24.86,24.86,0.00,0.00,0.00,0.00,0.00,0.00,19726.00,0.00,1257.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3587.00
11:55:50,96.50,0.00,1.00,1.00,0.00,1.50,51.00,712.00,0.00,13.96,0.02,0.31,0.24,1.20,76.00,76.00,0.00,1000.00,0.00,2,754,2.20,2.31,2.47,0,144512,3755036,96.29,70132,1087188,4187840,107.39,2932536,700948,100652,lo,611.00,611.00,477.77,477.77,0.00,0.00,0.00,0.00,400.00,0.00,1435.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5550.00
11:55:51,92.31,0.00,2.05,0.51,0.00,5.13,71.29,950.50,0.00,13.33,0.02,0.33,0.33,2.38,52.00,52.00,0.00,712.00,0.00,6,755,2.20,2.31,2.47,0,117828,3781720,96.98,70348,1087732,4195500,107.59,2958808,701244,100696,lo,481.00,481.00,298.40,298.40,0.00,0.00,0.00,0.00,456.00,0.00,6592.00,0.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,6438.00
11:55:52,95.48,0.00,3.52,0.00,0.00,1.01,142.00,440.00,47744.00,339.32,4.86,34.23,1.58,22.40,150.50,16.83,133.66,396.04,48451.49,6,755,2.20,2.31,2.47,0,113604,3785944,97.09,70208,1067100,4195500,107.59,2976720,688380,76996,lo,685.00,685.00,344.32,344.32,0.00,0.00,0.00,0.00,200.00,23872.00,6923.00,0.00,11103.00,10597.00,0.00,10556.00,99.61,0.00,0.00,0,0,0.00,0,0.00,0.00,5637.00
