timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:23:24,64.00,0.00,5.00,0.00,0.00,31.00,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,80.00,1,667,3.33,2.89,1.88,0,1043380,2856168,73.24,40796,944148,3324100,85.24,2154788,583968,78040,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,40.00,17212.00,0.00,31117.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,5002.00
11:23:25,67.34,0.00,2.01,0.00,0.00,30.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,669,3.33,2.89,1.88,0,986028,2913520,74.71,40796,944152,3379680,86.67,2211828,583968,78044,lo,18.00,18.00,1.62,1.62,0.00,0.00,0.00,0.00,0.00,0.00,14319.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4007.00
11:23:26,58.16,0.00,5.61,0.00,0.00,36.22,18.00,0.00,560.00,31.11,0.01,0.44,0.44,0.80,18.00,0.00,18.00,0.00,560.00,2,667,3.33,2.89,1.88,0,1038532,2861016,73.37,40796,944076,3332100,85.45,2159684,583880,77824,lo,6.00,6.00,1.16,1.16,0.00,0.00,0.00,0.00,0.00,280.00,26654.00,0.00,37455.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.00,5603.00
11:23:27,87.50,0.00,3.00,0.00,0.00,9.50,8.00,0.00,312.00,39.00,0.03,3.50,0.50,0.40,8.00,0.00,8.00,0.00,312.00,2,670,3.33,2.89,1.88,0,957760,2941788,75.44,40796,944080,3451280,88.50,2239808,583880,77872,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,156.00,20889.00,0.00,483.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,4484.00
11:23:28,90.50,0.00,4.50,0.00,0.00,5.00,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,4,712,3.38,2.91,1.89,0,857816,3041732,78.00,40804,944084,3607816,92.52,2338748,583876,77896,lo,36.00,36.00,10.68,10.68,0.00,0.00,0.00,0.00,0.00,4.00,26347.00,0.00,797.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,5527.00
11:23:29,96.52,0.00,2.99,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,715,3.38,2.91,1.89,0,769420,3130128,80.27,40804,944120,3716636,95.31,2426876,583912,77964,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,23175.00,0.00,1282.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4947.00
11:23:30,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,716,3.38,2.91,1.89,0,734428,3165120,81.17,40804,944124,3764084,96.53,2461616,583912,77968,lo,7.00,7.00,1.74,1.74,0.00,0.00,0.00,0.00,0.00,0.00,9200.00,0.00,266.34,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,6613.00
11:23:31,96.48,0.00,3.52,0.00,0.00,0.00,45.00,0.00,744.00,16.53,0.00,0.00,0.00,0.00,45.00,0.00,45.00,0.00,744.00,4,725,3.38,2.91,1.89,0,653560,3245988,83.24,40804,944124,3904648,100.13,2542208,583912,77432,lo,31.00,31.00,3.38,3.38,0.00,0.00,0.00,0.00,0.00,372.00,19969.00,0.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5543.00
11:23:32,96.50,0.00,3.00,0.00,0.00,0.50,4.00,0.00,304.00,76.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,304.00,3,729,3.38,2.91,1.89,0,605104,3294444,84.48,40804,944124,3960784,101.57,2590316,583900,77432,lo,61.00,61.00,8.14,8.14,0.00,0.00,0.00,0.00,0.00,152.00,12074.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4693.00
11:23:33,93.97,0.00,3.52,0.00,0.00,2.51,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,2,730,3.35,2.91,1.90,0,532424,3367124,86.35,40812,944128,4034552,103.46,2662804,583904,77576,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,60.00,23503.00,0.00,5114.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,4577.00
