timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:46:09,16.50,0.00,1.25,0.25,0.00,82.00,58.00,0.00,2256.00,38.90,0.02,0.28,0.14,0.80,58.00,0.00,58.00,0.00,2256.00,0,679,3.04,2.21,2.36,0,2430200,5468828,69.23,34312,2750776,4013356,50.81,3393720,1883788,237296,lo,125.00,125.00,28.52,28.52,0.00,0.00,0.00,0.00,0.00,1128.00,924.00,0.00,245.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3981.00
20:46:10,47.47,0.00,3.03,0.00,0.00,49.49,4.00,0.00,128.00,32.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,128.00,4,664,3.04,2.21,2.36,0,2754364,5144664,65.13,34312,2750604,3744500,47.40,3072880,1883696,237312,lo,12.00,12.00,0.86,0.86,0.00,0.00,0.00,0.00,0.00,64.00,40047.00,0.00,117521.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,81.00,6595.00
20:46:11,67.50,0.00,1.25,0.00,0.00,31.25,17.00,0.00,536.00,31.53,0.01,0.47,0.47,0.80,17.00,0.00,17.00,0.00,536.00,0,665,3.04,2.21,2.36,1,2674300,5224728,66.14,34356,2750708,3843780,48.66,3152392,1883832,237460,lo,7.00,7.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,268.00,20196.00,0.00,226.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3948.00
20:46:12,51.00,0.00,1.50,1.00,0.00,46.50,118.00,0.00,2128.00,18.03,0.05,0.44,0.41,4.80,118.00,0.00,118.00,0.00,2128.00,3,671,2.88,2.19,2.35,0,2692620,5206408,65.91,34604,2633636,3867140,48.96,3245892,1773036,120220,lo,6.00,6.00,3.43,3.43,0.00,0.00,0.00,0.00,0.00,1064.00,24861.00,0.00,29666.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4568.00
20:46:13,80.90,0.00,2.26,0.00,0.00,16.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,660,2.88,2.19,2.35,0,2615176,5283852,66.89,34604,2633640,3921268,49.64,3321884,1773036,120224,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,22131.00,0.00,3321.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3472.00
20:46:14,39.50,0.00,1.00,0.25,0.00,59.25,13.00,8.00,912.00,70.77,0.00,0.00,0.00,0.00,13.00,1.00,12.00,8.00,912.00,1,638,2.88,2.19,2.35,0,2936716,4962312,62.82,34604,2633032,3419676,43.29,3003088,1772968,119396,lo,49.00,49.00,5.50,5.50,0.00,0.00,0.00,0.00,4.00,456.00,6729.00,0.00,86920.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,2840.00
20:46:15,56.78,0.00,1.51,0.00,0.00,41.71,32.00,0.00,136.00,4.25,0.02,0.50,0.50,1.60,32.00,0.00,32.00,0.00,136.00,1,640,2.88,2.19,2.35,0,2944428,4954600,62.72,34604,2612476,3453984,43.73,3013428,1756176,98656,lo,145.00,145.00,257.87,257.87,0.00,0.00,0.00,0.00,0.00,68.00,5231.00,0.00,7195.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,5412.00
20:46:16,60.61,0.00,1.77,0.51,0.00,37.12,160.00,0.00,664.00,4.15,0.06,0.35,0.35,5.60,160.00,0.00,160.00,0.00,664.00,0,642,2.88,2.19,2.35,0,2897704,5001324,63.32,34604,2625528,3463064,43.84,3046852,1768056,111708,lo,965.00,965.00,12860.62,12860.62,0.00,0.00,0.00,0.00,0.00,332.00,10063.00,0.00,4570.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,8648.00
20:46:17,4.02,0.00,0.25,0.50,0.00,95.23,104.00,0.00,1168.00,11.23,0.02,0.23,0.23,2.40,104.00,0.00,104.00,0.00,1168.00,0,642,2.65,2.15,2.34,0,2895688,5003340,63.34,34616,2627372,3463064,43.84,3047000,1770140,113572,lo,420.00,420.00,2374.54,2374.54,0.00,0.00,0.00,0.00,0.00,584.00,600.00,0.00,1576.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.00,4953.00
20:46:18,2.76,0.00,0.75,0.25,0.00,96.23,80.00,0.00,328.00,4.10,0.02,0.25,0.25,2.00,80.00,0.00,80.00,0.00,328.00,0,642,2.65,2.15,2.34,0,2887392,5011636,63.45,34616,2636364,3463064,43.84,3047436,1778532,122564,lo,604.00,604.00,8646.46,8646.46,0.00,0.00,0.00,0.00,0.00,164.00,463.00,0.00,2616.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.00,4756.00
