timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:29:15,16.69,0.00,1.51,0.00,0.00,81.81,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,80.00,4,870,3.19,3.02,2.64,0,24719392,7693660,23.74,104352,3969628,6712648,20.71,4106084,3274120,144652,lo,8.00,8.00,1.25,1.25,0.00,0.00,0.00,0.00,0.00,40.00,30881.00,0.00,64035.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,8624.00
12:29:16,11.17,0.00,1.76,0.13,0.00,86.95,7.00,8.00,584.00,84.57,0.00,0.57,0.57,0.40,25.00,1.00,24.00,8.00,2864.00,1,829,3.19,3.02,2.64,0,25259080,7153972,22.07,104360,3969596,5879964,18.14,3565812,3274088,144632,lo,40.00,40.00,3.89,3.89,0.00,0.00,0.00,0.00,4.00,1436.00,38917.00,0.00,172547.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,6640.00
12:29:17,15.86,0.00,5.24,0.00,0.00,78.90,23.00,0.00,2304.00,100.17,0.08,3.30,0.52,1.20,5.00,0.00,5.00,0.00,24.00,1,831,3.01,2.99,2.63,0,25052708,7360344,22.71,104468,3991692,5879964,18.14,3734640,3298032,222196,lo,60.00,60.00,479.72,479.72,0.00,0.00,0.00,0.00,0.00,8.00,42153.00,0.00,14526.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,6601.00
12:29:18,10.15,0.00,4.76,0.00,0.00,85.09,53.00,0.00,41672.00,786.26,1.61,30.42,1.28,6.80,53.00,0.00,53.00,0.00,41672.00,1,830,3.01,2.99,2.63,0,24867392,7545660,23.28,104908,4084704,5879964,18.14,3803600,3388416,294080,lo,14.00,14.00,2.33,2.33,0.00,0.00,0.00,0.00,0.00,20836.00,16762.00,0.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4344.00
12:29:19,25.06,0.00,1.89,0.00,0.00,73.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,833,3.01,2.99,2.63,0,24787204,7625848,23.53,105060,4106924,5895992,18.19,3856936,3410088,316628,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,14026.00,0.00,491.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,7417.00
12:29:20,31.32,0.00,2.14,0.50,0.00,66.04,238.00,0.00,984.00,4.13,0.06,0.25,0.25,6.00,238.00,0.00,238.00,0.00,984.00,2,845,3.01,2.99,2.63,0,24680456,7732596,23.86,105060,4184632,5756036,17.76,3886632,3484448,394336,lo,4172.00,4172.00,81982.79,81982.79,0.00,0.00,0.00,0.00,0.00,492.00,9282.00,0.00,15219.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,170.00,22546.00
12:29:21,30.53,0.00,2.01,0.25,0.00,67.21,6.00,0.00,288.00,48.00,0.00,0.00,0.00,0.00,45.00,0.00,45.00,0.00,5280.00,1,870,3.01,2.99,2.63,1,24489164,7923888,24.45,105072,4211256,6417140,19.80,4052632,3508036,420960,lo,651.00,651.00,22282.39,22282.39,0.00,0.00,0.00,0.00,0.00,15112.00,47258.00,0.00,6109.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,11071.00
12:29:22,32.12,0.00,1.00,1.12,0.00,65.75,235.00,0.00,29944.00,127.42,7.52,32.00,0.48,11.20,196.00,0.00,196.00,0.00,24952.00,3,884,2.93,2.97,2.62,0,24354464,8058588,24.86,105080,4211268,6430780,19.84,4187880,3508028,427672,lo,66.00,66.00,8.42,8.42,0.00,0.00,0.00,0.00,0.00,4.00,34372.00,0.00,576.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,7620.00
12:29:23,46.69,0.00,1.62,1.75,0.00,49.94,77.00,0.00,61984.00,804.99,7.50,97.40,2.91,22.40,77.00,0.00,77.00,0.00,61984.00,1,933,2.93,2.97,2.62,0,24175196,8237856,25.42,105080,4211292,6618960,20.42,4366376,3508008,396724,lo,66.00,66.00,128.37,128.37,0.00,0.00,0.00,0.00,0.00,30992.00,46199.00,0.00,2141.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,7345.00
12:29:24,1.50,0.00,0.12,0.00,0.00,98.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,932,2.93,2.97,2.62,0,24172348,8240704,25.42,105080,4211184,6618960,20.42,4369240,3508000,396872,lo,22.00,22.00,4.10,4.10,0.00,0.00,0.00,0.00,0.00,0.00,654.00,0.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3693.00
