timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:00:52,5.38,0.00,0.50,0.12,0.00,94.00,24.00,0.00,120.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,120.00,2,688,1.41,1.11,0.57,0,17363000,15050052,46.43,27260,12118940,4563380,14.08,8576744,5944224,208156,lo,263.00,263.00,46.68,46.68,0.00,0.00,0.00,0.00,0.00,60.00,1612.00,0.00,95289.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4389.00
20:00:53,30.29,0.00,2.50,0.00,0.00,67.21,4.00,8.00,80.00,22.00,0.00,1.00,1.00,0.40,4.00,1.00,3.00,8.00,80.00,3,706,1.41,1.11,0.57,0,17214296,15198756,46.89,27296,12118976,5167768,15.94,8727956,5944128,208336,lo,6.00,6.00,0.98,0.98,0.00,0.00,0.00,0.00,4.00,40.00,59780.00,0.00,18957.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,90.00,9866.00
20:00:54,23.59,0.00,1.51,2.51,0.00,72.40,198.00,0.00,63384.00,320.12,21.43,31.88,1.17,23.20,197.00,0.00,197.00,0.00,63224.00,0,707,1.41,1.11,0.57,2,17130184,15282868,47.15,27632,12118856,5041352,15.55,8812928,5943416,127088,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00,83380.00,21221.00,0.00,323.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,6588.00
20:00:55,0.25,0.00,0.38,11.38,0.00,88.00,455.00,0.00,207576.00,456.21,81.72,212.83,2.19,99.60,455.00,0.00,455.00,0.00,207728.00,1,707,1.41,1.11,0.57,1,17129980,15283072,47.15,28120,12118644,5041352,15.55,8813892,5943120,77164,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,52224.00,34.00,0.00,163.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3302.00
20:00:56,32.92,0.00,1.50,0.25,0.00,65.33,126.00,32.00,2240.00,18.03,0.05,0.41,0.32,4.00,127.00,3.00,124.00,32.00,2248.00,7,714,1.41,1.11,0.57,0,17425412,14987640,46.24,28336,11794684,5073132,15.65,8832476,5636032,76128,lo,6.00,6.00,3.96,3.96,0.00,0.00,0.00,0.00,16.00,996.00,9115.00,0.00,83131.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6423.00
20:00:57,46.01,0.00,1.12,0.25,0.00,52.62,50.00,0.00,624.00,12.48,0.02,0.40,0.40,2.00,50.00,0.00,50.00,0.00,624.00,3,675,1.46,1.13,0.57,0,17815952,14597100,45.03,28336,11794340,4411704,13.61,8443020,5635932,76292,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,312.00,18140.00,0.00,116425.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5278.00
20:00:58,18.12,0.00,0.62,0.00,0.00,81.25,17.00,408.00,32.00,25.88,0.02,1.18,0.94,1.60,17.00,9.00,8.00,408.00,32.00,2,680,1.46,1.13,0.57,0,17820520,14592532,45.02,28340,11773784,4411704,13.61,8455924,5618508,76376,lo,68.00,68.00,105.79,105.79,0.00,0.00,0.00,0.00,204.00,16.00,4246.00,0.00,5626.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,3337.00
20:00:59,27.56,0.00,1.01,0.13,0.00,71.30,40.00,0.00,920.00,23.00,0.02,0.40,0.40,1.60,40.00,0.00,40.00,0.00,920.00,6,681,1.46,1.13,0.57,0,17776100,14636952,45.16,28352,11774136,4482356,13.83,8501332,5618592,76652,lo,123.00,123.00,24.37,24.37,0.00,0.00,0.00,0.00,0.00,460.00,11841.00,0.00,376.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,7241.00
20:01:00,13.55,0.00,0.50,0.13,0.00,85.82,52.00,0.00,216.00,4.15,0.02,0.38,0.38,2.00,52.00,0.00,52.00,0.00,216.00,0,682,1.46,1.13,0.57,0,17766292,14646760,45.19,28352,11780680,4482356,13.83,8504824,5624748,83196,lo,441.00,441.00,6640.78,6640.78,0.00,0.00,0.00,0.00,0.00,108.00,1727.00,0.00,2804.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,5474.00
20:01:01,1.12,0.00,0.25,0.12,0.00,98.50,24.00,0.00,96.00,4.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,96.00,1,682,1.46,1.13,0.57,0,17765384,14647668,45.19,28352,11781396,4482356,13.83,8505072,5625424,83912,lo,118.00,118.00,632.27,632.27,0.00,0.00,0.00,0.00,0.00,48.00,229.00,0.00,549.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2612.00
