timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:06:50,59.60,0.00,5.56,0.00,0.00,34.85,29.00,72.00,4480.00,156.97,0.03,0.97,0.55,1.60,29.00,3.00,26.00,72.00,4480.00,2,629,3.01,1.03,0.37,0,5490108,2538208,31.62,35700,778920,3369228,41.97,2039400,380172,17940,lo,74.00,74.00,268.46,268.46,0.00,0.00,0.00,0.00,36.00,2240.00,25181.00,0.00,50099.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,2969.00
11:06:51,67.68,0.00,16.16,0.00,0.00,16.16,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,2,642,2.93,1.05,0.38,0,5309116,2719200,33.87,36144,827968,3636568,45.30,2161044,427664,67068,lo,3.00,3.00,0.53,0.53,0.00,0.00,0.00,0.00,0.00,4.00,33489.00,0.00,2234.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,3765.00
11:06:52,44.72,0.00,16.58,0.00,0.00,38.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,642,2.93,1.05,0.38,0,5090932,2937384,36.59,37304,911124,3709052,46.20,2278216,508288,150172,lo,6.00,6.00,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,28775.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2124.00
11:06:53,54.55,0.00,13.64,0.00,0.00,31.82,48.00,0.00,6032.00,125.67,0.83,5.33,0.17,0.80,39.00,0.00,39.00,0.00,4752.00,3,643,2.93,1.05,0.38,1,4969756,3058560,38.10,38300,970268,3709052,46.20,2325208,566264,209324,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,9052.00,11651.00,0.00,550.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2749.00
11:06:54,89.90,0.00,2.02,0.00,0.00,8.08,189.00,0.00,23648.00,125.12,6.29,36.34,0.55,10.40,198.00,0.00,198.00,0.00,24928.00,3,648,2.93,1.05,0.38,0,4950116,3078200,38.34,38308,970320,3707320,46.18,2344836,566268,215796,lo,20.00,20.00,1.75,1.75,0.00,0.00,0.00,0.00,0.00,5788.00,5779.00,0.00,1025.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3112.00
11:06:55,81.96,0.00,9.28,0.52,0.00,8.25,114.00,0.00,4768.00,41.82,0.06,0.53,0.42,4.80,114.00,0.00,114.00,0.00,4768.00,8,653,2.93,1.05,0.38,0,4895832,3132484,39.02,38308,1001932,3723212,46.38,2368488,595816,245352,lo,1426.00,1426.00,30346.54,30346.54,0.00,0.00,0.00,0.00,0.00,2384.00,6802.00,0.00,6086.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,69.00,8725.00
11:06:56,61.00,0.00,5.50,0.50,0.00,33.00,32.00,0.00,128.00,4.00,0.00,0.12,0.12,0.40,32.00,0.00,32.00,0.00,128.00,4,649,2.70,1.03,0.38,0,4837664,3190652,39.74,38308,1022440,3770512,46.97,2407020,615348,265780,lo,898.00,898.00,21783.29,21783.29,0.00,0.00,0.00,0.00,0.00,64.00,10881.00,0.00,5659.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,5301.00
11:06:57,40.82,0.00,3.57,0.00,0.00,55.61,4.00,0.00,16.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,16.00,2,658,2.70,1.03,0.38,0,4775744,3252572,40.51,38308,1045424,3802220,47.36,2444744,638284,288768,lo,785.00,785.00,26068.06,26068.06,0.00,0.00,0.00,0.00,0.00,8.00,12331.00,0.00,2954.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,2918.00
11:06:58,78.79,0.00,7.07,0.00,0.00,14.14,9.00,0.00,568.00,63.11,0.01,1.33,0.44,0.40,9.00,0.00,9.00,0.00,568.00,2,673,2.70,1.03,0.38,0,4650612,3377704,42.07,38320,1074500,4040616,50.33,2542912,664048,317844,lo,747.00,747.00,25974.72,25974.72,0.00,0.00,0.00,0.00,0.00,284.00,28926.00,0.00,4937.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,4993.00
11:06:59,89.45,0.00,4.02,0.00,0.00,6.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,674,2.70,1.03,0.38,0,4572572,3455744,43.04,38320,1074392,4081084,50.83,2620612,663864,317908,lo,18.00,18.00,2.29,2.29,0.00,0.00,0.00,0.00,0.00,0.00,19947.00,0.00,407.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,2898.00
11:07:00,89.50,0.00,3.50,0.00,0.00,7.00,7.00,0.00,4184.00,597.71,0.02,2.29,0.57,0.40,7.00,0.00,7.00,0.00,4184.00,3,687,2.70,1.03,0.38,0,4496428,3531888,43.99,38320,1074396,4225556,52.63,2696536,663768,315896,lo,63.00,63.00,7.65,7.65,0.00,0.00,0.00,0.00,0.00,2092.00,19022.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,3270.00
