timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:52:06,88.89,0.00,2.02,8.59,0.00,0.51,504.00,0.00,9072.00,18.00,0.21,0.42,0.42,21.20,504.00,0.00,504.00,0.00,9072.00,2,697,2.31,2.72,2.81,0,1302444,6725872,83.78,142568,3854464,4304324,53.61,3407972,3094160,2708,lo,6.00,6.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,4536.00,1657.00,0.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6629.00
12:52:07,84.58,0.00,1.49,1.99,0.00,11.94,115.00,0.00,2008.00,17.46,0.04,0.35,0.28,3.20,115.00,0.00,115.00,0.00,2008.00,3,698,2.20,2.69,2.80,0,1285052,6743264,83.99,142632,3854576,4327708,53.91,3425232,3094160,2696,lo,6.00,6.00,0.52,0.52,0.00,0.00,0.00,0.00,0.00,1004.00,3899.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3987.00
12:52:08,85.00,0.00,2.00,0.00,0.00,13.00,101.00,0.00,2480.00,24.55,0.04,0.44,0.32,3.20,101.00,0.00,101.00,0.00,2480.00,3,700,2.20,2.69,2.80,0,1271520,6756796,84.16,142712,3854492,4327708,53.91,3438168,3094144,2172,lo,46.00,46.00,5.72,5.72,0.00,0.00,0.00,0.00,0.00,1240.00,3334.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4480.00
12:52:09,86.00,0.00,2.50,0.00,0.00,11.50,16.00,0.00,72.00,4.50,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,72.00,2,702,2.20,2.69,2.80,0,1247060,6781256,84.47,142720,3854608,4379816,54.55,3462680,3094136,2088,lo,68.00,68.00,13.20,13.20,0.00,0.00,0.00,0.00,0.00,36.00,6353.00,0.00,201.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4222.00
12:52:10,53.03,0.00,5.05,0.51,0.00,41.41,40.00,0.00,160.00,4.00,0.01,0.20,0.20,0.80,40.00,0.00,40.00,0.00,160.00,0,702,2.20,2.69,2.80,0,1218536,6809780,84.82,142720,3871924,4397784,54.78,3474864,3110444,19416,lo,805.00,805.00,17411.29,17411.29,0.00,0.00,0.00,0.00,0.00,80.00,3572.00,0.00,4115.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,6254.00
12:52:11,33.50,0.00,6.50,0.00,0.00,60.00,5.00,0.00,24.00,4.80,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,24.00,2,725,2.20,2.69,2.80,0,1165760,6862556,85.48,142720,3889364,4575420,56.99,3510252,3126676,36856,lo,718.00,718.00,17401.97,17401.97,0.00,0.00,0.00,0.00,0.00,12.00,16555.00,0.00,6357.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,4972.00
12:52:12,92.46,0.00,3.02,0.00,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,725,2.18,2.68,2.79,0,1123724,6904592,86.00,142720,3889500,4629712,57.67,3552364,3126748,36976,lo,15.00,15.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.00,11283.00,0.00,350.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4307.00
12:52:13,89.95,0.00,2.51,0.00,0.00,7.54,68.00,0.00,2080.00,30.59,0.00,0.00,0.00,0.00,68.00,0.00,68.00,0.00,2080.00,1,734,2.18,2.68,2.79,0,1044904,6983412,86.98,142720,3889504,4680580,58.30,3631196,3126656,36044,lo,60.00,60.00,7.44,7.44,0.00,0.00,0.00,0.00,0.00,1040.00,19590.00,0.00,172.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,3375.00
12:52:14,94.00,0.00,4.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,741,2.18,2.68,2.79,0,947824,7080492,88.19,142724,3889512,4854688,60.47,3727800,3126656,36300,lo,15.00,15.00,2.22,2.22,0.00,0.00,0.00,0.00,0.00,0.00,24896.00,0.00,1458.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3770.00
12:52:15,93.03,0.00,3.98,0.00,0.00,2.99,8.00,0.00,40.00,5.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,40.00,7,788,2.18,2.68,2.79,0,900456,7127860,88.78,142724,3889692,4904264,61.09,3774112,3126768,36492,lo,74.00,74.00,231.13,231.13,0.00,0.00,0.00,0.00,0.00,20.00,11666.00,0.00,244.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,4146.00
12:52:16,16.08,0.00,1.01,0.00,0.00,82.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,787,2.18,2.68,2.79,0,892072,7136244,88.89,142724,3889764,4920008,61.28,3781556,3126864,36564,lo,29.00,29.00,4.15,4.15,0.00,0.00,0.00,0.00,0.00,0.00,3009.00,0.00,1854.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2071.00
12:52:17,46.70,0.00,5.08,0.00,0.00,48.22,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,5,820,2.17,2.66,2.79,0,820448,7207868,89.78,142724,3889768,5256024,65.47,3851680,3126864,36568,lo,72.00,72.00,36.25,36.25,0.00,0.00,0.00,0.00,0.00,8.00,23366.00,0.00,3055.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,4733.00
12:52:18,95.02,0.00,4.48,0.00,0.00,0.50,17.00,0.00,784.00,46.12,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,784.00,4,820,2.17,2.66,2.79,0,729464,7298852,90.91,142724,3890020,5288376,65.87,3942796,3127008,36708,lo,21.00,21.00,3.66,3.66,0.00,0.00,0.00,0.00,0.00,392.00,21811.00,0.00,132.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6394.00
12:52:19,95.98,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,826,2.17,2.66,2.79,0,691648,7336668,91.38,142728,3890036,5349792,66.64,3980192,3127012,36856,lo,42.00,42.00,6.12,6.12,0.00,0.00,0.00,0.00,0.00,0.00,10167.00,0.00,473.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4989.00
12:52:20,95.05,0.00,4.46,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,831,2.17,2.66,2.79,0,629972,7398344,92.15,142728,3890360,5329976,66.39,4041348,3127204,37192,lo,30.00,30.00,5.51,5.51,0.00,0.00,0.00,0.00,0.00,0.00,15260.00,0.00,191.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4015.00
12:52:21,95.48,0.00,4.02,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,837,2.17,2.66,2.79,0,586868,7441448,92.69,142728,3890492,5309888,66.14,4085044,3126400,37340,lo,213.00,213.00,2010.26,2010.26,0.00,0.00,0.00,0.00,0.00,0.00,11086.00,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,3819.00
12:52:22,97.00,0.00,3.00,0.00,0.00,0.00,8.00,0.00,32.00,4.00,0.00,0.50,0.50,0.40,8.00,0.00,8.00,0.00,32.00,6,845,2.40,2.70,2.80,0,550552,7477764,93.14,142728,3892748,5341756,66.54,4119012,3128180,39604,lo,319.00,319.00,6813.85,6813.85,0.00,0.00,0.00,0.00,0.00,16.00,8961.00,0.00,454.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4708.00
12:52:23,93.43,0.00,6.06,0.00,0.00,0.51,26.00,0.00,1088.00,41.85,0.00,0.00,0.00,0.00,26.00,0.00,26.00,0.00,1088.00,2,827,2.40,2.70,2.80,0,649944,7378372,91.90,142728,3895380,5396916,67.22,4017296,3130876,41896,lo,270.00,270.00,2911.67,2911.67,0.00,0.00,0.00,0.00,0.00,544.00,16202.00,0.00,42064.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,6066.00
