timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:19:58,42.00,0.00,3.00,5.00,0.00,50.00,353.00,17104.00,128.00,48.82,0.15,0.43,0.29,10.40,353.00,340.00,13.00,17104.00,128.00,3,619,2.87,2.68,2.53,0,2165688,5862628,73.02,8220,3595148,3551376,44.24,3615028,2095220,1776,lo,130.00,130.00,21.61,21.61,0.00,0.00,0.00,0.00,8552.00,64.00,23029.00,64.00,83028.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,75.00,6157.00
20:19:59,92.89,0.00,2.54,0.51,0.00,4.06,75.00,1696.00,976.00,35.63,0.06,0.75,0.43,3.20,72.00,61.00,11.00,1624.00,976.00,2,619,2.87,2.68,2.53,0,2097024,5931292,73.88,8232,3595548,3593680,44.76,3682812,2095416,1968,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,812.00,488.00,17750.00,0.00,1213.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4091.00
20:20:00,90.40,0.00,3.54,4.04,0.00,2.02,388.00,9904.00,0.00,25.53,0.13,0.34,0.26,10.00,389.00,389.00,0.00,9936.00,0.00,2,621,2.87,2.68,2.53,0,2039336,5988980,74.60,8244,3593656,3678160,45.81,3739760,2097756,2040,lo,8.00,8.00,3.98,3.98,0.00,0.00,0.00,0.00,4968.00,0.00,15517.00,0.00,2439.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4272.00
20:20:01,82.32,0.00,3.54,4.55,0.00,9.60,325.00,4440.00,2808.00,22.30,0.16,0.50,0.38,12.40,327.00,193.00,134.00,4480.00,2808.00,1,618,2.87,2.68,2.53,0,1975260,6053056,75.40,8576,3595796,3709664,46.21,3803580,2098348,2024,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,2240.00,1404.00,19150.00,0.00,503.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5361.00
20:20:02,90.36,0.00,5.58,0.00,0.00,4.06,180.00,2208.00,0.00,12.27,0.04,0.24,0.24,4.40,180.00,180.00,0.00,2208.00,0.00,3,596,2.88,2.69,2.53,0,2277400,5750916,71.63,8676,3596280,3136808,39.07,3503188,2098404,2016,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,1104.00,0.00,14637.00,0.00,94021.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5001.00
20:20:03,87.37,0.00,5.56,1.01,0.00,6.06,252.00,5240.00,40.00,20.95,0.20,0.78,0.22,5.60,252.00,244.00,8.00,5240.00,40.00,2,599,2.88,2.69,2.53,0,2876928,5151388,64.17,8976,2983152,3180124,39.61,3479024,1526776,5876,lo,180.00,180.00,4045.12,4045.12,0.00,0.00,0.00,0.00,2620.00,20.00,6853.00,0.00,159114.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,5230.00
20:20:04,58.38,0.00,1.02,1.52,0.00,39.09,231.00,6856.00,272.00,30.86,0.06,0.28,0.26,6.00,225.00,212.00,13.00,6792.00,272.00,3,602,2.88,2.69,2.53,0,2853656,5174660,64.46,8976,2985696,3180124,39.61,3501028,1528804,5792,lo,29.00,29.00,3.92,3.92,0.00,0.00,0.00,0.00,3400.00,136.00,5406.00,0.00,122.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3833.00
20:20:05,75.38,0.00,2.51,3.52,0.00,18.59,301.00,7776.00,8.00,25.86,0.06,0.20,0.19,5.60,303.00,301.00,2.00,7728.00,8.00,1,602,2.88,2.69,2.53,0,2829476,5198840,64.76,8976,2990132,3195912,39.81,3523344,1530860,5812,lo,25.00,25.00,3.73,3.73,0.00,0.00,0.00,0.00,3860.00,4.00,4949.00,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,4712.00
20:20:06,86.36,0.00,2.53,2.02,0.00,9.09,230.00,3472.00,1096.00,19.86,0.07,0.31,0.26,6.00,234.00,199.00,35.00,3584.00,1096.00,2,603,2.88,2.69,2.53,1,2810952,5217364,64.99,8988,2992032,3237660,40.33,3541176,1531296,6100,lo,82.00,82.00,19.18,19.18,0.00,0.00,0.00,0.00,1792.00,548.00,4613.00,0.00,375.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,5887.00
20:20:07,73.10,0.00,3.55,0.51,0.00,22.84,273.00,11208.00,680.00,43.55,0.12,0.44,0.26,7.20,267.00,111.00,156.00,11208.00,656.00,4,605,2.73,2.66,2.52,0,2787584,5240732,65.28,8988,3009480,3237660,40.33,3549604,1546216,18088,lo,914.00,914.00,12464.83,12464.83,0.00,0.00,0.00,0.00,5604.00,328.00,2361.00,0.00,3871.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,69.00,8925.00
