timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:51:47,30.65,0.00,1.51,0.50,0.00,67.34,37.00,0.00,632.00,17.08,0.00,0.11,0.11,0.40,37.00,0.00,37.00,0.00,632.00,1,617,2.32,2.41,2.49,0,1467968,6560348,81.72,41536,3782192,4090408,50.95,3528884,2824500,282960,lo,125.00,125.00,28.76,28.76,0.00,0.00,0.00,0.00,0.00,316.00,1663.00,0.00,89683.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3807.00
20:51:48,70.85,0.00,8.04,0.00,0.00,21.11,3.00,0.00,80.00,26.67,0.00,1.33,1.33,0.40,3.00,0.00,3.00,0.00,80.00,2,628,2.29,2.40,2.49,0,1752240,6276076,78.17,41536,3782144,3819832,47.58,3246128,2824460,283136,lo,12.00,12.00,0.85,0.85,0.00,0.00,0.00,0.00,0.00,40.00,36439.00,0.00,15564.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,75.00,5345.00
20:51:49,94.44,0.00,2.53,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,627,2.29,2.40,2.49,0,1697480,6330836,78.86,41536,3782136,3887108,48.42,3300676,2824492,283128,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,13713.00,0.00,154.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2948.00
20:51:50,81.22,0.00,3.05,2.54,0.00,13.20,134.00,0.00,2768.00,20.66,0.06,0.48,0.42,5.60,134.00,0.00,134.00,0.00,2768.00,2,633,2.29,2.40,2.49,0,1777828,6250488,77.86,41824,3665024,3917132,48.79,3333576,2713812,283088,lo,6.00,6.00,3.42,3.42,0.00,0.00,0.00,0.00,0.00,1384.00,11001.00,0.00,30183.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3773.00
20:51:51,86.50,0.00,3.50,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,625,2.29,2.40,2.49,0,1690556,6337760,78.94,41824,3665020,3933388,48.99,3421408,2713740,283120,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,21014.00,0.00,493.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,3014.00
20:51:52,88.44,0.00,2.51,0.00,0.00,9.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,606,2.29,2.40,2.49,0,2013296,6015020,74.92,41824,3664416,3383672,42.15,3100144,2713668,283120,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,0.00,7493.00,0.00,87987.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,2755.00
20:51:53,82.50,0.00,3.50,0.00,0.00,14.00,13.00,8.00,56.00,4.92,0.00,0.00,0.00,0.00,13.00,1.00,12.00,8.00,56.00,1,611,2.19,2.38,2.48,0,2135600,5892716,73.40,41824,3514476,3415212,42.54,3127864,2567352,283288,lo,79.00,79.00,256.19,256.19,0.00,0.00,0.00,0.00,4.00,28.00,9496.00,0.00,40533.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,2480.00
20:51:54,84.00,0.00,2.00,0.00,0.00,14.00,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,40.00,2,613,2.19,2.38,2.48,0,2116496,5911820,73.64,41824,3514488,3415212,42.54,3147272,2567352,283300,lo,41.00,41.00,6.54,6.54,0.00,0.00,0.00,0.00,0.00,20.00,4713.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2960.00
20:51:55,92.96,0.00,3.02,0.50,0.00,3.52,70.00,0.00,1128.00,16.11,0.04,0.57,0.23,1.60,70.00,0.00,70.00,0.00,1128.00,2,614,2.19,2.38,2.48,0,2095152,5933164,73.90,41836,3519040,3448480,42.95,3164268,2571628,288176,lo,344.00,344.00,4674.78,4674.78,0.00,0.00,0.00,0.00,0.00,564.00,4612.00,0.00,1225.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.80,5519.80
20:51:56,37.82,0.00,6.22,3.11,0.00,52.85,392.00,0.00,1640.00,4.18,0.12,0.30,0.30,11.60,408.00,0.00,408.00,0.00,1704.00,4,617,2.19,2.38,2.48,0,2052828,5975488,74.43,41836,3559036,3448480,42.95,3168536,2609240,328060,lo,3089.11,3089.11,47891.98,47891.98,0.00,0.00,0.00,0.00,0.00,820.00,2723.00,0.00,13298.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,204.00,16211.00
20:51:57,28.00,0.00,11.50,4.00,0.00,56.50,432.00,0.00,1808.00,4.19,0.06,0.15,0.15,6.40,416.00,0.00,416.00,0.00,1744.00,1,614,2.19,2.38,2.48,0,1976124,6052192,75.39,41836,3631104,3448480,42.95,3175244,2677380,400128,lo,4046.00,4046.00,63704.43,63704.43,0.00,0.00,0.00,0.00,0.00,904.00,2848.00,0.00,18059.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,216.00,18692.00
20:51:58,53.54,0.00,3.54,0.00,0.00,42.93,32.00,0.00,128.00,4.00,0.01,0.38,0.38,1.20,32.00,0.00,32.00,0.00,128.00,2,613,2.09,2.36,2.47,0,1968744,6059572,75.48,41836,3631564,3464220,43.15,3182392,2677784,400588,lo,1668.00,1668.00,588.24,588.24,0.00,0.00,0.00,0.00,0.00,64.00,1964.00,0.00,408.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,14544.00
20:51:59,37.63,0.00,18.04,0.00,0.00,44.33,4.00,0.00,16.00,4.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,16.00,4,624,2.09,2.36,2.47,0,1883988,6144328,76.53,42000,3711368,3464220,43.15,3183968,2757292,480532,lo,4139.00,4139.00,80209.42,80209.42,0.00,0.00,0.00,0.00,0.00,8.00,18425.00,0.00,23074.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,561.00,13773.00
20:52:00,55.38,0.00,19.49,0.51,0.00,24.62,106.00,0.00,4184.00,39.47,0.08,0.75,0.04,0.40,106.00,0.00,106.00,0.00,4184.00,3,637,2.09,2.36,2.47,0,1789316,6239000,77.71,42364,3749108,3659176,45.58,3242100,2792460,518172,lo,1910.00,1910.00,36687.54,36687.54,0.00,0.00,0.00,0.00,0.00,2092.00,41486.00,0.00,24854.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,489.00,11959.00
