timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:42:07,20.35,0.00,1.38,0.00,0.00,78.27,5.00,0.00,336.00,67.20,0.02,1.60,1.60,0.80,9.00,0.00,9.00,0.00,656.00,2,873,3.70,2.83,2.57,0,56467172,8459924,13.03,106224,4493368,8947316,13.78,4317240,3767460,5564,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,328.00,46278.00,0.00,52201.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,7912.00
12:42:08,14.37,0.00,0.88,0.00,0.00,84.75,6.00,0.00,392.00,65.33,0.00,2.00,0.00,0.00,2.00,0.00,2.00,0.00,72.00,3,873,3.70,2.83,2.57,0,56561684,8365412,12.88,106232,4494336,8911820,13.73,4221868,3768104,6616,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,36.00,32277.00,0.00,54303.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,7047.00
12:42:09,33.37,0.00,1.36,0.00,0.00,65.26,19.00,0.00,192.00,10.11,0.00,0.00,0.00,0.00,19.00,0.00,19.00,0.00,192.00,5,870,3.70,2.83,2.57,0,56397608,8529488,13.14,106232,4491424,8796536,13.55,4389820,3765456,3628,lo,53.00,53.00,7.59,7.59,0.00,0.00,0.00,0.00,0.00,96.00,42868.00,0.00,1672.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,7413.00
12:42:10,11.53,0.00,0.88,0.13,0.00,87.47,33.00,0.00,192.00,5.82,0.00,0.12,0.12,0.40,33.00,0.00,33.00,0.00,192.00,3,836,3.70,2.83,2.57,0,56838848,8088248,12.46,106232,4491408,7527600,11.59,3949612,3765620,3652,lo,182.00,182.00,422.45,422.45,0.00,0.00,0.00,0.00,0.00,96.00,9637.00,0.00,120159.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,5189.00
12:42:11,28.11,0.00,1.76,0.00,0.00,70.14,13.00,0.00,64.00,4.92,0.00,0.31,0.31,0.40,13.00,0.00,13.00,0.00,64.00,6,870,3.72,2.85,2.58,0,56703300,8223796,12.67,106232,4488220,8628784,13.29,4087468,3762780,3632,lo,214.00,214.00,694.21,694.21,0.00,0.00,0.00,0.00,0.00,32.00,39691.00,0.00,5524.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,86.00,10429.00
12:42:12,30.74,0.00,1.25,0.13,0.00,67.88,7.00,0.00,176.00,25.14,0.03,0.57,0.57,0.40,15.00,0.00,15.00,0.00,1080.00,5,882,3.72,2.85,2.58,0,56518720,8408376,12.95,106232,4488272,8415140,12.96,4270992,3762748,3668,lo,69.00,69.00,8.79,8.79,0.00,0.00,0.00,0.00,0.00,540.00,46242.00,0.00,446.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,6070.00
12:42:13,46.33,0.00,1.49,0.00,0.00,52.18,18.00,0.00,944.00,52.44,0.00,1.78,0.22,0.40,10.00,0.00,10.00,0.00,40.00,2,932,3.72,2.85,2.58,0,56381264,8545832,13.16,106244,4488280,8783680,13.53,4406756,3762748,3864,lo,56.00,56.00,126.74,126.74,0.00,0.00,0.00,0.00,0.00,20.00,37534.00,0.00,3755.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,6559.00
12:42:14,1.63,0.00,0.00,0.00,0.00,98.37,7.00,0.00,560.00,80.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,560.00,1,933,3.72,2.85,2.58,0,56379024,8548072,13.17,106244,4488428,8783680,13.53,4409128,3762860,3736,lo,21.00,21.00,2.77,2.77,0.00,0.00,0.00,0.00,0.00,280.00,427.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2549.00
12:42:15,8.77,0.00,0.50,0.00,0.00,90.73,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,5,980,3.72,2.85,2.58,0,56347144,8579952,13.21,106244,4488432,9284296,14.30,4439288,3762860,3744,lo,70.00,70.00,13.34,13.34,0.00,0.00,0.00,0.00,0.00,8.00,10441.00,0.00,1430.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,57.00,5182.00
12:42:16,53.10,0.00,2.15,0.00,0.00,44.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,988,3.74,2.87,2.58,0,56162776,8764320,13.50,106244,4488628,9348076,14.40,4622612,3763004,3924,lo,43.00,43.00,6.16,6.16,0.00,0.00,0.00,0.00,0.00,0.00,49868.00,0.00,3482.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,12653.00
