timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:24:50,12.89,0.00,1.25,0.00,0.00,85.86,3.00,0.00,80.00,26.67,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,400.00,2,828,2.90,2.61,2.22,0,58742996,6184100,9.52,87900,2888584,7654308,11.79,3588264,2269904,163468,lo,15.00,15.00,1.24,1.24,0.00,0.00,0.00,0.00,0.00,200.00,37234.00,0.00,52236.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,5683.00
12:24:51,19.77,0.00,1.50,0.00,0.00,78.72,4.00,0.00,320.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,830,2.99,2.63,2.23,0,58583132,6343964,9.77,87900,2888600,7686292,11.84,3748752,2269908,163472,lo,20.00,20.00,2.16,2.16,0.00,0.00,0.00,0.00,0.00,0.00,40241.00,0.00,374.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,6507.00
12:24:52,16.39,0.00,1.51,0.13,0.00,81.97,120.00,0.00,92056.00,767.13,10.79,89.93,2.30,27.60,120.00,0.00,120.00,0.00,92056.00,3,829,2.99,2.63,2.23,0,58632764,6294332,9.69,87900,2888568,7649512,11.78,3699192,2269876,117544,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,46028.00,48974.00,0.00,58949.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,67.00,7940.00
12:24:53,38.25,0.00,2.00,0.00,0.00,59.75,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,8,892,2.99,2.63,2.23,0,58434812,6492284,10.00,87900,2888600,8186152,12.61,3896076,2269900,117560,lo,40.00,40.00,11.28,11.28,0.00,0.00,0.00,0.00,0.00,4.00,52200.00,0.00,2392.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,66.00,9067.00
12:24:54,58.16,0.00,2.24,0.00,0.00,39.60,1.00,0.00,120.00,120.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,120.00,7,909,2.99,2.63,2.23,0,58182152,6744944,10.39,87900,2888636,8418476,12.97,4147564,2269932,117608,lo,38.00,38.00,10.49,10.49,0.00,0.00,0.00,0.00,0.00,60.00,63591.00,0.00,338.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,10543.00
12:24:55,34.35,0.00,3.55,2.03,0.00,60.08,206.00,8.00,153352.00,744.47,34.73,168.58,2.35,48.40,217.00,1.00,216.00,8.00,153896.00,3,934,2.99,2.63,2.23,0,57862320,7064776,10.88,87912,3041384,8484124,13.07,4385868,2346300,193912,lo,2162.00,2162.00,76811.68,76811.68,0.00,0.00,0.00,0.00,4.00,76948.00,43023.00,0.00,15700.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.00,22748.00
12:24:56,59.67,0.00,1.51,0.00,0.00,38.82,11.00,0.00,544.00,49.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,945,2.83,2.60,2.22,0,57771268,7155828,11.02,87912,3042008,8592608,13.23,4475808,2346484,194284,lo,1236.00,1236.00,35760.60,35760.60,0.00,0.00,0.00,0.00,0.00,0.00,22813.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,12187.00
12:24:57,87.45,0.00,1.27,0.00,0.00,11.28,186.00,0.00,17192.00,92.43,1.28,6.86,0.09,1.60,186.00,0.00,186.00,0.00,17192.00,8,938,2.83,2.60,2.22,0,57719132,7207964,11.10,87912,3042008,8592608,13.23,4528044,2346484,185764,lo,1765.00,1765.00,55799.32,55799.32,0.00,0.00,0.00,0.00,0.00,8596.00,20518.00,0.00,7883.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,7976.00
12:24:58,89.21,0.00,0.75,0.00,0.00,10.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11,942,2.83,2.60,2.22,0,57649908,7277188,11.21,87912,3046948,8592608,13.23,4590984,2349724,190504,lo,109.00,109.00,84.92,84.92,0.00,0.00,0.00,0.00,0.00,0.00,18319.00,0.00,2970.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,10951.00
12:24:59,91.05,0.00,0.88,0.00,0.00,8.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10,942,2.83,2.60,2.22,0,57619300,7307796,11.26,87912,3048716,8592608,13.23,4625076,2348196,192276,lo,271.00,271.00,3849.47,3849.47,0.00,0.00,0.00,0.00,0.00,0.00,7617.82,0.00,1070.30,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8701.00
