timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:12:15,44.44,0.00,4.04,0.00,0.00,51.52,52.00,0.00,6320.00,121.54,0.13,12.38,0.15,0.80,136.00,0.00,136.00,0.00,16832.00,3,713,3.63,3.12,3.01,0,5244428,10912400,67.54,149004,7654696,5150712,31.88,3862340,6711448,63336,lo,24.00,24.00,3.79,3.79,0.00,0.00,0.00,0.00,0.00,8416.00,21314.00,0.00,39408.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,53.00,3645.00
13:12:16,84.77,0.00,5.08,0.51,0.00,9.64,10.00,0.00,1000.00,100.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,2,691,3.58,3.12,3.00,1,5535892,10620936,65.74,149004,7655476,4556204,28.20,3572200,6712236,39236,lo,23.00,23.00,2.30,2.30,0.00,0.00,0.00,0.00,0.00,32.00,24409.00,0.00,95015.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,3089.00
13:12:17,77.00,0.00,4.00,12.00,0.00,7.00,483.00,0.00,102824.00,212.89,45.20,93.58,0.88,42.40,492.00,0.00,492.00,0.00,103760.00,3,698,3.58,3.12,3.00,0,5551012,10605816,65.64,149004,7603520,4550552,28.16,3607056,6663836,11844,lo,104.00,104.00,187.90,187.90,0.00,0.00,0.00,0.00,0.00,51880.00,10371.00,0.00,13786.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.00,3450.00
13:12:18,38.07,0.00,2.54,0.51,0.00,58.88,40.00,0.00,168.00,4.20,0.01,0.20,0.20,0.80,40.00,0.00,40.00,0.00,168.00,0,698,3.58,3.12,3.00,0,5487740,10669088,66.03,149004,7603912,4550552,28.16,3669824,6664188,12248,lo,177.00,177.00,387.17,387.17,0.00,0.00,0.00,0.00,0.00,84.00,16135.00,0.00,419.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3440.00
13:12:19,60.91,0.00,5.58,0.00,0.00,33.50,18.00,0.00,1032.00,57.33,0.00,0.22,0.22,0.40,5.00,0.00,5.00,0.00,24.00,3,721,3.58,3.12,3.00,0,5415296,10741532,66.48,149004,7604412,4857532,30.06,3740624,6664612,12932,lo,158.00,158.00,377.56,377.56,0.00,0.00,0.00,0.00,0.00,12.00,20274.00,0.00,3293.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,68.00,5495.00
13:12:20,92.96,0.00,2.01,0.00,0.00,5.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,1008.00,1,722,3.58,3.12,3.00,0,5336820,10820008,66.97,149004,7604412,5103128,31.58,3818780,6664500,12940,lo,15.00,15.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,504.00,18437.00,0.00,341.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2816.00
13:12:21,91.09,0.00,2.48,0.00,0.00,6.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,735,3.37,3.08,2.99,0,5252464,10904364,67.49,149004,7604420,5025792,31.11,3902608,6664500,12952,lo,63.00,63.00,7.97,7.97,0.00,0.00,0.00,0.00,0.00,0.00,18600.00,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2863.00
13:12:22,96.50,0.00,3.00,0.00,0.00,0.50,2.00,0.00,104.00,52.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,104.00,3,738,3.37,3.08,2.99,0,5197264,10959564,67.83,149004,7604424,5188760,32.11,3957008,6664500,12904,lo,9.00,9.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,52.00,19839.00,0.00,2053.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,3302.00
13:12:23,39.90,0.00,1.01,0.00,0.00,59.09,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,40.00,0,785,3.37,3.08,2.99,0,5172428,10984400,67.99,149004,7604564,5188760,32.11,3981800,6664616,13052,lo,68.00,68.00,127.95,127.95,0.00,0.00,0.00,0.00,0.00,20.00,7412.00,0.00,236.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2541.00
13:12:24,5.56,0.00,0.00,0.00,0.00,94.44,6.00,0.00,336.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,784,3.37,3.08,2.99,0,5174304,10982524,67.97,149004,7604568,5188760,32.11,3979904,6664616,13056,lo,22.00,22.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,1681.00,0.00,2285.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,1983.00
