timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:47:51,48.22,0.00,4.06,1.02,0.00,46.70,253.00,0.00,3880.00,15.34,0.89,3.51,0.25,6.40,253.00,0.00,253.00,0.00,3880.00,2,619,2.73,2.54,2.55,0,11040208,5116620,31.67,47632,2698696,4401236,27.24,3104904,1822380,235880,lo,59.00,59.00,7.33,7.33,0.00,0.00,0.00,0.00,0.00,1940.00,21703.00,0.00,108693.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,77.00,5063.00
20:47:52,88.32,0.00,4.06,0.00,0.00,7.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,619,2.73,2.54,2.55,0,10941352,5215476,32.28,47660,2698836,4401236,27.24,3203964,1822516,236028,lo,5.00,5.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,26126.00,0.00,999.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,4931.00
20:47:53,93.94,0.00,2.02,0.00,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,620,2.73,2.54,2.55,0,11033096,5123732,31.71,47660,2581828,4477512,27.71,3223912,1712096,119020,lo,8.00,8.00,3.54,3.54,0.00,0.00,0.00,0.00,0.00,0.00,6654.00,0.00,29844.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,3422.00
20:47:54,82.09,0.00,3.48,2.49,0.00,11.94,137.00,0.00,2984.00,21.78,0.08,0.55,0.38,5.20,137.00,0.00,137.00,0.00,2984.00,2,616,2.67,2.53,2.55,0,10945436,5211392,32.26,47900,2581724,4451584,27.55,3311512,1711744,119076,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,1492.00,22161.00,0.00,559.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,3989.00
20:47:55,96.46,0.00,3.03,0.00,0.00,0.51,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,3,593,2.67,2.53,2.55,0,11291508,4865320,30.11,47900,2581112,3816768,23.62,2967316,1711672,118464,lo,23.00,23.00,2.30,2.30,0.00,0.00,0.00,0.00,0.00,32.00,5186.00,0.00,91720.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3950.00
20:47:56,93.94,0.00,4.04,0.00,0.00,2.02,13.00,0.00,168.00,12.92,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,168.00,2,596,2.67,2.53,2.55,0,11268848,4887980,30.25,47900,2560560,3888072,24.06,3007692,1694872,97864,lo,53.00,53.00,237.54,237.54,0.00,0.00,0.00,0.00,0.00,84.00,13429.00,0.00,7789.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3797.00
20:47:57,65.00,0.00,1.50,0.00,0.00,33.50,4.00,0.00,24.00,6.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,24.00,3,598,2.67,2.53,2.55,0,11251852,4904976,30.36,47900,2560572,3888072,24.06,3025220,1694868,97892,lo,32.00,32.00,3.91,3.91,0.00,0.00,0.00,0.00,0.00,12.00,4438.00,0.00,143.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2724.00
20:47:58,78.00,0.00,2.00,0.00,0.00,20.00,6.00,0.00,24.00,4.00,0.00,0.67,0.67,0.40,2.00,0.00,2.00,0.00,8.00,2,598,2.67,2.53,2.55,0,11225316,4931512,30.52,47900,2560572,3919716,24.26,3051552,1694868,97892,lo,25.00,25.00,3.74,3.74,0.00,0.00,0.00,0.00,0.00,8.00,6648.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3339.00
20:47:59,90.50,0.00,2.00,0.50,0.00,7.00,43.00,0.00,712.00,16.56,0.00,0.00,0.00,0.00,47.00,0.00,47.00,0.00,728.00,3,601,2.78,2.56,2.56,0,11214944,4941884,30.59,47908,2560820,3975268,24.60,3061352,1694884,98264,lo,124.00,124.00,23.29,23.29,0.00,0.00,0.00,0.00,0.00,360.00,2803.00,0.00,468.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4560.00
20:48:00,33.67,0.00,5.10,2.04,0.00,59.18,280.00,0.00,1176.00,4.20,0.07,0.24,0.24,6.80,280.00,0.00,280.00,0.00,1176.00,0,601,2.78,2.56,2.56,0,11196224,4960604,30.70,47908,2577428,3975268,24.60,3063692,1710572,114884,lo,1579.00,1579.00,16825.61,16825.61,0.00,0.00,0.00,0.00,0.00,588.00,2254.00,0.00,6408.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,141.00,11807.00
