timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:32:04,88.83,0.00,2.54,0.00,0.00,8.63,9.00,0.00,304.00,33.78,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,304.00,1,723,3.32,3.23,3.11,0,5185940,10970888,67.90,150076,7627580,5241728,32.44,3956944,6679252,1416,lo,5.00,5.00,0.51,0.51,0.00,0.00,0.00,0.00,0.00,156.00,26450.00,0.00,927.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4590.00
13:32:05,39.90,0.00,6.57,0.00,0.00,53.54,4.00,0.00,144.00,36.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,144.00,2,691,3.32,3.23,3.11,0,5641012,10515816,65.09,150076,7627576,4492988,27.81,3503124,6679248,1440,lo,17.00,17.00,1.62,1.62,0.00,0.00,0.00,0.00,0.00,68.00,19044.00,0.00,42230.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,61.00,5435.00
13:32:06,90.31,0.00,3.06,0.00,0.00,6.63,8.00,0.00,480.00,60.00,0.00,0.50,0.50,0.40,0.00,0.00,0.00,0.00,0.00,3,687,3.32,3.23,3.11,0,5538236,10618592,65.72,150076,7627304,4571400,28.29,3607080,6678992,1252,lo,26.00,26.00,3.09,3.09,0.00,0.00,0.00,0.00,0.00,4.00,30555.00,0.00,92599.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4926.00
13:32:07,82.41,0.00,3.52,0.00,0.00,14.07,8.00,0.00,40.00,5.00,0.00,0.50,0.50,0.40,16.00,0.00,16.00,0.00,520.00,2,712,3.21,3.21,3.11,0,5505348,10651480,65.93,150076,7621208,4551024,28.17,3645232,6673380,1384,lo,56.00,56.00,294.32,294.32,0.00,0.00,0.00,0.00,0.00,260.00,9936.00,0.00,2147.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,4842.00
13:32:08,89.95,0.00,6.53,0.00,0.00,3.52,0.99,0.00,7.92,8.00,0.00,0.00,0.00,0.00,0.99,0.00,0.99,0.00,7.92,5,737,3.21,3.21,3.11,0,5344576,10812252,66.92,150076,7621244,4901668,30.34,3805372,6673416,1440,lo,35.00,35.00,10.73,10.73,0.00,0.00,0.00,0.00,0.00,4.00,40255.00,0.00,810.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,6076.00
13:32:09,94.53,0.00,4.98,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,738,3.21,3.21,3.11,0,5253668,10903160,67.48,150076,7621252,5092216,31.52,3895744,6673416,1448,lo,5.94,5.94,0.94,0.94,0.00,0.00,0.00,0.00,0.00,0.00,25832.67,0.00,2064.36,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5353.00
13:32:10,95.45,0.00,4.04,0.00,0.00,0.51,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,120.00,5,744,3.21,3.21,3.11,0,5194672,10962156,67.85,150076,7621316,5147068,31.86,3954580,6673424,1452,lo,23.00,23.00,2.78,2.78,0.00,0.00,0.00,0.00,0.00,60.00,8893.00,0.00,222.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5013.00
13:32:11,94.97,0.00,4.02,0.00,0.00,1.01,8.00,0.00,584.00,73.00,0.02,2.00,1.00,0.80,2.00,0.00,2.00,0.00,8.00,3,753,3.21,3.21,3.11,0,5098396,11058432,68.44,150080,7621312,5170468,32.00,4050252,6673416,1456,lo,86.00,86.00,14.99,14.99,0.00,0.00,0.00,0.00,0.00,4.00,29333.00,0.00,167.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5057.00
13:32:12,67.84,0.00,8.54,10.05,0.00,13.57,198.00,0.00,45056.00,227.56,25.40,58.51,1.01,20.00,204.00,0.00,204.00,0.00,45632.00,0,756,3.28,3.22,3.11,1,4974960,11181868,69.21,150080,7697936,5205172,32.22,4095884,6749984,35248,lo,2015.00,2015.00,76731.17,76731.17,0.00,0.00,0.00,0.00,0.00,35104.00,14319.00,0.00,15117.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,15982.00
13:32:13,63.13,0.00,6.57,10.10,0.00,20.20,317.00,0.00,108296.00,341.63,41.19,173.54,1.32,42.00,317.00,0.00,317.00,0.00,108296.00,2,757,3.28,3.22,3.11,0,4816228,11340600,70.19,150080,7774612,5237404,32.42,4252460,6749972,78156,lo,52.00,52.00,30.62,30.62,0.00,0.00,0.00,0.00,0.00,41860.00,20938.00,0.00,1585.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5128.00
