timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:29:50,80.30,0.00,4.55,0.00,0.00,15.15,22.00,0.00,472.00,21.45,0.00,0.00,0.00,0.00,22.00,0.00,22.00,0.00,472.00,0,724,2.71,2.63,2.63,0,8665944,7490884,46.36,119304,4499972,5166512,31.98,3481832,3766952,4308,lo,17.00,17.00,1.61,1.61,0.00,0.00,0.00,0.00,0.00,236.00,20971.00,0.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4264.00
12:29:51,45.27,0.00,7.46,0.00,0.00,47.26,4.00,0.00,144.00,36.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,144.00,2,685,2.71,2.63,2.63,0,9094256,7062572,43.71,119304,4496588,4392136,27.18,3058840,3763912,1140,lo,29.00,29.00,3.50,3.50,0.00,0.00,0.00,0.00,0.00,72.00,27125.00,0.00,134717.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,58.00,5957.00
12:29:52,81.50,0.00,4.00,0.50,0.00,14.00,8.00,0.00,40.00,5.00,0.00,0.00,0.00,0.00,24.00,0.00,24.00,0.00,800.00,1,690,2.71,2.63,2.63,0,9025108,7131720,44.14,119308,4492848,4469992,27.67,3131176,3760636,1296,lo,56.00,56.00,283.74,283.74,0.00,0.00,0.00,0.00,0.00,20.00,21562.00,0.00,1629.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,4825.00
12:29:53,90.40,0.00,5.05,0.00,0.00,4.55,16.00,0.00,760.00,47.50,0.06,3.75,0.25,0.40,1.00,0.00,1.00,0.00,8.00,4,733,2.71,2.63,2.63,0,8918360,7238468,44.80,119308,4492988,4771552,29.53,3236476,3760592,1368,lo,35.00,35.00,10.80,10.80,0.00,0.00,0.00,0.00,0.00,380.00,24839.00,0.00,798.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.00,5658.00
12:29:54,94.47,0.00,5.53,0.00,0.00,0.00,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,737,3.05,2.70,2.65,0,8790392,7366436,45.59,119308,4493024,4870552,30.15,3363948,3760624,1424,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,4.00,34759.00,0.00,1508.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5630.00
12:29:55,96.52,0.00,3.48,0.00,0.00,0.00,1.00,0.00,104.00,104.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,104.00,5,737,3.05,2.70,2.65,0,8743148,7413680,45.89,119308,4493028,4902116,30.34,3410916,3760616,1428,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,52.00,13805.00,0.00,295.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.97,6309.90
12:29:56,96.00,0.00,3.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,746,3.05,2.70,2.65,0,8695016,7461812,46.18,119308,4493028,5008116,31.00,3458724,3760616,1380,lo,41.00,41.00,4.22,4.22,0.00,0.00,0.00,0.00,0.00,0.00,13647.52,0.00,1818.81,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,6049.00
12:29:57,95.00,0.00,4.50,0.00,0.00,0.50,1.00,0.00,120.00,120.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,496.00,3,751,3.05,2.70,2.65,0,8600044,7556784,46.77,119312,4493024,5039716,31.19,3553440,3760616,1380,lo,51.00,51.00,7.31,7.31,0.00,0.00,0.00,0.00,0.00,60.00,23072.00,0.00,126.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,5182.00
12:29:58,82.99,0.00,3.09,0.00,0.00,13.92,6.00,0.00,384.00,64.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,3,755,3.05,2.70,2.65,0,8582768,7574060,46.88,119312,4498400,5039716,31.19,3564620,3765756,6752,lo,38.00,38.00,21.40,21.40,0.00,0.00,0.00,0.00,0.00,192.00,8444.00,0.00,1257.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,6113.00
12:29:59,36.08,0.00,10.82,20.62,0.00,32.47,367.00,0.00,153352.00,417.85,64.99,177.08,1.70,62.40,367.00,0.00,367.00,0.00,153352.00,3,756,2.89,2.68,2.64,0,8402588,7754240,47.99,119312,4646132,5083060,31.46,3669356,3837144,77996,lo,2040.00,2040.00,76746.40,76746.40,0.00,0.00,0.00,0.00,0.00,76676.00,6530.00,0.00,17464.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,15587.00
12:30:00,87.82,0.00,5.58,0.00,0.00,6.60,3.00,0.00,128.00,42.67,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,128.00,3,762,2.89,2.68,2.64,0,8291604,7865224,48.68,119312,4646392,5274168,32.64,3780008,3837228,78068,lo,133.00,133.00,820.43,820.43,0.00,0.00,0.00,0.00,0.00,64.00,28388.00,0.00,145.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5054.00
12:30:01,91.96,0.00,4.02,0.00,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,767,2.89,2.68,2.64,0,8261716,7895112,48.87,119312,4648016,5274168,32.64,3808156,3838508,79656,lo,348.00,348.00,2556.88,2556.88,0.00,0.00,0.00,0.00,0.00,0.00,7910.00,0.00,613.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,6119.00
12:30:02,94.36,0.00,3.08,0.00,0.00,2.56,65.00,0.00,968.00,14.89,0.02,0.31,0.06,0.40,65.00,0.00,65.00,0.00,968.00,3,767,2.89,2.68,2.64,0,8232728,7924100,49.04,119316,4650812,5274168,32.64,3835732,3839904,82680,lo,416.00,416.00,2600.97,2600.97,0.00,0.00,0.00,0.00,0.00,484.00,6996.00,0.00,1026.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,8084.00
12:30:03,47.74,0.00,8.54,0.00,0.00,43.72,38.00,0.00,376.00,9.89,0.01,0.32,0.21,0.80,38.00,0.00,38.00,0.00,376.00,3,685,2.89,2.68,2.64,0,9047252,7109576,44.00,119316,4572720,4390716,27.18,3031864,3835484,81276,lo,189.00,189.00,418.66,418.66,0.00,0.00,0.00,0.00,0.00,188.00,20260.00,0.00,221682.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,85.00,7089.00
