timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:56:51,44.44,0.00,2.27,0.00,0.00,53.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,775,3.03,3.15,3.20,0,20906908,11506672,35.50,131340,7464972,6504516,20.07,4591988,6536068,1852,lo,20.00,20.00,1.77,1.77,0.00,0.00,0.00,0.00,0.00,0.00,36179.00,0.00,227.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5383.00
12:56:52,34.01,0.00,3.02,0.00,0.00,62.97,2.00,0.00,72.00,36.00,0.00,2.00,2.00,0.40,2.00,0.00,2.00,0.00,72.00,1,776,3.03,3.15,3.20,0,21003520,11410060,35.20,131340,7459484,6544556,20.19,4499340,6531032,2420,lo,6.00,6.00,1.65,1.65,0.00,0.00,0.00,0.00,0.00,36.00,33989.00,0.00,55411.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.00,7308.00
12:56:53,51.80,0.00,3.61,0.00,0.00,44.59,18.00,0.00,848.00,47.11,0.01,0.67,0.67,1.20,18.00,0.00,18.00,0.00,848.00,3,745,3.03,3.15,3.20,0,21321880,11091700,34.22,131344,7459408,5582532,17.22,4183040,6530964,2508,lo,80.00,80.00,71.38,71.38,0.00,0.00,0.00,0.00,0.00,424.00,33056.00,0.00,113214.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,5874.00
12:56:54,44.42,0.00,2.98,0.50,0.00,52.11,52.00,0.00,216.00,4.15,0.00,0.08,0.08,0.40,52.00,0.00,52.00,0.00,216.00,2,771,3.03,3.15,3.20,0,21271040,11142540,34.38,131344,7454048,6143416,18.95,4237824,6525920,3312,lo,379.00,379.00,1045.37,1045.37,0.00,0.00,0.00,0.00,0.00,108.00,19742.00,0.00,6984.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,89.00,8117.00
12:56:55,57.97,0.00,3.04,0.00,0.00,38.99,1.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,1,772,3.03,3.15,3.20,0,21148652,11264928,34.75,131344,7454216,6175640,19.05,4360864,6526020,3464,lo,18.00,18.00,2.69,2.69,0.00,0.00,0.00,0.00,0.00,4.00,31901.00,0.00,1001.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,8026.00
12:56:56,55.50,0.00,1.75,0.00,0.00,42.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,785,3.03,3.15,3.20,0,21042440,11371140,35.08,131344,7454216,6203352,19.14,4466668,6526012,3464,lo,60.00,60.00,7.39,7.39,0.00,0.00,0.00,0.00,0.00,0.00,26280.00,0.00,298.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,5716.00
12:56:57,75.44,0.00,2.51,0.00,0.00,22.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,789,3.03,3.15,3.20,0,20881780,11531800,35.58,131344,7454220,6356588,19.61,4627428,6526012,3468,lo,9.00,9.00,1.43,1.43,0.00,0.00,0.00,0.00,0.00,0.00,45125.00,0.00,4874.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4925.00
12:56:58,39.55,0.00,0.76,0.00,0.00,59.70,81.00,0.00,2080.00,25.68,0.01,0.10,0.10,0.80,81.00,0.00,81.00,0.00,2080.00,0,836,2.79,3.10,3.18,0,20868612,11544968,35.62,131348,7454356,6389232,19.71,4639856,6526136,2968,lo,71.00,71.00,128.54,128.54,0.00,0.00,0.00,0.00,0.00,1040.00,3063.00,0.00,247.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,5032.00
12:56:59,2.75,0.00,0.25,0.00,0.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,835,2.79,3.10,3.18,0,20867404,11546176,35.62,131348,7454364,6389232,19.71,4640864,6526136,3144,lo,19.00,19.00,2.75,2.75,0.00,0.00,0.00,0.00,0.00,0.00,267.00,0.00,129.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3177.00
12:57:00,53.15,0.00,3.78,0.00,0.00,43.07,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,16.00,5,873,2.79,3.10,3.18,0,20763420,11650160,35.94,131348,7454564,6924312,21.36,4742272,6526276,3332,lo,63.00,63.00,12.28,12.28,0.00,0.00,0.00,0.00,0.00,8.00,32370.00,0.00,5013.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.00,7396.00
