timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:38:46,36.16,0.00,2.74,0.00,0.00,61.10,9.00,0.00,40.00,4.44,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,40.00,1,738,3.40,3.29,3.24,0,23147208,9266372,28.59,118484,5877108,5683060,17.53,3883808,5053084,2656,lo,61.00,61.00,464.15,464.15,0.00,0.00,0.00,0.00,0.00,20.00,27660.00,0.00,6912.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,7174.00
12:38:47,23.31,0.00,2.76,0.00,0.00,73.93,20.00,0.00,1824.00,91.20,0.02,0.80,0.40,0.80,21.00,0.00,21.00,0.00,1832.00,2,724,3.40,3.29,3.24,0,23244544,9169036,28.29,118484,5874340,5077768,15.67,3787412,5051740,1784,lo,27.00,27.00,23.61,23.61,0.00,0.00,0.00,0.00,0.00,916.00,30123.00,0.00,55024.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,76.00,5148.00
12:38:48,48.74,0.00,3.27,0.00,0.00,47.99,2.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,8.00,4,739,3.29,3.27,3.23,0,23087352,9326228,28.77,118484,5869664,5662616,17.47,3948364,5049356,1816,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,4.00,46028.00,0.00,3074.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,7148.00
12:38:49,27.71,0.00,2.52,0.00,0.00,69.77,10.00,0.00,920.00,92.00,0.02,2.40,0.40,0.40,10.00,0.00,10.00,0.00,920.00,3,738,3.29,3.27,3.23,0,23196164,9217416,28.44,118484,5869596,5659848,17.46,3839532,5049352,1816,lo,23.00,23.00,3.48,3.48,0.00,0.00,0.00,0.00,0.00,460.00,23968.00,0.00,50441.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.00,5711.00
12:38:50,41.50,0.00,2.50,0.00,0.00,56.00,2.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,8.00,0,740,3.29,3.27,3.23,0,23057500,9356080,28.86,118496,5869600,5659848,17.46,3977756,5049356,1992,lo,26.00,26.00,2.25,2.25,0.00,0.00,0.00,0.00,0.00,4.00,34752.00,0.00,440.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,4414.00
12:38:51,33.75,0.00,2.52,0.00,0.00,63.73,5.00,0.00,152.00,30.40,0.00,0.80,0.80,0.40,5.00,0.00,5.00,0.00,152.00,1,739,3.29,3.27,3.23,0,23142340,9271240,28.60,118496,5869596,5666132,17.48,3893244,5049348,1988,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,76.00,39521.00,0.00,57388.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,5739.00
12:38:52,51.25,0.00,2.50,0.00,0.00,46.25,70.00,0.00,984.00,14.06,0.00,0.00,0.00,0.00,70.00,0.00,70.00,0.00,984.00,2,761,3.29,3.27,3.23,0,23020996,9392584,28.98,118496,5869496,5574888,17.20,4013420,5049252,1112,lo,6.00,6.00,1.02,1.02,0.00,0.00,0.00,0.00,0.00,492.00,30012.00,0.00,463.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,5406.00
12:38:53,87.94,0.00,4.02,0.00,0.00,8.04,1.00,0.00,8.00,8.00,0.00,4.00,4.00,0.40,1.00,0.00,1.00,0.00,8.00,5,793,3.27,3.26,3.23,0,22838412,9575168,29.54,118496,5869544,6188752,19.09,4194848,5049280,1180,lo,35.00,35.00,10.63,10.63,0.00,0.00,0.00,0.00,0.00,4.00,50126.00,0.00,1972.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,6084.00
12:38:54,94.47,0.00,3.77,0.00,0.00,1.76,4.95,0.00,403.96,81.60,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,408.00,8,798,3.27,3.26,3.23,0,22718548,9695032,29.91,118496,5869548,6341728,19.57,4314668,5049280,1184,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,204.00,29578.00,0.00,1551.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.93,6073.27
12:38:55,91.27,0.00,2.74,0.50,0.00,5.49,27.00,0.00,2768.00,102.52,0.01,0.30,0.30,0.80,27.00,0.00,27.00,0.00,2768.00,4,813,3.27,3.26,3.23,0,22590184,9823396,30.31,118536,5869524,6347292,19.58,4442536,5049284,1380,lo,92.00,92.00,11.31,11.31,0.00,0.00,0.00,0.00,0.00,1384.00,33096.00,0.00,1221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,5977.00
