timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
12:45:40,90.08,0.00,3.05,0.25,0.00,6.62,45.00,0.00,3056.00,67.91,0.05,1.16,0.71,3.20,70.00,0.00,70.00,0.00,3488.00,4,803,2.50,2.95,3.11,0,22104500,10309080,31.80,129172,6279332,6371760,19.66,4534836,5432220,77312,lo,57.00,57.00,7.88,7.88,0.00,0.00,0.00,0.00,0.00,1528.00,35734.00,0.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,5824.00
12:45:41,67.33,0.00,1.98,4.70,0.00,25.99,652.00,0.00,10456.00,16.04,0.23,0.36,0.31,20.00,627.00,0.00,627.00,0.00,10024.00,4,809,2.50,2.95,3.11,0,22052076,10361504,31.97,129764,6280240,6371760,19.66,4587368,5432728,77416,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,5228.00,17024.00,0.00,3805.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8739.00
12:45:42,71.50,0.00,1.25,1.50,0.00,25.75,189.00,0.00,3544.00,18.75,0.05,0.28,0.28,5.20,194.00,0.00,194.00,0.00,3704.00,4,805,2.50,2.95,3.11,0,22034780,10378800,32.02,129920,6280780,6437464,19.86,4604628,5432904,77896,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,1772.00,6755.00,0.00,2783.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,5957.00
12:45:43,68.51,0.00,1.26,4.79,0.00,25.44,570.00,0.00,9928.00,17.42,0.23,0.40,0.37,21.20,565.00,0.00,565.00,0.00,9768.00,4,806,2.62,2.97,3.12,0,22054604,10358976,31.96,130316,6281796,6437464,19.86,4584108,5433048,78272,lo,6.00,6.00,0.95,0.95,0.00,0.00,0.00,0.00,0.00,4964.00,2682.00,0.00,8131.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,8713.00
12:45:44,48.13,0.00,1.00,1.00,0.00,49.88,131.00,0.00,2888.00,22.05,0.08,0.61,0.34,4.40,131.00,0.00,131.00,0.00,2888.00,1,805,2.62,2.97,3.12,0,22035244,10378336,32.02,130436,6282132,6437464,19.86,4602660,5433172,77956,lo,49.00,49.00,6.38,6.38,0.00,0.00,0.00,0.00,0.00,1444.00,5566.00,0.00,926.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,6345.00
12:45:45,49.00,0.00,1.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,803,2.62,2.97,3.12,0,22017964,10395616,32.07,130436,6282132,6437464,19.86,4620536,5433172,77956,lo,3.00,3.00,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,4341.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,7617.00
12:45:46,74.88,0.00,0.75,0.25,0.00,24.13,85.00,0.00,1504.00,17.69,0.04,0.42,0.38,3.20,87.00,0.00,87.00,0.00,1512.00,3,803,2.62,2.97,3.12,0,21992048,10421532,32.15,130532,6282148,6437464,19.86,4646448,5433160,77732,lo,59.00,59.00,8.61,8.61,0.00,0.00,0.00,0.00,0.00,752.00,6658.00,0.00,127.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6230.00
12:45:47,40.82,0.00,4.08,4.85,0.00,50.26,63.00,0.00,45184.00,717.21,24.12,59.81,3.11,19.60,77.00,0.00,77.00,0.00,58432.00,1,809,2.62,2.97,3.12,0,21902444,10511136,32.43,130532,6357932,6501424,20.06,4657532,5509032,84500,lo,2032.00,2032.00,76750.49,76750.49,0.00,0.00,0.00,0.00,0.00,69696.00,3619.00,0.00,14070.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,17619.00
12:45:48,54.50,0.00,3.25,0.50,0.00,41.75,140.00,0.00,108296.00,773.54,27.88,344.49,3.11,43.60,124.00,0.00,124.00,0.00,95040.00,3,812,2.89,3.02,3.13,0,21734332,10679248,32.95,130536,6435520,6673720,20.59,4824652,5509740,154404,lo,55.00,55.00,84.94,84.94,0.00,0.00,0.00,0.00,0.00,7044.00,26248.00,0.00,3061.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,7182.00
12:45:49,81.38,0.00,2.30,0.00,0.00,16.33,14.00,0.00,64.00,4.57,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,64.00,4,835,2.89,3.02,3.13,0,21697308,10716272,33.06,130536,6435528,6673720,20.59,4860640,5509736,154416,lo,566.00,566.00,9463.98,9463.98,0.00,0.00,0.00,0.00,0.00,32.00,10270.00,0.00,1409.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,8231.00
