timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:37:21,28.46,0.00,2.52,0.00,0.00,69.02,34.00,0.00,2240.00,65.88,0.02,0.47,0.24,0.80,34.00,0.00,34.00,0.00,2240.00,2,765,3.66,2.78,1.66,0,27875908,4537672,14.00,41796,1363332,6536464,20.17,3444188,898216,4248,lo,19.00,19.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,1120.00,23064.00,0.00,51204.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.00,6835.00
11:37:22,31.33,0.00,2.51,0.00,0.00,66.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,766,3.66,2.78,1.66,0,27760464,4653116,14.36,41796,1359504,6536464,20.17,3562992,894916,1132,lo,22.00,22.00,2.66,2.66,0.00,0.00,0.00,0.00,0.00,0.00,29749.00,0.00,1196.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4758.00
11:37:23,40.81,0.00,3.78,0.00,0.00,55.42,4.00,0.00,144.00,36.00,0.00,1.00,1.00,0.40,4.00,0.00,4.00,0.00,144.00,2,753,3.66,2.78,1.66,0,27799664,4613916,14.23,41796,1359484,6547212,20.20,3524164,894684,1012,lo,3.00,3.00,0.41,0.41,0.00,0.00,0.00,0.00,0.00,71.29,50333.66,0.00,57353.47,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,7747.00
11:37:24,59.14,0.00,2.79,0.00,0.00,38.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,759,3.66,2.78,1.66,0,28113848,4299732,13.27,41796,1359488,5576684,17.20,3210348,894676,1032,lo,34.00,34.00,3.13,3.13,0.00,0.00,0.00,0.00,0.00,0.00,34067.00,0.00,113001.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,6708.00
11:37:25,93.67,0.00,3.04,0.00,0.00,3.29,27.00,80.00,728.00,29.93,0.03,1.19,0.30,0.80,27.00,6.00,21.00,80.00,728.00,5,785,3.93,2.85,1.68,0,27932848,4480732,13.82,41808,1355588,6296208,19.42,3393768,891640,1088,lo,82.00,82.00,292.13,292.13,0.00,0.00,0.00,0.00,40.00,364.00,50589.00,0.00,4961.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.00,7075.00
11:37:26,94.99,0.00,3.26,0.00,0.00,1.75,6.00,40.00,168.00,34.67,0.00,0.00,0.00,0.00,6.00,2.00,4.00,40.00,168.00,4,797,3.93,2.85,1.68,0,27822080,4591500,14.17,41808,1355752,6328044,19.52,3503912,891400,1268,lo,26.00,26.00,7.26,7.26,0.00,0.00,0.00,0.00,20.00,84.00,27682.00,0.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,6777.00
11:37:27,60.25,0.00,6.25,5.50,0.00,28.00,130.00,0.00,90112.00,693.17,41.08,166.71,2.58,33.60,130.00,0.00,130.00,0.00,90112.00,7,812,3.93,2.85,1.68,0,27536780,4876800,15.05,41808,1509100,6282144,19.38,3708580,967832,77624,lo,2092.00,2092.00,76754.51,76754.51,0.00,0.00,0.00,0.00,0.00,76616.00,35430.00,0.00,14784.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,21712.00
11:37:28,51.63,0.00,2.76,0.00,0.00,45.61,93.00,0.00,63240.00,680.00,16.40,385.12,3.14,29.20,93.00,0.00,93.00,0.00,63240.00,13,826,3.93,2.85,1.68,0,27435388,4978192,15.36,41808,1509072,6568196,20.26,3810492,967968,77888,lo,318.00,318.00,1665.08,1665.08,0.00,0.00,0.00,0.00,0.00,60.00,29589.00,0.00,3645.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,9081.00
11:37:29,79.09,0.00,4.79,0.00,0.00,16.12,4.00,72.00,8.00,20.00,0.01,2.00,2.00,0.80,4.00,2.00,2.00,72.00,8.00,9,830,3.93,2.85,1.68,0,27373084,5040496,15.55,41808,1510812,6568196,20.26,3871764,968976,79536,lo,641.00,641.00,4922.89,4922.89,0.00,0.00,0.00,0.00,36.00,4.00,15358.00,0.00,739.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.00,11806.00
11:37:30,39.70,0.00,2.51,0.00,0.00,57.79,84.00,0.00,752.00,8.95,0.03,0.33,0.24,2.00,84.00,0.00,84.00,0.00,752.00,0,787,4.10,2.90,1.71,0,27449424,4964156,15.32,41820,1435916,6568196,20.26,3791212,970624,81332,lo,593.00,593.00,3266.72,3266.72,0.00,0.00,0.00,0.00,0.00,376.00,2436.00,0.00,24221.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.00,10415.00
