timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:42:26,21.00,0.00,1.50,0.00,0.00,77.50,24.00,0.00,496.00,20.67,0.03,1.17,0.50,1.20,24.00,0.00,24.00,0.00,496.00,2,616,2.07,2.55,2.63,0,11983716,4173112,25.83,40940,1698960,4495600,27.82,3117708,898492,252820,lo,122.00,122.00,25.04,25.04,0.00,0.00,0.00,0.00,0.00,248.00,3629.00,0.00,1284.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3005.00
20:42:27,42.86,0.00,7.65,0.00,0.00,49.49,13.00,0.00,128.00,9.85,0.00,0.31,0.31,0.40,13.00,0.00,13.00,0.00,128.00,3,600,1.90,2.51,2.62,0,12327664,3829164,23.70,40940,1698860,4191104,25.94,2776072,898348,252868,lo,29.00,29.00,3.37,3.37,0.00,0.00,0.00,0.00,0.00,64.00,27040.00,0.00,108793.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,74.00,4270.00
20:42:28,95.45,0.00,2.53,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,600,1.90,2.51,2.62,0,12242416,3914412,24.23,40940,1698972,4278588,26.48,2860984,898484,253028,lo,6.00,6.00,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,20794.00,0.00,347.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3370.00
20:42:29,91.54,0.00,4.48,0.00,0.00,3.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,602,1.90,2.51,2.62,0,12316720,3840108,23.77,40940,1561180,4278588,26.48,2919592,768348,140368,lo,6.00,6.00,3.47,3.47,0.00,0.00,0.00,0.00,0.00,0.00,17409.00,0.00,35415.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2153.00
20:42:30,72.73,0.00,4.04,9.60,0.00,13.64,471.00,0.00,8120.00,17.24,0.28,0.60,0.44,20.80,471.00,0.00,471.00,0.00,8120.00,2,605,1.90,2.51,2.62,0,12270156,3886672,24.06,41896,1561020,4260036,26.37,2966900,767584,140488,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,4060.00,10458.00,0.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,4574.00
20:42:31,91.04,0.00,4.48,0.00,0.00,4.48,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,2,575,1.90,2.51,2.62,0,12597812,3559016,22.03,41896,1560672,3627860,22.45,2641688,767404,140008,lo,23.00,23.00,2.28,2.28,0.00,0.00,0.00,0.00,0.00,32.00,11032.00,0.00,92823.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,2934.00
20:42:32,95.94,0.00,2.03,0.00,0.00,2.03,62.00,0.00,768.00,12.39,0.01,0.19,0.19,1.20,62.00,0.00,62.00,0.00,768.00,3,577,1.99,2.51,2.62,0,12606060,3550768,21.98,41896,1540336,3627860,22.45,2650948,750132,119672,lo,49.00,49.00,95.62,95.62,0.00,0.00,0.00,0.00,0.00,384.00,2968.00,0.00,5524.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,3483.00
20:42:33,91.92,0.00,1.52,0.00,0.00,6.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,578,1.99,2.51,2.62,0,12590900,3565928,22.07,41896,1540228,3701968,22.91,2666076,749928,119592,lo,3.00,3.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,4034.00,0.00,124.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2075.00
20:42:34,59.00,0.00,2.00,0.00,0.00,39.00,5.00,8.00,16.00,4.80,0.00,0.00,0.00,0.00,5.00,1.00,4.00,8.00,16.00,1,581,1.99,2.51,2.62,0,12569400,3587428,22.20,41896,1540232,3701968,22.91,2687616,749932,119596,lo,31.00,31.00,3.67,3.67,0.00,0.00,0.00,0.00,4.00,8.00,5544.00,0.00,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,2021.00
20:42:35,81.09,0.00,1.99,0.00,0.00,16.92,13.00,0.00,1008.00,77.54,0.00,0.00,0.00,0.00,13.00,0.00,13.00,0.00,1008.00,2,581,1.99,2.51,2.62,0,12555884,3600944,22.29,41908,1540224,3701968,22.91,2700704,749932,119400,lo,30.00,30.00,4.41,4.41,0.00,0.00,0.00,0.00,0.00,504.00,3287.00,0.00,241.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2527.00
20:42:36,87.88,0.00,2.53,0.00,0.00,9.60,27.00,8.00,112.00,4.44,0.01,0.30,0.30,0.80,27.00,1.00,26.00,8.00,112.00,2,583,1.99,2.51,2.62,0,12533996,3622832,22.42,41908,1540244,3770928,23.34,2722508,749932,119360,lo,92.00,92.00,19.17,19.17,0.00,0.00,0.00,0.00,4.00,56.00,5625.00,0.00,328.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.00,3633.00
20:42:37,41.92,0.00,2.53,1.01,0.00,54.55,108.00,0.00,448.00,4.15,0.04,0.33,0.33,3.60,108.00,0.00,108.00,0.00,448.00,0,584,1.99,2.50,2.62,0,12527028,3629800,22.47,41908,1548380,3770928,23.34,2720996,757444,127504,lo,634.00,634.00,8175.04,8175.04,0.00,0.00,0.00,0.00,0.00,224.00,3063.00,0.00,5667.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,52.00,6148.00
20:42:38,22.45,0.00,3.57,1.02,0.00,72.96,150.00,0.00,632.00,4.21,0.03,0.19,0.19,2.80,176.00,0.00,176.00,0.00,736.00,2,583,1.99,2.50,2.62,0,12503348,3653480,22.61,41908,1555408,3770928,23.34,2738448,764176,134532,lo,861.00,861.00,8458.86,8458.86,0.00,0.00,0.00,0.00,0.00,368.00,5799.00,0.00,3970.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,85.00,7068.00
20:42:39,14.65,0.00,3.03,0.51,0.00,81.82,122.00,0.00,504.00,4.13,0.03,0.23,0.23,2.80,96.00,0.00,96.00,0.00,400.00,2,587,1.99,2.50,2.62,0,12485188,3671640,22.73,41908,1572620,3770928,23.34,2740416,780348,151744,lo,919.00,919.00,15857.72,15857.72,0.00,0.00,0.00,0.00,0.00,200.00,1060.00,0.00,4247.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,51.00,5333.00
