timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:41:53,24.06,0.00,1.75,0.00,0.00,74.19,35.00,0.00,264.00,7.54,0.01,0.34,0.34,1.20,35.00,0.00,35.00,0.00,264.00,2,662,2.42,1.97,2.23,0,26486168,5927412,18.29,64108,3059312,5377504,16.59,3548844,2135892,237656,lo,134.00,134.00,28.98,28.98,0.00,0.00,0.00,0.00,0.00,132.00,11458.00,0.00,99443.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,55.00,4949.00
20:41:54,59.50,0.00,4.00,0.25,0.00,36.25,8.00,0.00,680.00,85.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,680.00,6,659,2.31,1.95,2.23,0,26387276,6026304,18.59,64128,3059376,5377160,16.59,3648960,2136024,237768,lo,3.00,3.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,340.00,40982.00,0.00,14709.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.00,6083.00
20:41:55,60.75,0.00,2.50,0.00,0.00,36.75,70.00,0.00,1576.00,22.51,0.03,0.46,0.40,2.80,29.00,0.00,29.00,0.00,736.00,0,660,2.31,1.95,2.23,1,26276280,6137300,18.93,64160,3059332,5256244,16.22,3759700,2136024,238132,lo,5.00,5.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,560.00,27457.00,0.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,3752.00
20:41:56,54.59,0.00,1.74,1.24,0.00,42.43,282.00,0.00,4048.00,14.35,2.10,7.46,0.17,4.80,323.00,0.00,323.00,0.00,4888.00,4,666,2.31,1.95,2.23,0,26359748,6053832,18.68,64344,2942272,5287912,16.31,3787760,2025144,118924,lo,8.00,8.00,3.53,3.53,0.00,0.00,0.00,0.00,0.00,2252.00,8567.00,0.00,29705.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,4523.00
20:41:57,76.83,0.00,1.76,0.00,0.00,21.41,1.00,0.00,64.00,64.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,64.00,3,631,2.31,1.95,2.23,0,26779412,5634168,17.38,64344,2941948,4599428,14.19,3369492,2025144,118600,lo,25.00,25.00,2.64,2.64,0.00,0.00,0.00,0.00,0.00,32.00,10361.00,0.00,115597.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,4332.00
20:41:58,56.14,0.00,1.00,0.00,0.00,42.86,12.00,0.00,48.00,4.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,48.00,1,636,2.31,1.95,2.23,0,26781824,5631756,17.37,64344,2921108,4599428,14.19,3383960,2008336,97764,lo,76.00,76.00,241.67,241.67,0.00,0.00,0.00,0.00,0.00,24.00,5780.00,0.00,6845.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.00,2429.00
20:41:59,44.84,0.00,1.76,0.00,0.00,53.40,10.00,0.00,40.00,4.00,0.00,0.40,0.40,0.40,10.00,0.00,10.00,0.00,40.00,4,638,2.20,1.94,2.22,0,26758268,5655312,17.45,64344,2921116,4599428,14.19,3409156,2008268,97780,lo,45.00,45.00,7.01,7.01,0.00,0.00,0.00,0.00,0.00,20.00,8479.00,0.00,2015.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.98,4400.00
20:42:00,45.86,0.00,0.75,0.00,0.00,53.38,26.00,0.00,112.00,4.31,0.01,0.31,0.31,0.80,18.00,0.00,18.00,0.00,80.00,2,638,2.20,1.94,2.22,1,26736320,5677260,17.52,64344,2921148,4695424,14.49,3430388,2008280,97812,lo,81.00,81.00,17.03,17.03,0.00,0.00,0.00,0.00,0.00,44.00,5578.00,0.00,305.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,3621.00
20:42:01,31.23,0.00,6.05,2.77,0.00,59.95,557.00,0.00,3776.00,6.78,0.12,0.22,0.22,12.40,565.00,0.00,565.00,0.00,3808.00,0,639,2.20,1.94,2.22,0,26643164,5770416,17.80,64356,3000592,4695424,14.49,3448472,2083256,177228,lo,4977.00,4977.00,79443.99,79443.99,0.00,0.00,0.00,0.00,0.00,1900.00,6114.00,0.00,23119.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,268.00,23280.00
20:42:02,5.50,0.00,1.50,1.00,0.00,92.00,222.00,0.00,928.00,4.18,0.05,0.22,0.22,4.80,198.00,0.00,198.00,0.00,824.00,1,638,2.20,1.94,2.22,0,26631628,5781952,17.84,64356,3009532,4695424,14.49,3449896,2091428,186208,lo,1074.00,1074.00,10560.19,10560.19,0.00,0.00,0.00,0.00,0.00,448.00,1446.00,0.00,4249.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,96.00,7451.00
20:42:03,7.02,0.00,2.76,0.75,0.00,89.47,120.00,0.00,504.00,4.20,0.03,0.27,0.27,3.20,144.00,0.00,144.00,0.00,608.00,1,639,2.20,1.94,2.22,0,26601964,5811616,17.93,64356,3037776,4695424,14.49,3453132,2118180,214452,lo,2028.00,2028.00,26820.49,26820.49,0.00,0.00,0.00,0.00,0.00,268.00,1100.00,0.00,7652.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,72.00,9917.00
20:42:04,53.75,0.00,2.75,0.00,0.00,43.50,30.00,0.00,120.00,4.00,0.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,120.00,2,646,2.27,1.96,2.22,0,26567784,5845796,18.04,64356,3038200,4695424,14.49,3487532,2118692,214876,lo,1340.00,1340.00,553.34,553.34,0.00,0.00,0.00,0.00,0.00,60.00,11032.00,0.00,2628.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,11484.00
20:42:05,31.97,0.00,15.86,0.00,0.00,52.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,647,2.27,1.96,2.22,0,26443280,5970300,18.42,64356,3154748,4695424,14.49,3490944,2233424,331424,lo,6459.00,6459.00,116887.02,116887.02,0.00,0.00,0.00,0.00,0.00,0.00,28325.00,0.00,38203.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,908.00,22471.00
20:42:06,57.21,0.00,4.73,6.72,0.00,31.34,350.00,0.00,194792.00,556.55,82.14,234.67,2.27,79.60,350.00,0.00,350.00,0.00,194792.00,3,665,2.27,1.96,2.22,0,26333968,6079612,18.76,64364,3155768,5338040,16.47,3601612,2233224,236400,lo,28.00,28.00,4.85,4.85,0.00,0.00,0.00,0.00,0.00,97396.00,45460.00,0.00,12993.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,147.00,7891.00
