timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:06:20,57.11,0.00,1.16,2.36,0.00,39.37,304.80,0.00,5294.40,17.37,0.12,0.41,0.36,11.04,304.80,0.00,304.80,0.00,5294.40,4,729,2.17,2.00,1.55,0,4958008,2941020,37.23,57280,542900,3814404,48.29,2559340,248400,2004,lo,17.80,17.80,2.36,2.36,0.00,0.00,0.00,0.00,0.00,2647.20,10088.40,0.00,489.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,5081.80
17:06:25,44.09,0.00,4.25,0.10,0.00,51.55,21.60,0.00,1190.40,55.11,0.04,2.04,0.22,0.48,21.60,0.00,21.60,0.00,1190.40,0,732,2.16,2.00,1.55,0,4916080,2982948,37.76,57300,560320,3848004,48.71,2584280,264604,22072,lo,183.00,183.00,3452.56,3452.56,0.00,0.00,0.00,0.00,0.00,595.20,16839.60,0.00,19667.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,6076.00
17:06:30,48.54,0.00,1.96,0.05,0.00,49.45,6.40,0.00,155.20,24.25,0.00,0.12,0.12,0.08,6.40,0.00,6.40,0.00,155.20,0,822,2.30,2.04,1.57,0,4553668,3345360,42.35,57312,578300,4371152,55.34,2927120,281136,40040,lo,193.40,193.40,3576.57,3576.57,0.00,0.00,0.00,0.00,0.00,77.60,18765.40,0.00,1561.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.20,5403.20
17:06:35,67.56,0.00,3.07,0.00,0.00,29.38,3.40,0.00,257.60,75.76,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,257.60,7,886,2.44,2.07,1.58,0,3937096,3961932,50.16,57324,579092,5032456,63.71,3541144,279460,40700,lo,65.20,65.20,35.02,35.02,0.00,0.00,0.00,0.00,0.00,128.80,32718.80,0.00,1678.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,7041.60
17:06:40,67.00,0.00,2.97,0.00,0.00,30.03,24.80,0.00,1398.40,56.39,0.06,2.48,0.13,0.32,24.80,0.00,24.80,0.00,1398.40,4,851,2.57,2.10,1.59,0,4390248,3508780,44.42,57336,578968,4610272,58.37,3090156,278964,37296,lo,84.60,84.60,36.37,36.37,0.00,0.00,0.00,0.00,0.00,699.20,26334.00,0.00,48797.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.00,7304.60
17:06:45,80.43,0.00,4.08,0.00,0.00,15.48,9.20,0.00,427.20,46.43,0.00,0.00,0.00,0.00,9.20,0.00,9.20,0.00,427.20,5,867,2.68,2.13,1.60,0,4158252,3740776,47.36,57348,578976,4892384,61.94,3322244,278824,36908,lo,95.40,95.40,56.18,56.18,0.00,0.00,0.00,0.00,0.00,213.60,46450.60,0.00,34424.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.20,7995.00
17:06:50,85.52,0.00,4.05,0.00,0.00,10.43,5.00,0.00,323.20,64.64,0.00,0.32,0.32,0.16,3.80,0.00,3.80,0.00,212.80,7,865,2.63,2.13,1.61,0,4379068,3519960,44.56,57360,579244,4804040,60.82,3101616,278900,36696,lo,85.80,85.80,42.42,42.42,0.00,0.00,0.00,0.00,0.00,106.40,39690.80,0.00,50355.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,7616.20
17:06:55,68.21,0.00,2.62,0.00,0.00,29.17,18.60,0.00,7123.20,382.97,0.61,32.73,1.38,2.56,18.60,0.00,18.60,0.00,7113.60,4,866,2.58,2.13,1.61,0,4372408,3526620,44.65,57372,579628,4805768,60.84,3108116,279036,19764,lo,89.20,89.20,34.36,34.36,0.00,0.00,0.00,0.00,0.00,3556.80,27950.00,0.00,27363.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,7264.40
17:07:00,86.21,0.00,3.47,0.00,0.00,10.32,20.00,0.00,7401.60,370.08,0.85,42.52,1.24,2.48,19.60,0.00,19.60,0.00,7387.20,6,874,2.85,2.19,1.63,0,4294908,3604120,45.63,57388,579812,4838336,61.25,3184928,279148,1940,lo,105.00,105.00,26.97,26.97,0.00,0.00,0.00,0.00,0.00,3693.60,27455.00,0.00,23351.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,8692.60
17:07:05,85.87,0.00,3.80,0.00,0.00,10.33,7.20,0.00,200.00,27.78,0.00,0.11,0.11,0.08,7.60,0.00,7.60,0.00,230.40,5,885,3.02,2.24,1.65,0,4193524,3705504,46.91,57400,579992,4856556,61.48,3285668,279240,2096,lo,110.20,110.20,29.54,29.54,0.00,0.00,0.00,0.00,0.00,115.20,27832.20,0.00,22607.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,8162.20
17:07:10,47.18,0.00,2.37,0.05,0.00,50.40,18.80,0.00,347.20,18.47,0.00,0.21,0.21,0.40,19.00,0.00,19.00,0.00,358.40,0,770,2.86,2.22,1.65,0,4524380,3374648,42.72,57412,580208,4401076,55.72,2957832,279244,2052,lo,136.20,136.20,179.39,179.39,0.00,0.00,0.00,0.00,0.00,178.40,17693.40,0.00,34253.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,6071.00
17:07:15,1.76,0.00,0.25,0.10,0.00,97.89,25.80,0.00,408.00,15.81,0.00,0.16,0.16,0.40,25.80,0.00,25.80,0.00,412.80,0,731,2.63,2.18,1.64,0,4873692,3025336,38.30,57420,579732,3876964,49.08,2610744,278928,18872,lo,194.40,194.40,3487.14,3487.14,0.00,0.00,0.00,0.00,0.00,206.40,289.40,0.00,19434.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.40,3675.00
17:07:20,46.37,0.00,1.61,0.00,0.00,52.01,5.60,0.00,168.00,30.00,0.00,0.71,0.43,0.24,5.20,0.00,5.20,0.00,105.60,0,824,2.66,2.20,1.65,0,4522820,3376208,42.74,57432,579980,4382772,55.48,2957672,282388,36900,lo,191.40,191.40,3709.59,3709.59,0.00,0.00,0.00,0.00,0.00,53.60,19186.00,0.00,2487.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.60,4448.80
