timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:27:53,32.88,0.00,2.27,0.00,0.00,64.85,7.40,0.00,262.40,35.46,0.00,0.22,0.22,0.16,7.80,0.00,7.80,0.00,296.00,4,763,2.96,3.16,3.16,0,1306820,6592208,83.46,104752,3400604,4692088,59.40,3415960,2960704,1964,lo,22.80,22.80,12.53,12.53,0.00,0.00,0.00,0.00,0.00,148.00,22199.00,0.00,29592.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,6299.20
01:27:58,58.42,0.00,2.26,0.05,0.00,39.27,13.60,0.00,187.20,13.76,0.00,0.29,0.29,0.40,13.20,0.00,13.20,0.00,196.80,3,817,2.81,3.12,3.14,0,1188216,6710812,84.96,104764,3395272,4702280,59.53,3539692,2955704,3048,lo,108.60,108.60,225.85,225.85,0.00,0.00,0.00,0.00,0.00,98.40,26788.00,0.00,20881.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,6343.00
01:28:03,53.98,0.00,2.51,0.00,0.00,43.51,4.20,0.00,166.40,39.62,0.00,0.38,0.38,0.16,4.00,0.00,4.00,0.00,107.20,7,886,2.90,3.14,3.15,0,653852,7245176,91.72,104768,3395872,5313292,67.27,4069780,2956184,3744,lo,65.80,65.80,124.77,124.77,0.00,0.00,0.00,0.00,0.00,53.60,27921.20,0.00,1035.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,6754.60
01:28:08,69.07,0.00,3.43,0.00,0.00,27.50,6.00,0.00,212.80,35.47,0.00,0.67,0.40,0.24,6.00,0.00,6.00,0.00,240.00,3,867,2.91,3.13,3.15,0,980852,6918176,87.58,104772,3396884,5205840,65.90,3743136,2956064,4680,lo,99.20,99.20,113.28,113.28,0.00,0.00,0.00,0.00,0.00,120.00,35304.60,0.00,51217.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,8735.40
01:28:13,80.44,0.00,3.94,0.05,0.00,15.56,2.40,0.00,164.80,68.67,0.00,1.00,1.00,0.24,2.20,0.00,2.20,0.00,129.60,4,853,3.00,3.15,3.15,0,1024588,6874440,87.03,104776,3397760,5012136,63.45,3700084,2956132,5644,lo,97.00,97.00,150.43,150.43,0.00,0.00,0.00,0.00,0.00,64.80,38239.60,0.00,40201.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,8124.60
01:28:18,66.20,0.00,3.43,0.00,0.00,30.37,7.00,0.00,268.80,38.40,0.00,0.11,0.11,0.08,7.40,0.00,7.40,0.00,302.40,5,876,3.08,3.16,3.16,0,937656,6961372,88.13,104780,3398760,5226616,66.17,3785244,2956876,6292,lo,97.60,97.60,243.98,243.98,0.00,0.00,0.00,0.00,0.00,151.20,30897.80,0.00,26233.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,7305.20
01:28:23,76.26,0.00,2.67,0.00,0.00,21.07,28.20,0.00,796.80,28.26,0.02,0.54,0.23,0.64,27.80,0.00,27.80,0.00,768.00,6,883,3.07,3.16,3.16,0,857680,7041348,89.14,104784,3400856,5238168,66.31,3862140,2959268,7208,lo,140.80,140.80,545.11,545.11,0.00,0.00,0.00,0.00,0.00,384.00,20201.20,0.00,16228.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.20,8517.40
01:28:28,76.85,0.00,3.68,0.00,0.00,19.47,26.80,0.00,1233.60,46.03,0.03,1.07,0.06,0.16,28.00,0.00,28.00,0.00,1318.40,5,868,3.15,3.17,3.16,0,969084,6929944,87.73,104784,3402164,5238356,66.32,3749752,2961108,5604,lo,115.40,115.40,375.22,375.22,0.00,0.00,0.00,0.00,0.00,659.20,26338.20,0.00,31435.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,8548.20
01:28:33,38.21,0.00,1.41,0.10,0.00,60.28,31.60,0.00,617.60,19.54,0.02,0.53,0.23,0.72,30.80,0.00,30.80,0.00,540.80,0,773,2.89,3.12,3.15,0,1147832,6751196,85.47,104792,3404056,4806228,60.85,3570484,2963240,6804,lo,176.60,176.60,555.39,555.39,0.00,0.00,0.00,0.00,0.00,270.40,6399.20,0.00,15686.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,5523.20
01:28:38,3.41,0.00,0.75,0.00,0.00,95.84,7.00,0.00,161.60,23.09,0.00,0.11,0.11,0.08,6.80,0.00,6.80,0.00,196.80,3,762,2.66,3.07,3.13,0,1479688,6419340,81.27,104804,3401016,4389244,55.57,3243988,2960964,7032,lo,57.00,57.00,137.78,137.78,0.00,0.00,0.00,0.00,0.00,98.40,3445.40,0.00,19851.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,4026.00
01:28:43,42.76,0.00,1.46,0.00,0.00,55.78,3.80,0.00,147.20,38.74,0.00,0.42,0.42,0.16,3.60,0.00,3.60,0.00,80.00,2,823,2.69,3.07,3.13,0,1171796,6727232,85.17,104812,3401244,4688868,59.36,3549592,2961024,7352,lo,37.80,37.80,28.87,28.87,0.00,0.00,0.00,0.00,0.00,40.00,15976.00,0.00,660.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,5679.00
