timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
20:25:59,4.06,0.00,0.50,13.23,0.00,82.21,174.80,0.00,126017.60,720.92,70.41,427.76,3.17,55.36,174.80,0.00,174.80,0.00,126017.60,1,856,3.25,2.99,1.93,0,13568688,18844364,58.14,97788,14754156,7156404,22.08,4589424,13652328,915596,lo,57.20,57.20,157.26,157.26,0.00,0.00,0.00,0.00,0.00,55357.60,7529.60,0.00,14688.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.40,4056.20
20:26:04,22.46,0.00,1.98,0.05,0.00,75.51,11.80,0.00,184.00,15.59,0.00,0.20,0.20,0.24,11.80,0.00,11.80,0.00,184.00,0,834,3.14,2.97,1.93,0,17076512,15336540,47.32,97900,11605204,6257104,19.30,4116056,10702564,2676,lo,453.20,453.20,12750.91,12750.91,0.00,0.00,0.00,0.00,0.00,92.00,30904.20,0.00,206023.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.20,7820.20
20:26:09,22.43,0.00,1.05,0.00,0.00,76.52,10.00,0.00,473.60,47.36,0.01,1.28,0.24,0.24,10.00,0.00,10.00,0.00,473.60,4,932,2.89,2.92,1.92,0,17743316,14669736,45.26,97924,10520508,7067120,21.80,4553588,9618856,4560,lo,96.40,96.40,290.54,290.54,0.00,0.00,0.00,0.00,0.00,236.80,24074.20,0.00,57431.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,6561.40
20:26:14,41.87,0.00,1.68,0.00,0.00,56.46,19.20,0.00,558.40,29.08,0.01,0.54,0.08,0.16,19.20,0.00,19.20,0.00,558.40,2,1001,2.82,2.90,1.92,0,16992260,15420792,47.58,97944,10772700,7688140,23.72,5294780,9619220,255720,lo,1492.80,1492.80,53526.25,53526.25,0.00,0.00,0.00,0.00,0.00,279.20,26203.00,0.00,1571.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.60,5909.20
20:26:19,32.72,0.00,2.39,0.00,0.00,64.89,4.20,0.00,96.00,22.86,0.00,0.38,0.38,0.16,4.20,0.00,4.20,0.00,96.00,2,1002,3.00,2.94,1.93,0,16999388,15413664,47.55,97964,10793588,7664360,23.65,5285736,9619120,276660,lo,834.20,834.20,28867.73,28867.73,0.00,0.00,0.00,0.00,0.00,48.00,26545.00,0.00,41832.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.40,7561.60
20:26:24,37.03,0.00,2.51,0.03,0.00,60.44,2.20,0.00,134.40,61.09,0.00,1.82,0.36,0.08,2.20,0.00,2.20,0.00,134.40,5,996,3.24,2.99,1.96,0,16864652,15548400,47.97,97976,11066208,7655572,23.62,5413732,9619032,549428,lo,993.40,993.40,34653.41,34653.41,0.00,0.00,0.00,0.00,0.00,67.20,19265.20,0.00,40330.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.40,7547.20
20:26:29,34.62,0.00,2.48,0.00,0.00,62.90,1.40,0.00,108.80,77.71,0.00,2.86,1.14,0.16,1.40,0.00,1.40,0.00,108.80,2,991,3.62,3.07,1.99,0,16576916,15836136,48.86,97988,11339064,7670368,23.66,5693232,9619176,822380,lo,1228.20,1228.20,43562.37,43562.37,0.00,0.00,0.00,0.00,0.00,54.40,13628.20,0.00,27384.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.60,6964.20
20:26:34,38.24,0.00,2.35,0.00,0.00,59.41,3.60,0.00,262.40,72.89,0.00,1.11,0.44,0.16,3.60,0.00,3.60,0.00,262.40,1,1002,3.57,3.07,2.00,0,16166844,16246208,50.12,98000,11597208,7669696,23.66,6095352,9619248,1080192,lo,1499.40,1499.40,53652.87,53652.87,0.00,0.00,0.00,0.00,0.00,131.20,20566.00,0.00,20421.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,6309.60
20:26:39,38.69,0.00,2.16,0.00,0.00,59.15,21.80,0.00,1355.20,62.17,0.07,3.27,0.07,0.16,21.80,0.00,21.80,0.00,1355.20,2,1008,3.44,3.06,2.00,0,15995036,16418016,50.65,98016,11774796,7657200,23.62,6263432,9619292,1254832,lo,1272.60,1272.60,45505.51,45505.51,0.00,0.00,0.00,0.00,0.00,677.60,26187.00,0.00,33554.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.80,7622.80
20:26:44,38.42,0.00,2.78,0.03,0.00,58.77,4.60,0.00,270.40,58.78,0.01,1.91,0.17,0.08,4.60,0.00,4.60,0.00,270.40,2,1005,3.33,3.04,2.00,0,15810572,16602480,51.22,98028,11956448,7689768,23.72,6442608,9619168,1436364,lo,1300.80,1300.80,46090.30,46090.30,0.00,0.00,0.00,0.00,0.00,135.20,26346.40,0.00,40366.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.80,8753.80
20:26:49,37.27,0.00,2.48,2.50,0.00,57.75,178.20,0.00,109395.20,613.89,72.10,404.58,2.50,44.56,178.20,0.00,178.20,0.00,109395.20,5,995,3.70,3.12,2.03,0,15739984,16673068,51.44,98044,12157216,7659648,23.63,6508696,9619152,1363856,lo,967.60,967.60,34108.83,34108.83,0.00,0.00,0.00,0.00,0.00,54697.60,19432.40,0.00,40074.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.60,8840.00
