timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:31:48,3.53,0.00,0.40,0.50,0.00,95.57,35.00,0.00,13620.80,389.17,10.64,101.26,1.37,4.80,35.00,0.00,35.00,0.00,13620.80,1,809,3.87,3.62,3.43,0,16963412,15449640,47.66,86724,12031804,5813036,17.93,4054380,10862228,11164,lo,6.20,6.20,2.35,2.35,0.00,0.00,0.00,0.00,0.00,15376.00,7800.60,0.00,1987.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,3399.60
17:31:53,28.86,0.00,1.62,0.00,0.00,69.52,41.40,0.00,17288.00,417.58,7.74,358.47,1.89,7.84,41.40,0.00,41.40,0.00,17288.00,6,869,3.96,3.65,3.44,0,16555492,15857560,48.92,86736,12031884,6446940,19.89,4461560,10862136,10764,lo,16.00,16.00,3.26,3.26,0.00,0.00,0.00,0.00,0.00,78.40,43831.00,0.00,22452.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,40.20,7428.40
17:31:58,37.01,0.00,0.90,1.13,0.00,60.96,317.40,0.00,5979.20,18.84,0.13,0.42,0.37,11.76,317.40,0.00,317.40,0.00,5979.20,2,895,3.73,3.60,3.42,0,16275724,16137328,49.79,88464,12025884,6592700,20.34,4745680,10854700,1652,lo,29.80,29.80,3.87,3.87,0.00,0.00,0.00,0.00,0.00,2989.60,17160.20,0.00,3556.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.80,9726.60
17:32:03,39.14,0.00,1.11,0.81,0.00,58.94,86.20,0.00,30948.80,359.03,16.06,186.36,1.51,13.04,86.20,0.00,86.20,0.00,30948.80,9,913,3.91,3.64,3.44,0,15908404,16504648,50.92,88584,12189152,6875320,21.21,5023164,10939268,88084,lo,754.60,754.60,25661.11,25661.11,0.00,0.00,0.00,0.00,0.00,15474.40,11279.20,0.00,3535.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,13110.20
17:32:08,82.39,0.00,1.77,0.03,0.00,15.81,2.80,0.00,190.40,68.00,0.00,0.57,0.29,0.08,2.80,0.00,2.80,0.00,190.40,8,918,4.24,3.72,3.46,0,15781748,16631304,51.31,88592,12261704,6875320,21.21,5071896,11013392,160592,lo,2362.20,2362.20,77275.61,77275.61,0.00,0.00,0.00,0.00,0.00,95.20,4133.80,0.00,5784.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,12182.40
17:32:13,81.59,0.00,1.89,0.00,0.00,16.52,12.20,0.00,316.80,25.97,0.00,0.07,0.07,0.08,12.20,0.00,12.20,0.00,316.80,9,916,4.54,3.79,3.49,0,15752008,16661044,51.40,88596,12269588,6875320,21.21,5096068,11020828,168052,lo,3193.40,3193.40,107785.82,107785.82,0.00,0.00,0.00,0.00,0.00,158.40,1641.40,0.00,901.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.80,12423.00
17:32:18,80.67,0.00,2.21,0.00,0.00,17.12,4.40,0.00,158.40,36.00,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,158.40,8,916,4.82,3.86,3.51,0,15740036,16673016,51.44,88608,12274624,6875320,21.21,5103336,11025844,173056,lo,3599.00,3599.00,113024.39,113024.39,0.00,0.00,0.00,0.00,0.00,79.20,528.40,0.00,728.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,12916.40
17:32:23,62.75,0.00,1.38,0.00,0.00,35.87,2.20,0.00,123.20,56.00,0.00,1.82,0.36,0.08,2.20,0.00,2.20,0.00,123.20,11,920,5.07,3.93,3.54,0,15698888,16714164,51.57,88620,12283084,6875320,21.21,5137984,11034304,181560,lo,2526.60,2526.60,77179.61,77179.61,0.00,0.00,0.00,0.00,0.00,61.60,2225.20,0.00,1135.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,10297.00
17:32:28,57.80,0.00,1.49,0.03,0.00,40.69,30.60,0.00,521.60,17.05,0.01,0.29,0.29,0.88,30.60,0.00,30.60,0.00,521.60,0,776,4.66,3.86,3.52,0,16981424,15431628,47.61,88648,12112436,5242740,16.17,3959396,10935924,87628,lo,253.80,253.80,2091.84,2091.84,0.00,0.00,0.00,0.00,0.00,260.80,10576.80,0.00,80977.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,7184.00
17:32:33,5.21,0.00,0.35,0.00,0.00,94.44,5.60,0.00,281.60,50.29,0.00,0.57,0.14,0.08,5.60,0.00,5.60,0.00,281.60,4,800,4.37,3.81,3.50,0,16803760,15609292,48.16,88660,12108620,5849208,18.05,4141980,10934044,87308,lo,6.20,6.20,2.43,2.43,0.00,0.00,0.00,0.00,0.00,140.80,11871.20,0.00,1999.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,3252.80
