timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
02:19:48,71.84,0.00,3.81,0.00,0.00,24.35,13.20,0.00,684.80,51.88,0.01,0.85,0.24,0.32,13.20,0.00,13.20,0.00,684.80,2,677,3.13,3.01,2.64,0,2850900,5177416,64.49,61652,2633184,4119644,51.31,2744768,2255324,4792,lo,12.00,12.00,7.85,7.85,0.00,0.00,0.00,0.00,0.00,342.40,20072.00,0.00,17776.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,4726.20
02:19:53,85.17,0.00,3.13,4.84,0.00,6.86,293.80,0.00,5408.00,18.41,0.13,0.45,0.38,11.20,293.80,0.00,293.80,0.00,5408.00,3,687,3.04,2.99,2.63,0,2689216,5339100,66.50,63868,2633108,4189216,52.18,2908108,2253684,2972,lo,7.80,7.80,1.14,1.14,0.00,0.00,0.00,0.00,0.00,2704.00,8011.00,0.00,225.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,4506.40
02:19:58,78.25,0.00,3.83,0.10,0.00,17.82,31.40,0.00,467.20,14.88,0.01,0.38,0.33,1.04,31.40,0.00,31.40,0.00,467.20,6,712,3.03,3.00,2.64,0,2503420,5524896,68.82,63996,2668048,4511956,56.20,3059424,2286216,37456,lo,321.80,321.80,6969.00,6969.00,0.00,0.00,0.00,0.00,0.00,233.60,9214.00,0.00,2096.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,5092.00
02:20:03,67.37,0.00,3.51,0.00,0.00,29.12,6.60,0.00,238.40,36.12,0.00,0.73,0.24,0.16,6.60,0.00,6.60,0.00,238.40,0,808,3.03,3.00,2.64,0,2211112,5817204,72.46,64016,2668456,5158784,64.26,3347768,2286508,37924,lo,48.60,48.60,56.15,56.15,0.00,0.00,0.00,0.00,0.00,119.20,15873.40,0.00,841.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,4115.60
02:20:08,95.20,0.00,4.10,0.00,0.00,0.70,3.40,0.00,267.20,78.59,0.00,0.24,0.24,0.08,3.40,0.00,3.40,0.00,267.20,4,825,3.11,3.01,2.65,0,1848224,6180092,76.98,64024,2669024,5307128,66.11,3710120,2285984,38164,lo,89.00,89.00,771.62,771.62,0.00,0.00,0.00,0.00,0.00,133.60,23544.40,0.00,1233.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.60,4599.40
02:20:13,92.90,0.00,4.30,0.00,0.00,2.80,2.60,0.00,131.20,50.46,0.00,0.31,0.31,0.08,2.60,0.00,2.60,0.00,131.20,6,819,2.94,2.98,2.64,0,2010380,6017936,74.96,64036,2669832,5301476,66.03,3549036,2285428,39004,lo,67.00,67.00,565.51,565.51,0.00,0.00,0.00,0.00,0.00,65.60,16118.20,0.00,28409.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,5155.20
02:20:18,93.79,0.00,4.70,0.00,0.00,1.50,26.00,0.00,742.40,28.55,0.06,2.15,0.03,0.08,25.80,0.00,25.80,0.00,729.60,1,799,2.95,2.98,2.64,0,1883228,6145088,76.54,64048,2670544,5392356,67.17,3676508,2285196,37936,lo,112.40,112.40,1314.99,1314.99,0.00,0.00,0.00,0.00,0.00,371.20,21986.60,0.00,28455.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.20,5517.00
02:20:23,94.25,0.00,4.54,0.00,0.00,1.21,4.80,0.00,318.40,66.33,0.00,0.50,0.33,0.16,5.00,0.00,5.00,0.00,331.20,9,820,3.27,3.05,2.66,0,2046320,5981996,74.51,64060,2671344,5277408,65.73,3513604,2285496,38652,lo,79.60,79.60,674.68,674.68,0.00,0.00,0.00,0.00,0.00,159.20,19128.60,0.00,13964.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.80,6088.00
02:20:28,94.05,0.00,3.73,0.10,0.00,2.12,70.00,0.00,14220.80,203.15,5.72,81.68,0.89,6.24,70.00,0.00,70.00,0.00,14220.80,2,834,3.33,3.06,2.67,0,1979664,6048652,75.34,64072,2672088,5292548,65.92,3579328,2286028,4204,lo,85.40,85.40,736.54,736.54,0.00,0.00,0.00,0.00,0.00,7110.40,18709.60,0.00,15353.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.60,5335.20
02:20:33,81.65,0.00,3.63,0.00,0.00,14.72,5.40,0.00,329.60,61.04,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,329.60,3,841,3.14,3.03,2.66,0,1837780,6190536,77.11,64084,2672624,5401904,67.29,3720768,2286104,4412,lo,116.60,116.60,1254.07,1254.07,0.00,0.00,0.00,0.00,0.00,164.80,20335.20,0.00,13239.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,5118.60
