timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
02:45:18,70.97,0.00,3.60,0.00,0.00,25.43,4.40,0.00,172.80,39.27,0.00,0.18,0.18,0.08,4.40,0.00,4.40,0.00,172.80,2,668,2.26,2.60,2.66,0,1386344,6641972,82.73,100056,3939304,4133028,51.48,2983216,3446944,724,lo,9.00,9.00,0.92,0.92,0.00,0.00,0.00,0.00,0.00,86.40,20618.40,0.00,14999.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.00,3335.60
02:45:23,85.54,0.00,5.12,3.31,0.00,6.02,86.00,0.00,18211.20,211.76,8.60,84.74,0.80,6.88,66.20,0.00,66.20,0.00,13705.60,0,732,2.32,2.60,2.66,1,919868,7108448,88.54,100064,4016028,4700272,58.55,3408024,3485384,28088,lo,445.60,445.60,15353.01,15353.01,0.00,0.00,0.00,0.00,0.00,12177.60,19735.20,0.00,3205.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.60,6268.00
02:45:28,90.85,0.00,3.02,1.71,0.00,4.43,56.20,0.00,12700.80,225.99,5.78,126.21,0.98,5.52,76.00,0.00,76.00,0.00,17206.40,3,741,2.38,2.61,2.66,0,638680,7389636,92.04,100072,4094424,4874848,60.72,3647156,3525008,78964,lo,304.80,304.80,8867.27,8867.27,0.00,0.00,0.00,0.00,0.00,3278.40,10429.60,0.00,333.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,2831.20
02:45:33,95.39,0.00,1.91,0.00,0.00,2.71,8.60,0.00,129.60,15.07,0.00,0.09,0.09,0.08,8.60,0.00,8.60,0.00,129.60,4,743,2.43,2.62,2.66,0,531976,7496340,93.37,100080,4099616,4891160,60.92,3755204,3523624,84060,lo,465.87,465.87,13321.42,13321.42,0.00,0.00,0.00,0.00,0.00,64.80,5462.00,0.00,416.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,2857.40
02:45:38,98.29,0.00,1.11,0.00,0.00,0.60,0.60,0.00,40.00,66.67,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,40.00,2,743,2.39,2.61,2.66,0,512120,7516196,93.62,100084,4099628,4891160,60.92,3774288,3523616,84112,lo,234.00,234.00,6370.33,6370.33,0.00,0.00,0.00,0.00,0.00,20.00,1406.40,0.00,694.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,2474.80
02:45:43,96.37,0.00,1.61,0.00,0.00,2.01,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,2,742,2.36,2.60,2.65,0,481320,7546996,94.00,100084,4099632,4955592,61.73,3805888,3523620,84116,lo,447.00,447.00,13165.70,13165.70,0.00,0.00,0.00,0.00,0.00,11.20,1655.60,0.00,80.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2344.00
02:45:48,92.72,0.00,1.01,0.00,0.00,6.27,3.60,0.00,118.40,32.89,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,118.40,1,742,2.33,2.58,2.65,0,436040,7592276,94.57,100092,4101264,4992396,62.18,3848992,3525228,85696,lo,381.60,381.60,10583.44,10583.44,0.00,0.00,0.00,0.00,0.00,59.20,2284.20,0.00,116.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2311.80
02:45:53,37.81,0.00,0.60,0.00,0.00,61.58,1.60,0.00,75.20,47.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,75.20,2,742,2.15,2.54,2.64,0,435688,7592628,94.57,100096,4101276,4992396,62.18,3849272,3525228,85684,lo,225.40,225.40,6475.67,6475.67,0.00,0.00,0.00,0.00,0.00,37.60,22.80,0.00,42.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,1965.20
02:45:58,29.59,0.00,0.50,4.11,0.00,65.80,98.60,0.00,30865.60,313.04,13.29,134.80,1.26,12.40,98.60,0.00,98.60,0.00,30865.60,0,741,1.97,2.50,2.62,0,427060,7601256,94.68,100100,4101284,4992396,62.18,3858660,3525228,8604,lo,131.20,131.20,2780.26,2780.26,0.00,0.00,0.00,0.00,0.00,15432.80,574.80,0.00,150.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,1808.20
02:46:03,86.95,0.00,0.90,0.00,0.00,12.15,4.20,0.00,2780.80,662.10,0.03,7.43,0.95,0.40,4.20,0.00,4.20,0.00,2780.80,2,742,1.98,2.49,2.62,0,410752,7617564,94.88,100108,4101300,4992396,62.18,3874816,3525240,1908,lo,399.40,399.40,10996.42,10996.42,0.00,0.00,0.00,0.00,0.00,1390.40,875.00,0.00,64.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2217.80
