timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:33:59,59.35,0.00,1.30,2.51,0.00,36.84,303.40,0.00,5696.00,18.77,0.13,0.42,0.36,10.88,303.40,0.00,303.40,0.00,5696.00,2,726,2.99,3.12,3.20,0,1373864,14782700,91.50,75556,11809912,4576824,28.33,3698944,10623744,2172,lo,13.40,13.40,1.81,1.81,0.00,0.00,0.00,0.00,0.00,2848.00,10419.60,0.00,1132.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,5437.00
17:34:04,58.46,0.00,2.01,0.15,0.00,39.38,29.60,0.00,329.60,11.14,0.01,0.30,0.27,0.80,29.60,0.00,29.60,0.00,329.60,4,768,3.07,3.13,3.20,0,1049584,15106980,93.50,75640,11845132,5148056,31.86,3988808,10656272,36956,lo,336.40,336.40,6973.78,6973.78,0.00,0.00,0.00,0.00,0.00,165.60,16093.20,0.00,2189.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,5493.40
17:34:09,54.91,0.00,1.96,0.00,0.00,43.13,3.60,0.00,139.20,38.67,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,139.20,7,864,2.83,3.08,3.19,0,679136,15477428,95.80,75648,11845664,5911776,36.59,4355104,10656616,37580,lo,49.00,49.00,56.68,56.68,0.00,0.00,0.00,0.00,0.00,69.60,20379.40,0.00,1655.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,5153.60
17:34:14,86.61,0.00,1.91,0.00,0.00,11.48,1.20,0.00,100.80,84.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,100.80,5,872,3.32,3.18,3.22,0,262264,15894300,98.38,75652,11846196,6023560,37.28,4770736,10654724,38192,lo,518.40,518.40,14850.52,14850.52,0.00,0.00,0.00,0.00,0.00,50.40,22535.60,0.00,1894.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,5383.40
17:34:19,59.07,0.00,1.36,0.00,0.00,39.57,18.00,0.00,411.20,22.84,0.02,1.24,0.04,0.08,18.00,0.00,18.00,0.00,411.20,2,869,3.38,3.19,3.22,0,286012,15870552,98.23,75652,11846208,6023560,37.28,4746648,10654732,37164,lo,1176.20,1176.20,36216.89,36216.89,0.00,0.00,0.00,0.00,0.00,205.60,218.40,0.00,1504.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5759.20
17:34:24,81.05,0.00,3.12,0.00,0.00,15.84,3.80,0.00,249.60,65.68,0.00,0.21,0.21,0.08,3.80,0.00,3.80,0.00,249.60,11,877,3.43,3.21,3.23,0,263488,15893076,98.37,75660,11849452,6006608,37.18,4771540,10654760,40068,lo,267.00,267.00,6057.45,6057.45,0.00,0.00,0.00,0.00,0.00,124.80,34079.40,0.00,32745.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.20,6092.60
17:34:29,70.95,0.00,1.41,0.00,0.00,27.63,6.40,0.00,347.20,54.25,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,347.20,5,877,3.47,3.22,3.23,0,265676,15890888,98.36,75660,11849516,6006608,37.18,4767784,10654784,39764,lo,916.60,916.60,28207.00,28207.00,0.00,0.00,0.00,0.00,0.00,173.60,1147.00,0.00,1421.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5449.60
17:34:34,57.87,0.00,2.30,0.40,0.00,39.43,69.40,0.00,14115.20,203.39,5.71,82.24,0.88,6.08,69.40,0.00,69.40,0.00,14115.20,5,856,3.36,3.20,3.22,0,732784,15423780,95.46,75664,11852028,5863260,36.29,4304596,10654228,7224,lo,837.80,837.80,24817.60,24817.60,0.00,0.00,0.00,0.00,0.00,7057.60,9060.20,0.00,32305.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,6176.80
17:34:39,92.11,0.00,2.46,0.00,0.00,5.42,3.20,0.00,256.00,80.00,0.00,0.25,0.25,0.08,3.20,0.00,3.20,0.00,256.00,4,881,3.49,3.23,3.23,0,239872,15916692,98.52,75668,11852720,6024112,37.29,4792656,10654828,7796,lo,289.20,289.20,7573.84,7573.84,0.00,0.00,0.00,0.00,0.00,128.00,26179.40,0.00,1684.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.20,5277.80
17:34:44,60.60,0.00,1.30,0.00,0.00,38.10,1.60,3.20,89.60,58.00,0.00,0.00,0.00,0.00,1.60,0.40,1.20,3.20,89.60,2,882,3.53,3.24,3.24,0,250532,15906032,98.45,75676,11852744,6024112,37.29,4780896,10654832,7736,lo,1153.00,1153.00,35530.09,35530.09,0.00,0.00,0.00,0.00,1.60,44.80,242.60,0.00,907.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,5426.00
