timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
22:00:41,63.37,0.00,2.31,0.00,0.00,34.32,2.20,0.00,150.40,68.36,0.00,1.45,0.73,0.16,2.00,0.00,2.00,0.00,116.80,6,783,4.04,4.01,4.00,0,2726188,13430376,83.13,101112,9998720,5229340,32.37,6622532,6308492,480,lo,22.80,22.80,7.77,7.77,0.00,0.00,0.00,0.00,0.00,58.40,32399.60,0.00,9211.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.40,6899.20
22:00:46,70.04,0.00,6.01,2.17,0.00,21.78,138.60,993.60,30732.80,228.91,13.04,94.06,0.84,11.68,138.60,7.00,131.60,993.60,30744.00,6,803,4.12,4.03,4.00,0,2055728,14100836,87.28,101116,10154512,5599728,34.66,7211352,6387384,77148,lo,6805.60,6805.60,231815.38,231815.38,0.00,0.00,0.00,0.00,496.80,15372.00,28635.60,0.00,6208.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.40,9588.00
22:00:51,83.61,0.00,8.12,0.00,0.00,8.27,0.80,0.00,73.60,92.00,0.00,3.00,1.00,0.08,0.60,0.00,0.60,0.00,51.20,5,802,4.11,4.02,4.00,0,2055536,14101028,87.28,101124,10154528,5615868,34.76,7210172,6387388,77240,lo,15334.20,15334.20,523284.84,523284.84,0.00,0.00,0.00,0.00,0.00,25.60,755.40,0.00,2607.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,9280.60
22:00:56,85.24,0.00,7.43,0.00,0.00,7.33,3.00,0.00,91.20,30.40,0.00,0.27,0.27,0.08,3.00,0.00,3.00,0.00,78.40,2,803,4.18,4.04,4.01,0,2039680,14116884,87.38,101132,10154552,5615868,34.76,7226596,6387384,77304,lo,14132.00,14132.00,483393.10,483393.10,0.00,0.00,0.00,0.00,0.00,39.20,1754.20,0.00,2511.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.40,9540.40
22:01:01,84.51,0.00,7.80,0.00,0.00,7.70,11.80,0.00,236.80,20.07,0.00,0.07,0.07,0.08,12.00,0.00,12.00,0.00,238.40,5,802,3.92,3.99,3.99,0,2042276,14114288,87.36,101140,10154572,5616772,34.76,7223088,6387384,76836,lo,15802.00,15802.00,543811.51,543811.51,0.00,0.00,0.00,0.00,0.00,119.20,549.20,0.00,2536.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.20,8729.40
22:01:06,80.39,0.00,7.67,0.00,0.00,11.94,1.80,0.00,137.60,76.44,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,97.60,5,811,3.93,3.99,3.99,0,1951468,14205096,87.92,101144,10210924,5616772,34.76,7265996,6436552,133308,lo,12555.80,12555.80,429941.18,429941.18,0.00,0.00,0.00,0.00,0.00,48.80,3425.20,0.00,3122.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.80,7919.00
22:01:11,86.60,0.00,6.37,0.00,0.00,7.03,0.60,0.00,4.80,8.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,67.20,6,810,3.94,3.99,3.99,0,1875920,14280644,88.39,101148,10276924,5633312,34.87,7284640,6494408,199480,lo,12090.80,12090.80,415041.06,415041.06,0.00,0.00,0.00,0.00,0.00,33.60,1286.40,0.00,2174.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.60,8257.20
22:01:16,86.06,0.00,6.49,0.00,0.00,7.45,1.40,0.00,123.20,88.00,0.00,1.14,0.57,0.08,2.00,0.00,2.00,0.00,150.40,4,810,3.78,3.96,3.98,0,1798188,14358376,88.87,101152,10352204,5629976,34.85,7294976,6560264,274700,lo,12384.60,12384.60,424636.31,424636.31,0.00,0.00,0.00,0.00,0.00,75.20,1518.80,0.00,2875.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,7845.20
22:01:21,86.47,0.00,6.74,0.20,0.00,6.59,134.80,0.00,30736.00,228.01,14.31,106.17,0.92,12.40,134.20,0.00,134.20,0.00,30720.00,4,810,3.80,3.96,3.98,0,1726124,14430440,89.32,101156,10422784,5650176,34.97,7305220,6622004,268692,lo,12697.40,12697.40,433536.07,433536.07,0.00,0.00,0.00,0.00,0.00,15360.00,1370.20,0.00,2802.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,7775.40
22:01:26,78.71,0.00,5.98,0.00,0.00,15.31,3.60,0.00,110.40,30.67,0.00,0.44,0.22,0.08,3.80,0.00,3.80,0.00,126.40,4,814,3.81,3.96,3.98,0,1622148,14534416,89.96,101160,10457348,5672220,35.11,7643080,6389004,303248,lo,9757.60,9757.60,331271.65,331271.65,0.00,0.00,0.00,0.00,0.00,63.20,5069.40,0.00,5004.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.80,8187.00
