timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
15:50:40,45.74,0.00,1.80,0.15,0.00,52.31,9.60,0.00,7350.40,765.67,0.36,37.00,2.67,2.56,9.60,0.00,9.60,0.00,7350.40,2,756,6.64,6.14,4.45,0,9825036,6072952,38.20,36428,3349100,5140252,32.33,2856964,2955180,304,lo,15.20,15.20,7.95,7.95,0.00,0.00,0.00,0.00,0.00,3675.20,8770.60,0.00,417842.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.60,3617.40
15:50:45,29.08,0.00,1.51,0.00,0.00,69.41,2.80,0.00,140.80,50.29,0.00,0.29,0.29,0.08,2.80,0.00,2.80,0.00,140.80,6,843,6.19,6.05,4.43,0,9373988,6524000,41.04,36440,3349208,6303000,39.65,3305376,2955188,764,lo,23.80,23.80,4.92,4.92,0.00,0.00,0.00,0.00,0.00,70.40,40670.80,0.00,17149.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.20,9784.60
15:50:50,68.31,0.00,5.10,0.56,0.00,26.04,45.60,0.00,30752.00,674.39,11.37,249.32,2.75,12.56,45.60,0.00,45.60,0.00,30752.00,8,875,6.58,6.13,4.47,0,7914968,7983020,50.21,36448,3502512,7769180,48.87,4681760,3031796,77436,lo,11819.00,11819.00,432837.33,432837.33,0.00,0.00,0.00,0.00,0.00,15376.00,67533.20,0.00,6159.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,11185.20
15:50:55,78.50,0.00,6.83,0.00,0.00,14.67,3.20,0.00,187.20,58.50,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,187.20,10,874,6.69,6.16,4.48,0,5468908,10429080,65.60,36456,4105556,9275080,58.34,7108856,3032216,680524,lo,3700.60,3700.60,136018.88,136018.88,0.00,0.00,0.00,0.00,0.00,93.60,102104.60,0.00,37289.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,6642.20
15:51:00,80.56,0.00,4.05,1.21,0.00,14.19,433.20,0.00,139568.00,322.18,80.00,181.45,1.35,58.48,433.40,0.00,433.40,0.00,139628.80,10,865,6.88,6.21,4.51,2,3896688,12001300,75.49,36464,4397016,10425880,65.58,8672912,3031792,612048,lo,81.60,81.60,41.46,41.46,0.00,0.00,0.00,0.00,0.00,73447.20,77283.80,0.00,25803.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3824.40
15:51:05,71.72,0.00,0.50,2.18,0.00,25.59,215.00,0.00,132841.60,617.87,67.42,320.07,2.78,59.76,214.80,0.00,214.80,0.00,132780.80,10,864,6.41,6.12,4.49,0,3804348,12093640,76.07,36472,4397020,10425880,65.58,8765196,3031780,291856,lo,4.80,4.80,0.87,0.87,0.00,0.00,0.00,0.00,0.00,62757.60,4993.40,0.00,406.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3585.60
15:51:10,92.61,0.00,0.55,0.00,0.00,6.83,1.60,0.00,164.80,103.00,0.00,0.50,0.50,0.08,1.60,0.00,1.60,0.00,164.80,10,865,6.53,6.16,4.51,0,3726160,12171828,76.56,36480,4432468,10425880,65.58,8840376,3031780,327412,lo,224.00,224.00,158.66,158.66,0.00,0.00,0.00,0.00,0.00,82.40,2671.60,0.00,2407.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,4019.00
15:51:15,93.51,0.00,0.43,0.00,0.00,6.07,1.60,0.00,180.80,113.00,0.00,0.50,0.50,0.08,1.60,0.00,1.60,0.00,180.80,9,865,6.73,6.20,4.53,0,3670676,12227312,76.91,36484,4479352,10425880,65.58,8893144,3033592,374464,lo,216.40,216.40,163.03,163.03,0.00,0.00,0.00,0.00,0.00,90.40,1545.80,0.00,3404.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2811.00
15:51:20,95.21,0.00,0.50,0.00,0.00,4.29,1.40,0.00,150.40,107.43,0.00,0.57,0.57,0.08,1.40,0.00,1.40,0.00,150.40,9,864,6.83,6.23,4.55,0,3588644,12309344,77.43,36492,4516144,10474540,65.89,8975356,3031800,411352,lo,225.80,225.80,133.56,133.56,0.00,0.00,0.00,0.00,0.00,75.20,2321.60,0.00,1948.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3557.60
15:51:25,94.61,0.00,0.48,0.00,0.00,4.91,1.60,0.00,142.40,89.00,0.00,0.50,0.50,0.08,1.60,0.00,1.60,0.00,142.40,9,864,6.93,6.26,4.57,0,3538860,12359128,77.74,36500,4563040,10474540,65.89,9020696,3031820,458276,lo,219.60,219.60,170.69,170.69,0.00,0.00,0.00,0.00,0.00,71.20,369.60,0.00,2715.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2592.40
