timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:57:15,33.95,0.00,1.93,0.03,0.00,64.09,21.60,0.00,248.00,11.48,0.00,0.11,0.11,0.24,20.80,0.00,20.80,0.00,180.80,1,904,2.34,2.45,2.25,0,9805208,6092780,38.32,51188,2654568,5424740,34.12,3709488,2093952,719312,lo,919.40,919.40,24573.66,24573.66,0.00,0.00,0.00,0.00,0.00,124.00,20736.40,0.00,33133.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,13201.20
11:57:20,13.38,0.00,1.80,0.00,0.00,84.81,30.20,3.20,832.00,27.66,0.11,1.64,0.08,0.24,28.60,0.40,28.20,3.20,592.00,3,855,2.23,2.43,2.25,1,10359204,5538784,34.84,51228,2408048,5382708,33.86,3436892,1856580,457204,lo,20.20,20.20,4.07,4.07,0.00,0.00,0.00,0.00,1.60,1141.60,25082.60,0.00,51141.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.80,7670.40
11:57:25,49.82,0.00,2.14,1.08,0.00,46.96,105.40,88.00,33964.80,323.08,12.40,118.23,1.22,12.88,106.60,5.40,101.20,88.00,34145.60,8,925,2.37,2.45,2.26,1,9909780,5988208,37.67,51244,2509868,5597540,35.21,3825348,1914336,490272,lo,1306.80,1306.80,39605.38,39605.38,0.00,0.00,0.00,0.00,44.00,16256.00,41093.60,0.00,32083.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,13406.60
11:57:30,87.79,0.00,0.88,0.00,0.00,11.32,4.80,6.40,1227.20,257.00,0.01,2.50,0.50,0.24,5.20,0.40,4.80,6.40,1300.80,11,938,2.90,2.56,2.29,0,9769848,6128140,38.55,51252,2517284,5606480,35.27,3965240,1914280,494972,lo,2158.20,2158.20,65440.38,65440.38,0.00,0.00,0.00,0.00,3.20,614.40,7442.60,0.00,1279.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,8513.20
11:57:35,87.82,0.00,1.05,0.15,0.00,10.98,77.60,4.80,37035.20,477.32,14.16,182.45,1.63,12.64,77.80,0.60,77.20,4.80,37057.60,7,933,3.39,2.67,2.33,0,9722268,6175720,38.85,51260,2518980,5621760,35.36,4010784,1915952,404324,lo,1493.40,1493.40,46509.34,46509.34,0.00,0.00,0.00,0.00,2.40,18517.60,2751.40,0.00,512.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8990.60
11:57:40,83.86,0.00,0.92,0.20,0.00,15.02,101.60,16.00,55556.80,546.98,23.75,233.76,2.39,24.32,101.60,0.80,100.80,16.00,55544.00,7,934,3.76,2.76,2.36,0,9705332,6192656,38.95,51268,2519012,5654408,35.57,4028456,1915932,265628,lo,1540.80,1540.80,47960.39,47960.39,0.00,0.00,0.00,0.00,8.00,27778.40,1326.60,0.00,509.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,8897.20
11:57:45,80.98,0.00,0.76,0.50,0.00,17.76,70.20,0.00,31505.60,448.80,16.76,153.83,1.91,13.44,70.80,0.00,70.80,0.00,31548.80,6,932,4.02,2.83,2.38,1,9676988,6221000,39.13,51268,2519028,5686944,35.77,4056524,1915924,155056,lo,1566.40,1566.40,48615.42,48615.42,0.00,0.00,0.00,0.00,0.00,22190.40,1754.00,0.00,359.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8688.00
11:57:50,82.26,0.00,0.86,0.25,0.00,16.63,70.60,0.00,24161.60,342.23,8.82,209.46,1.34,9.44,70.60,0.00,70.60,0.00,24161.60,7,932,4.26,2.90,2.41,0,9647584,6250404,39.32,51280,2519056,5686944,35.77,4085712,1915928,126728,lo,1568.00,1568.00,48991.43,48991.43,0.00,0.00,0.00,0.00,0.00,5643.20,1752.40,0.00,326.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,8072.20
11:57:55,51.24,0.00,0.53,0.75,0.00,47.48,332.40,6908.80,3569.60,31.52,0.34,1.02,0.21,6.96,332.40,293.60,38.80,6908.80,3569.60,7,932,4.32,2.93,2.42,0,9535000,6362988,40.02,51288,2541512,5880796,36.99,4188432,1926792,123168,lo,518.40,518.40,15455.77,15455.77,0.00,0.00,0.00,0.00,3454.40,1784.80,4992.20,0.00,378.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,8113.40
11:58:00,57.08,0.00,0.48,0.30,0.00,42.14,111.80,0.00,43640.00,390.34,22.70,203.07,1.60,17.84,111.80,0.00,111.80,0.00,43640.00,2,932,4.13,2.92,2.42,0,9507380,6390608,40.20,51296,2557308,5862084,36.87,4200152,1940344,30296,lo,562.80,562.80,17244.07,17244.07,0.00,0.00,0.00,0.00,0.00,21820.00,1537.20,0.00,1096.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,5709.60
