timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:58:17,26.59,0.00,2.32,5.24,0.00,65.86,230.20,1419.20,25048.00,114.97,10.55,45.81,0.52,12.08,230.00,90.00,140.00,1417.60,25048.00,0,643,2.87,2.94,3.02,0,1305884,2593664,66.51,3584,726640,3266456,83.76,1954668,521968,10160,lo,173.00,173.00,1557.17,1557.17,0.00,0.00,0.00,0.00,705.60,12524.00,578.60,3.60,59935.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,2876.00
13:58:22,27.25,0.00,2.20,10.22,0.00,60.32,771.40,18931.20,83.20,24.65,0.32,0.42,0.28,21.44,771.40,769.60,1.80,18931.20,83.20,2,661,2.64,2.89,3.00,0,1163284,2736264,70.17,7804,767836,3459728,88.72,2069944,549896,10304,lo,8.00,8.00,2.36,2.36,0.00,0.00,0.00,0.00,9465.60,41.60,7509.20,39.80,1912.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,3434.00
13:58:27,64.60,0.00,3.90,3.20,0.00,28.30,361.60,8760.00,115.20,24.54,0.10,0.26,0.21,7.60,363.60,361.00,2.60,8780.80,115.20,3,677,2.43,2.84,2.99,0,1084868,2814680,72.18,7836,789836,3537700,90.72,2150216,547388,10360,lo,8.40,8.40,1.08,1.08,0.00,0.00,0.00,0.00,4422.40,57.60,16583.00,1.40,12973.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,3569.80
13:58:32,91.79,0.00,4.50,0.80,0.00,2.90,245.40,4254.40,67.20,17.61,0.06,0.26,0.18,4.48,245.80,244.80,1.00,4284.80,67.20,2,721,2.55,2.86,2.99,0,685080,3214468,82.43,7848,790892,4090276,104.89,2556220,538996,568,lo,28.20,28.20,4.77,4.77,0.00,0.00,0.00,0.00,2136.00,33.60,20544.60,0.40,933.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.20,3376.60
13:58:37,84.02,0.00,2.70,5.79,0.00,7.49,371.20,1049.60,5865.60,18.63,0.15,0.40,0.36,13.28,368.80,54.60,314.20,998.40,5865.60,1,729,2.59,2.86,2.99,0,630720,3268828,83.83,10400,796852,4129416,105.89,2610172,537588,1264,lo,6.00,6.00,0.74,0.74,0.00,0.00,0.00,0.00,474.40,2933.60,2747.80,0.00,529.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,5008.20
13:58:42,82.97,0.00,1.80,0.90,0.00,14.33,115.40,1864.00,302.40,18.77,0.03,0.28,0.22,2.56,115.40,96.80,18.60,1864.00,302.40,1,729,2.62,2.86,3.00,0,564748,3334800,85.52,10528,801648,4184876,107.32,2681800,532804,1084,lo,23.40,23.40,3.51,3.51,0.00,0.00,0.00,0.00,931.20,150.40,3249.00,0.20,162.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3463.20
13:58:47,71.10,0.00,5.00,9.90,0.00,14.00,279.40,28737.60,30795.20,213.07,14.40,51.54,0.92,25.76,279.40,164.40,115.00,28737.60,30795.20,3,740,2.73,2.88,3.00,0,116752,3782796,97.01,10540,1028404,4413000,113.17,2982076,679288,79248,lo,643.80,643.80,17934.71,17934.71,0.00,0.00,0.00,0.00,14368.80,15397.60,12101.80,0.00,4047.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,4491.60
13:58:52,93.86,0.00,3.42,0.10,0.00,2.62,68.00,94.40,16129.60,238.59,5.51,81.08,0.96,6.56,68.00,6.80,61.20,94.40,16129.60,2,745,2.75,2.88,3.00,0,105112,3794436,97.30,10484,990996,4428404,113.56,3031124,642168,92080,lo,175.80,175.80,5159.49,5159.49,0.00,0.00,0.00,0.00,47.20,8064.80,2769.80,0.00,6775.20,4753.00,0.00,4480.80,94.27,0.00,0.00,0,0,0.00,0,0.00,1.20,2383.40
13:58:57,93.06,0.00,3.72,0.00,0.00,3.22,336.40,28465.60,23430.40,154.27,7.17,21.30,0.44,14.96,337.20,272.20,65.00,28563.20,23430.40,3,745,2.77,2.89,3.00,0,118932,3780616,96.95,10384,980116,4401456,112.87,3020112,639396,62316,lo,578.40,578.40,18148.43,18148.43,0.00,0.00,0.00,0.00,14378.40,11715.20,1416.20,0.00,9129.80,5816.20,0.00,5585.20,96.03,0.00,0.00,0,0,0.00,0,0.00,0.80,2799.60
13:59:02,91.37,0.00,4.97,0.00,0.00,3.65,538.40,59057.60,28.80,109.74,0.44,0.82,0.22,11.92,537.60,537.00,0.60,58960.00,28.80,2,745,2.71,2.87,2.99,0,117180,3782368,97.00,10244,981116,4401456,112.87,3012932,648288,64440,lo,930.60,930.60,31476.81,31476.81,0.00,0.00,0.00,0.00,29529.60,14.40,74.00,0.00,7617.60,7439.60,0.00,7435.80,99.95,0.00,0.00,0,0,0.00,0,0.00,0.00,2817.60
