timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:29:27,46.37,0.00,3.83,0.20,0.00,49.60,35.60,0.00,745.60,20.94,0.02,0.43,0.34,1.20,35.20,0.00,35.20,0.00,744.00,1,727,2.90,2.09,1.49,0,4915232,2983796,37.77,59700,542612,3829092,48.48,2598784,248632,1924,lo,44.20,44.20,8.47,8.47,0.00,0.00,0.00,0.00,0.00,372.00,16979.80,0.00,19135.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.80,5883.20
17:29:32,47.08,0.00,2.17,0.15,0.00,50.60,23.60,0.00,1185.60,50.24,0.05,1.93,0.27,0.64,24.00,0.00,24.00,0.00,1187.20,3,773,2.91,2.10,1.50,0,4547104,3351924,42.43,59720,577548,4344448,55.00,2934320,281148,39460,lo,325.20,325.20,6975.36,6975.36,0.00,0.00,0.00,0.00,0.00,593.60,18800.80,0.00,2400.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,6729.00
17:29:37,55.95,0.00,2.11,0.00,0.00,41.95,3.20,0.00,137.60,43.00,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,137.60,7,874,2.91,2.12,1.50,0,4183896,3715132,47.03,59732,578516,4822912,61.06,3292860,281940,40520,lo,53.40,53.40,57.67,57.67,0.00,0.00,0.00,0.00,0.00,68.80,19558.00,0.00,1264.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.80,5576.40
17:29:42,72.94,0.00,3.48,0.00,0.00,23.57,4.40,0.00,168.00,38.18,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,168.00,4,881,3.40,2.23,1.54,0,4175940,3723088,47.13,59744,578700,4928440,62.39,3302868,279460,40756,lo,95.80,95.80,46.39,46.39,0.00,0.00,0.00,0.00,0.00,84.00,35795.40,0.00,35170.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.00,7277.80
17:29:47,81.76,0.00,4.11,0.00,0.00,14.13,28.00,0.00,1595.20,56.97,0.09,3.11,0.14,0.40,28.00,0.00,28.00,0.00,1595.20,6,886,3.45,2.26,1.56,0,3846720,4052308,51.30,59756,578912,5123856,64.87,3632224,279496,37072,lo,89.20,89.20,60.89,60.89,0.00,0.00,0.00,0.00,0.00,797.60,49608.60,0.00,32918.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,7496.20
17:29:52,82.31,0.00,4.54,0.00,0.00,13.16,8.40,0.00,424.00,50.48,0.00,0.19,0.19,0.16,8.40,0.00,8.40,0.00,424.00,4,860,3.65,2.33,1.58,0,4345704,3553324,44.98,59768,578744,4859016,61.51,3134972,279116,36688,lo,102.20,102.20,49.68,49.68,0.00,0.00,0.00,0.00,0.00,212.00,42791.40,0.00,67260.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.60,8207.00
17:29:57,77.26,0.00,3.03,0.00,0.00,19.71,6.80,0.00,241.60,35.53,0.00,0.12,0.12,0.08,6.80,0.00,6.80,0.00,241.60,5,866,3.60,2.34,1.59,0,4303704,3595324,45.52,59780,578880,4907680,62.13,3175912,279100,36592,lo,91.60,91.60,34.98,34.98,0.00,0.00,0.00,0.00,0.00,120.80,31204.40,0.00,28879.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,7424.60
17:30:02,88.63,0.00,3.59,0.10,0.00,7.68,31.60,0.00,13755.20,435.29,3.54,92.33,1.67,5.28,31.60,0.00,31.60,0.00,13755.20,5,873,3.95,2.43,1.62,1,4165944,3733084,47.26,59808,579320,4970820,62.93,3313356,279360,2176,lo,101.40,101.40,26.57,26.57,0.00,0.00,0.00,0.00,0.00,7132.80,29706.80,0.00,22612.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.20,8422.20
17:30:07,83.72,0.00,3.70,0.00,0.00,12.58,10.60,0.00,822.40,77.58,0.14,71.85,1.21,1.28,10.60,0.00,10.60,0.00,822.40,6,872,3.96,2.46,1.64,0,4261668,3637360,46.05,59824,579516,4902660,62.07,3217268,279436,2180,lo,124.20,124.20,33.60,33.60,0.00,0.00,0.00,0.00,0.00,156.00,31170.80,0.00,35587.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.40,8387.60
17:30:12,35.19,0.00,1.71,0.10,0.00,63.00,29.00,0.00,308.80,10.65,0.00,0.11,0.11,0.32,29.00,0.00,29.00,0.00,308.80,0,772,3.64,2.42,1.63,0,4449840,3449188,43.67,59836,579320,4501484,56.99,3032688,279232,19484,lo,314.00,314.00,3660.11,3660.11,0.00,0.00,0.00,0.00,0.00,154.40,10988.40,0.00,22203.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.20,6083.20
17:30:17,1.40,0.00,0.55,0.05,0.00,97.99,4.00,0.00,126.40,31.60,0.00,0.20,0.20,0.08,4.00,0.00,4.00,0.00,126.40,3,760,3.35,2.38,1.62,0,4833024,3066004,38.81,59848,579504,4061888,51.42,2647416,282784,37464,lo,163.40,163.40,3660.83,3660.83,0.00,0.00,0.00,0.00,0.00,63.20,1521.80,0.00,21643.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,4519.40
17:30:22,45.10,0.00,1.50,0.00,0.00,53.40,16.80,0.00,432.00,25.71,0.00,0.05,0.05,0.08,16.80,0.00,16.80,0.00,432.00,3,824,3.08,2.34,1.61,0,4466024,3433004,43.46,59860,579452,4394220,55.63,3013132,282600,36636,lo,44.20,44.20,50.87,50.87,0.00,0.00,0.00,0.00,0.00,216.00,18987.20,0.00,655.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,25.20,5616.80
17:30:27,74.30,0.00,4.07,0.00,0.00,21.63,5.60,0.00,201.60,36.00,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,201.60,7,862,2.83,2.30,1.60,0,4293264,3605764,45.65,59872,579864,4917816,62.26,3184640,281540,37084,lo,90.80,90.80,29.81,29.81,0.00,0.00,0.00,0.00,0.00,100.80,39852.80,0.00,30675.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.00,7832.40
17:30:32,72.21,0.00,2.88,0.00,0.00,24.91,2.20,0.00,126.40,57.45,0.00,0.36,0.36,0.08,2.20,0.00,2.20,0.00,126.40,7,874,2.93,2.33,1.61,0,4197792,3701236,46.86,59884,580524,4916680,62.24,3279252,281888,37948,lo,82.80,82.80,22.94,22.94,0.00,0.00,0.00,0.00,0.00,63.20,33270.20,0.00,28263.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,7302.40
17:30:37,66.85,0.00,3.73,0.00,0.00,29.42,4.20,0.00,145.60,34.67,0.00,0.19,0.19,0.08,4.00,0.00,4.00,0.00,144.00,1,863,3.01,2.35,1.63,0,4308308,3590720,45.46,59896,580356,4713364,59.67,3167552,281740,37764,lo,113.80,113.80,30.88,30.88,0.00,0.00,0.00,0.00,0.00,72.00,40066.00,0.00,45482.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.40,7260.80
17:30:42,32.26,0.00,2.01,0.05,0.00,65.68,19.20,0.00,416.00,21.67,0.00,0.17,0.17,0.32,19.40,0.00,19.40,0.00,417.60,0,741,2.77,2.31,1.62,0,4842068,3056960,38.70,59912,562536,4081824,51.68,2654676,264848,19788,lo,114.60,114.60,148.13,148.13,0.00,0.00,0.00,0.00,0.00,208.80,17803.40,0.00,44206.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,5702.40
17:30:47,8.67,0.00,0.65,0.05,0.00,90.63,4.00,0.00,440.00,110.00,0.00,0.40,0.40,0.16,4.00,0.00,4.00,0.00,440.00,2,721,2.55,2.27,1.61,1,5148472,2750556,34.82,59924,562292,3698676,46.82,2353040,264764,19064,lo,8.20,8.20,1.00,1.00,0.00,0.00,0.00,0.00,0.00,185.60,4972.80,0.00,19956.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.80,4301.60
17:30:52,44.56,0.00,2.41,1.25,0.00,51.78,144.80,0.00,2825.60,19.51,0.07,0.48,0.38,5.52,144.80,0.00,144.80,0.00,2825.60,3,725,2.50,2.27,1.61,0,5070500,2828528,35.81,61128,543260,3792980,48.02,2445500,250140,1920,lo,22.80,22.80,85.49,85.49,0.00,0.00,0.00,0.00,0.00,1447.20,24301.00,0.00,19364.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,6001.20
