timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:59:22,42.16,0.00,2.41,0.05,0.00,55.39,14.00,0.00,195.20,13.94,0.00,0.23,0.17,0.24,14.00,0.00,14.00,0.00,195.20,2,754,3.06,1.87,1.29,0,4678624,3220404,40.77,73296,688220,4307032,54.53,2702160,377560,3060,lo,99.80,99.80,211.92,211.92,0.00,0.00,0.00,0.00,0.00,97.60,26878.80,0.00,34610.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,5739.60
17:59:27,44.58,0.00,1.96,0.00,0.00,53.46,4.00,0.00,180.80,45.20,0.00,0.40,0.20,0.08,4.00,0.00,4.00,0.00,180.80,6,855,3.45,1.97,1.33,0,4298544,3600484,45.58,73308,688560,4952772,62.70,3078572,377688,3512,lo,46.40,46.40,31.12,31.12,0.00,0.00,0.00,0.00,0.00,90.40,20912.40,0.00,1769.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.00,4769.20
17:59:32,79.28,0.00,4.03,0.00,0.00,16.68,2.60,0.00,131.20,50.46,0.00,0.92,0.92,0.24,2.60,0.00,2.60,0.00,131.20,3,873,3.33,1.97,1.33,0,3877740,4021288,50.91,73316,688924,5297228,67.06,3496596,377936,3912,lo,100.80,100.80,21.86,21.86,0.00,0.00,0.00,0.00,0.00,65.60,46895.00,0.00,25681.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,8209.60
17:59:37,69.64,0.00,3.58,0.00,0.00,26.79,4.00,0.00,187.20,46.80,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,187.20,6,864,3.63,2.05,1.36,0,4199716,3699312,46.83,73324,688864,5120964,64.83,3177344,377716,3828,lo,85.60,85.60,17.38,17.38,0.00,0.00,0.00,0.00,0.00,93.60,36266.20,0.00,51697.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.80,8441.20
17:59:42,66.57,0.00,3.84,0.00,0.00,29.60,18.80,0.00,475.20,25.28,0.00,0.09,0.09,0.16,18.80,0.00,18.80,0.00,475.20,4,868,3.82,2.12,1.39,0,4180068,3718960,47.08,73332,689124,5075284,64.25,3196564,377868,3176,lo,109.60,109.60,21.87,21.87,0.00,0.00,0.00,0.00,0.00,237.60,39528.80,0.00,38201.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.80,8024.20
17:59:47,77.79,0.00,3.43,0.05,0.00,18.73,8.20,0.00,182.40,22.24,0.00,0.59,0.49,0.40,8.20,0.00,8.20,0.00,182.40,4,870,3.75,2.13,1.40,0,4147612,3751416,47.49,73344,689312,5117052,64.78,3225344,377900,3640,lo,122.60,122.60,25.28,25.28,0.00,0.00,0.00,0.00,0.00,91.20,25531.20,0.00,23646.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.40,7950.80
17:59:52,76.88,0.00,3.58,0.00,0.00,19.54,9.40,0.00,283.20,30.13,0.00,0.51,0.51,0.48,9.40,0.00,9.40,0.00,283.20,2,843,3.77,2.16,1.41,0,4278284,3620744,45.84,73356,689368,4907016,62.12,3096104,377772,3444,lo,132.80,132.80,30.97,30.97,0.00,0.00,0.00,0.00,0.00,141.60,24560.80,0.00,30729.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.40,8401.40
17:59:57,10.78,0.00,0.70,0.15,0.00,88.37,38.80,0.00,1052.80,27.13,0.04,0.97,0.21,0.80,38.80,0.00,38.80,0.00,1052.80,0,764,3.47,2.13,1.40,0,4378960,3520068,44.56,73368,689400,4676472,59.20,2996024,377840,1788,lo,133.40,133.40,199.61,199.61,0.00,0.00,0.00,0.00,0.00,526.40,2866.00,0.00,8116.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.60,4868.60
18:00:02,20.60,0.00,0.80,0.05,0.00,78.54,6.20,0.00,268.80,43.35,0.00,0.52,0.52,0.32,6.20,0.00,6.20,0.00,268.80,3,763,3.27,2.11,1.40,0,4610920,3288108,41.63,73392,689164,4347044,55.03,2765852,378040,2404,lo,66.40,66.40,137.35,137.35,0.00,0.00,0.00,0.00,0.00,134.40,9078.80,0.00,20570.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,5178.60
18:00:07,52.34,0.00,2.01,0.00,0.00,45.66,5.40,0.00,166.40,30.81,0.00,0.15,0.15,0.08,5.40,0.00,5.40,0.00,166.40,6,865,3.41,2.16,1.42,0,4213880,3685148,46.65,73400,689524,5021712,63.57,3159052,378272,2764,lo,42.00,42.00,30.41,30.41,0.00,0.00,0.00,0.00,0.00,83.20,21484.00,0.00,1469.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,5502.80
18:00:12,69.84,0.00,4.51,0.00,0.00,25.65,3.80,0.00,153.60,40.42,0.00,0.84,0.21,0.08,3.80,0.00,3.80,0.00,153.60,4,861,3.46,2.19,1.43,0,4240720,3658308,46.31,73412,689712,5086536,64.39,3132428,378324,2968,lo,115.20,115.20,29.22,29.22,0.00,0.00,0.00,0.00,0.00,76.80,50180.80,0.00,50970.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.20,7746.20
