timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
13:08:21,54.94,0.00,2.36,2.46,0.00,40.25,319.80,0.00,6035.20,18.87,0.15,0.47,0.39,12.48,319.80,0.00,319.80,0.00,6035.20,2,743,3.52,3.50,3.44,0,1972784,5926244,75.02,21992,3219712,4242956,53.71,4480568,1206656,2424,lo,18.20,18.20,2.84,2.84,0.00,0.00,0.00,0.00,0.00,3017.60,11324.20,0.00,52349.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.00,5519.60
13:08:26,54.73,0.00,2.30,0.10,0.00,42.86,30.00,81.60,348.80,14.35,0.01,0.29,0.19,0.56,30.00,5.80,24.20,81.60,348.80,1,832,3.39,3.47,3.43,0,1574172,6324856,80.07,22016,3255040,4822956,61.06,4847988,1234672,37332,lo,344.40,344.40,7014.48,7014.48,0.00,0.00,0.00,0.00,40.80,174.40,19538.40,0.20,1935.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.60,5057.60
13:08:31,62.65,0.00,2.37,0.00,0.00,34.98,40.00,4388.80,97.60,112.16,0.04,0.90,0.14,0.56,40.00,37.00,3.00,4388.80,97.60,7,900,3.20,3.43,3.41,0,1139508,6759520,85.57,22028,3267904,5308512,67.20,5278452,1234880,39380,lo,143.00,143.00,2605.87,2605.87,0.00,0.00,0.00,0.00,2194.40,48.80,22968.80,0.00,1698.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,5737.60
13:08:36,67.21,0.00,3.29,0.10,0.00,29.40,335.20,38185.60,25.60,114.00,0.34,1.02,0.26,8.88,335.20,334.80,0.40,38185.60,25.60,3,894,3.43,3.48,3.43,0,886648,7012380,88.78,22036,3533760,5315948,67.30,5370260,1395504,209520,lo,2108.00,2108.00,65790.98,65790.98,0.00,0.00,0.00,0.00,19092.80,12.80,1686.60,0.00,6688.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,11892.80
13:08:41,73.19,0.00,3.27,0.00,0.00,23.54,146.60,16734.40,286.40,116.10,0.14,0.93,0.30,4.40,146.60,139.80,6.80,16734.40,286.40,4,875,3.71,3.54,3.45,0,921812,6977216,88.33,22052,3688112,5311348,67.24,5230260,1502276,321868,lo,1433.00,1433.00,42458.75,42458.75,0.00,0.00,0.00,0.00,8367.20,143.20,13240.20,0.00,25313.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.80,9448.80
13:08:46,82.29,0.00,3.06,0.00,0.00,14.65,4.00,0.00,100.80,25.20,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,100.80,4,901,3.90,3.58,3.46,0,626116,7272912,92.07,22064,3779200,5338736,67.59,5438784,1588276,412912,lo,1223.40,1223.40,37207.19,37207.19,0.00,0.00,0.00,0.00,0.00,50.40,12331.40,0.00,4445.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.00,8825.40
13:08:51,69.31,0.00,3.87,5.63,0.00,21.20,640.40,4.80,139681.60,218.12,67.22,102.73,0.91,58.56,640.40,0.60,639.80,4.80,139681.60,3,900,3.91,3.58,3.47,2,399008,7500020,94.95,22076,3966304,5346468,67.69,5488224,1765120,237220,lo,2338.60,2338.60,71761.19,71761.19,0.00,0.00,0.00,0.00,2.40,72609.60,2530.20,0.00,5648.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,11779.40
13:08:56,59.19,0.00,2.47,14.51,0.00,23.83,286.20,9.60,95091.20,332.29,40.20,145.44,1.49,42.72,286.20,1.20,285.00,9.60,95091.20,7,895,3.91,3.59,3.47,0,487068,7411960,93.83,22136,3978496,5344564,67.66,5388748,1776508,27092,lo,280.60,280.60,6462.49,6462.49,0.00,0.00,0.00,0.00,4.80,44776.80,18977.20,0.00,24103.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,6158.80
13:09:01,70.66,0.00,3.81,0.00,0.00,25.54,1.40,0.00,33.60,24.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,33.60,5,905,4.00,3.61,3.48,0,277524,7621504,96.49,22144,4138820,5333792,67.52,5447012,1928016,187416,lo,2030.60,2030.60,63113.02,63113.02,0.00,0.00,0.00,0.00,0.00,16.80,4270.00,0.00,5872.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,11047.60
13:09:06,67.87,0.00,3.11,0.05,0.00,28.97,4.20,0.00,129.60,30.86,0.00,0.38,0.38,0.16,4.20,0.00,4.20,0.00,129.60,6,877,3.92,3.60,3.47,0,410752,7488276,94.80,22160,4257240,5270648,66.73,5202972,2040020,305864,lo,1505.00,1505.00,44926.61,44926.61,0.00,0.00,0.00,0.00,0.00,64.80,9841.00,0.00,25235.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,8950.00
