timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:11:26,21.53,0.00,3.50,0.05,0.00,74.93,16.20,6.40,126.40,8.20,0.00,0.25,0.25,0.40,16.20,0.80,15.40,6.40,126.40,4,715,2.73,2.31,2.40,0,3208416,4690612,59.38,26108,2178424,4582356,58.01,2628072,1879264,471740,lo,726.20,726.20,20353.52,20353.52,0.00,0.00,0.00,0.00,3.20,63.20,4664.20,0.00,42895.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.00,6465.80
16:11:31,36.32,0.00,2.14,3.64,0.00,57.90,505.20,19614.40,3380.80,45.52,0.72,1.42,0.29,14.48,506.80,479.20,27.60,19651.20,3380.80,1,702,2.59,2.29,2.39,1,3494836,4404192,55.76,26184,2172044,4203124,53.21,2354456,1868076,479972,lo,14.00,14.00,1.50,1.50,0.00,0.00,0.00,0.00,9809.60,1690.40,21772.00,35.00,37755.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.00,5741.60
16:11:36,46.54,0.00,2.83,13.64,0.00,36.99,489.00,34344.00,74918.40,223.44,34.36,61.01,1.05,51.28,489.00,353.00,136.00,34307.20,75713.60,0,761,2.54,2.29,2.39,1,2878320,5020708,63.56,26204,2283088,5001984,63.32,2837292,2000976,357648,lo,908.00,908.00,21800.16,21800.16,0.00,0.00,0.00,0.00,17169.60,42704.00,26998.40,0.00,10075.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.40,6048.60
16:11:41,79.37,0.00,3.82,1.76,0.00,15.05,126.00,308.80,59403.20,473.90,24.75,201.76,2.04,25.76,124.40,14.80,109.60,308.80,58608.00,4,768,2.66,2.31,2.40,2,1820328,6078700,76.96,26216,2360536,6207720,78.59,3894080,1999576,300008,lo,1400.00,1400.00,42357.36,42357.36,0.00,0.00,0.00,0.00,154.40,28962.40,48712.00,0.20,624.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,4564.20
16:11:46,97.50,0.00,1.95,0.00,0.00,0.55,187.40,91.20,98227.20,524.64,49.99,287.34,2.32,43.52,187.40,6.40,181.00,91.20,98227.20,6,768,2.85,2.36,2.41,0,1437720,6461308,81.80,26228,2362860,6443968,81.58,4275172,2001192,79308,lo,2077.80,2077.80,64765.74,64765.74,0.00,0.00,0.00,0.00,45.60,44608.00,20323.60,0.00,748.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3430.20
16:11:51,96.70,0.00,1.35,0.00,0.00,1.95,1.40,33.60,0.00,24.00,0.00,0.57,0.57,0.08,2.00,1.40,0.60,33.60,35.20,5,771,3.02,2.40,2.43,0,1381536,6517492,82.51,26236,2365548,6495236,82.23,4328424,2003428,81952,lo,2469.20,2469.20,76046.82,76046.82,0.00,0.00,0.00,0.00,16.80,17.60,2813.20,0.00,293.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3312.80
16:11:56,97.65,0.00,1.80,0.00,0.00,0.55,0.60,0.00,35.20,58.67,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,35.20,4,770,3.10,2.43,2.44,0,1308872,6590156,83.43,26244,2368372,6495236,82.23,4398868,2005740,84804,lo,2612.60,2612.60,80355.83,80355.83,0.00,0.00,0.00,0.00,0.00,17.60,3525.20,0.00,371.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,3410.00
16:12:01,97.00,0.00,1.45,0.00,0.00,1.55,0.60,0.00,35.20,58.67,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,40.00,4,771,3.17,2.46,2.45,0,1284064,6614964,83.74,26260,2372136,6513332,82.46,4420712,2008852,88588,lo,2502.40,2502.40,76409.74,76409.74,0.00,0.00,0.00,0.00,0.00,20.00,1167.80,0.00,284.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,3433.20
16:12:06,76.74,0.00,1.15,0.00,0.00,22.11,5.00,115.20,40.00,31.04,0.00,0.32,0.32,0.16,5.20,4.40,0.80,115.20,54.40,5,769,3.40,2.52,2.47,0,1276844,6622184,83.84,26284,2376204,6513332,82.46,4438176,1999428,92408,lo,1312.40,1312.40,38962.14,38962.14,0.00,0.00,0.00,0.00,57.60,27.20,235.80,0.00,213.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3479.60
16:12:11,95.07,0.00,1.01,0.05,0.00,3.87,62.60,8.00,30977.60,494.98,11.45,182.85,1.99,12.48,62.40,0.60,61.80,8.00,30969.60,4,779,3.45,2.54,2.47,0,1153736,6745292,85.39,26292,2376240,6724588,85.13,4560208,1999320,15216,lo,792.80,792.80,22831.62,22831.62,0.00,0.00,0.00,0.00,4.00,15484.80,6687.00,0.00,717.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,3003.00
