timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:28:26,6.23,0.00,1.60,3.61,0.00,88.56,206.80,30.40,63892.80,309.11,31.10,158.70,1.34,27.76,206.80,0.40,206.40,30.40,63892.80,2,806,1.75,2.23,2.46,0,1891668,30521384,94.16,75312,26408204,6349612,19.59,6106300,23458056,242700,lo,68.60,68.60,130.75,130.75,0.00,0.00,0.00,0.00,15.20,28797.60,10764.20,0.20,92436.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.60,4411.60
11:28:31,15.78,0.00,2.80,0.07,0.00,81.35,18.20,0.00,1387.20,76.22,0.04,2.33,0.26,0.48,18.20,0.00,18.20,0.00,1387.20,2,769,1.69,2.21,2.45,0,3371116,29041936,89.60,78524,25275944,5522468,17.04,4561796,23517068,130908,lo,26.80,26.80,35.10,35.10,0.00,0.00,0.00,0.00,0.00,693.60,37348.40,0.00,117488.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.20,5953.80
11:28:36,11.75,0.00,1.40,0.75,0.00,86.10,324.40,0.00,6209.60,19.14,0.94,2.91,0.28,8.96,324.40,0.00,324.40,0.00,6209.60,1,777,1.55,2.17,2.44,0,3177812,29235240,90.20,80536,25347744,5390432,16.63,4666096,23587604,210028,lo,1058.60,1058.60,142.19,142.19,0.00,0.00,0.00,0.00,0.00,3104.80,7121.00,0.00,2911.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,193.40,12673.20
11:28:41,19.56,0.00,1.40,0.10,0.00,78.94,33.40,0.00,244.80,7.33,0.01,0.22,0.22,0.72,33.40,0.00,33.40,0.00,244.80,5,822,1.59,2.17,2.43,0,2705116,29707936,91.65,80548,25452016,6048412,18.66,5041844,23683864,314352,lo,897.40,897.40,20885.57,20885.57,0.00,0.00,0.00,0.00,0.00,122.40,22035.20,0.00,5695.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.20,8582.20
11:28:46,29.69,0.00,1.56,1.86,0.00,66.90,271.40,25427.20,6252.80,116.73,3.61,12.86,0.51,13.84,271.40,206.20,65.20,25427.20,6252.80,2,945,1.70,2.18,2.44,2,1957940,30455112,93.96,80560,25516856,7928420,24.46,5719880,23746256,299836,lo,856.20,856.20,13534.01,13534.01,0.00,0.00,0.00,0.00,12908.80,3126.40,35613.60,0.00,1360.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.80,8716.60
11:28:51,23.29,0.00,1.66,9.39,0.00,65.66,1070.00,130686.40,126.40,122.25,7.03,6.69,0.52,55.84,1070.00,1067.40,2.60,130686.40,126.40,4,916,1.73,2.18,2.43,0,1817904,30595148,94.39,80572,25844668,7959620,24.56,5532824,24072560,301848,lo,4466.80,4466.80,69413.57,69413.57,0.00,0.00,0.00,0.00,65148.00,63.20,35823.40,0.00,45189.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,10572.80
11:28:56,24.82,0.00,1.84,5.74,0.00,67.61,629.80,78068.80,411.20,124.61,3.78,5.99,0.53,33.68,629.80,624.80,5.00,78068.80,411.20,5,924,1.59,2.14,2.42,0,1893292,30519760,94.16,80584,26041824,7929308,24.46,5265492,24268208,302904,lo,2697.60,2697.60,41460.86,41460.86,0.00,0.00,0.00,0.00,39034.40,205.60,40098.20,0.00,53069.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.80,11450.20
11:29:01,33.22,0.00,2.04,5.58,0.00,59.15,632.20,78044.80,270.40,123.88,3.96,6.26,0.52,33.12,632.20,626.20,6.00,78044.80,270.40,9,936,1.62,2.14,2.42,0,1417900,30995152,95.63,80596,26238236,8244456,25.44,5543800,24463284,304048,lo,2686.40,2686.40,41457.59,41457.59,0.00,0.00,0.00,0.00,39022.40,135.20,46328.60,0.00,32269.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.40,10680.20
11:29:06,16.65,0.00,1.86,17.05,0.00,64.45,1770.40,78041.60,80867.20,89.76,83.57,47.21,0.44,77.60,1770.40,634.40,1136.00,78041.60,80867.20,4,930,1.65,2.14,2.42,0,1350240,31062812,95.83,80632,26434568,7949484,24.53,5415704,24658324,119576,lo,2639.20,2639.20,41454.69,41454.69,0.00,0.00,0.00,0.00,39020.80,40433.60,26232.20,0.00,34391.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,8611.80
11:29:11,34.37,0.00,2.49,8.49,0.00,54.65,1286.80,118824.00,39524.80,123.06,29.98,20.67,0.48,62.40,1286.80,976.00,310.80,118824.00,39524.80,6,936,1.68,2.14,2.41,4,1000684,31412368,96.91,80640,26734004,7927920,24.46,5488828,24935572,17928,lo,4074.20,4074.20,63122.71,63122.71,0.00,0.00,0.00,0.00,59509.60,20944.80,52260.60,0.00,49460.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,12608.40
