timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:24:37,11.12,0.00,0.63,0.03,0.00,88.23,15.20,0.00,1265.60,83.26,0.01,0.53,0.32,0.48,15.20,0.00,15.20,0.00,1275.20,0,860,1.58,2.18,1.48,0,27298704,5114348,15.78,43720,1651616,6384008,19.70,3633852,1191788,107696,lo,113.20,113.20,660.57,660.57,0.00,0.00,0.00,0.00,0.00,626.40,14414.60,0.00,15014.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.20,6033.80
11:24:42,15.15,0.00,3.22,0.00,0.00,81.63,4.80,0.00,73.60,15.33,0.00,0.50,0.50,0.24,5.20,0.00,5.20,0.00,115.20,2,808,1.54,2.16,1.48,0,28044236,4368816,13.48,46524,1499980,5643660,17.41,3062764,1046364,147668,lo,21.40,21.40,11.86,11.86,0.00,0.00,0.00,0.00,0.00,1790.40,36882.20,0.00,78033.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.00,6301.20
11:24:47,23.31,0.00,2.26,0.15,0.00,74.29,91.20,0.00,5728.00,62.81,0.34,3.77,0.20,1.84,91.20,0.00,91.20,0.00,5728.00,4,863,1.49,2.14,1.47,0,27831620,4581432,14.13,47776,1316560,6148296,18.97,3429004,875220,307976,lo,953.00,953.00,20864.53,20864.53,0.00,0.00,0.00,0.00,0.00,2679.20,21337.20,0.00,24416.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.60,9367.00
11:24:52,32.88,0.00,1.61,0.08,0.00,65.44,33.80,0.00,3329.60,98.51,0.19,5.59,0.17,0.56,33.00,0.00,33.00,0.00,3246.40,1,997,1.77,2.19,1.49,0,26990400,5422652,16.73,47792,1337776,8911860,27.49,4244988,894964,333032,lo,255.40,255.40,4183.17,4183.17,0.00,0.00,0.00,0.00,0.00,96.00,44262.20,0.00,4070.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.20,8160.40
11:24:57,45.79,0.00,2.67,0.03,0.00,51.51,9.80,0.00,412.80,42.12,0.00,0.08,0.08,0.08,9.80,0.00,9.80,0.00,408.00,3,968,1.95,2.22,1.51,0,27399608,5013444,15.47,47804,1379520,8078188,24.92,3797388,934004,374356,lo,488.00,488.00,8307.00,8307.00,0.00,0.00,0.00,0.00,0.00,206.40,72248.60,0.00,96111.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,59.20,13112.60
11:25:02,50.96,0.00,3.12,0.03,0.00,45.89,9.40,0.00,193.60,20.60,0.01,0.68,0.43,0.40,10.20,0.00,10.20,0.00,281.60,9,971,2.20,2.26,1.53,0,27243540,5169512,15.95,47812,1431692,8943396,27.59,3900896,982876,426804,lo,591.40,591.40,10380.74,10380.74,0.00,0.00,0.00,0.00,0.00,96.00,80687.80,0.00,79211.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.60,13469.00
11:25:07,50.50,0.00,3.22,0.03,0.00,46.25,69.60,0.00,6329.60,90.94,1.74,25.00,0.36,2.48,69.60,0.00,69.60,0.00,6329.60,6,969,2.50,2.33,1.55,0,27285692,5127360,15.82,47816,1483820,8897968,27.45,3808420,1031692,463468,lo,609.40,609.40,10380.68,10380.68,0.00,0.00,0.00,0.00,0.00,3171.20,80546.40,0.00,85785.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,64.00,14510.40
11:25:12,43.90,0.00,2.59,0.30,0.00,53.20,163.40,0.00,14611.20,89.42,4.09,22.09,0.24,3.92,163.40,0.00,163.40,0.00,14611.20,3,978,2.70,2.37,1.57,1,27181564,5231488,16.14,47832,1525636,8070848,24.90,3866968,1071884,464232,lo,492.60,492.60,8522.63,8522.63,0.00,0.00,0.00,0.00,0.00,8396.80,68389.00,0.00,66910.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.20,12747.60
11:25:17,24.96,0.00,1.81,3.16,0.00,70.07,797.80,0.00,66204.80,82.98,43.90,55.62,0.46,36.48,797.80,0.00,797.80,0.00,66204.80,6,985,2.97,2.43,1.59,0,26971088,5441964,16.79,47872,1546624,8225004,25.38,4062108,1091688,341736,lo,285.40,285.40,4190.83,4190.83,0.00,0.00,0.00,0.00,0.00,32004.80,42073.20,0.00,34390.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.40,9546.40
11:25:22,21.56,0.00,1.45,1.55,0.00,75.43,123.60,0.00,42206.40,341.48,20.86,168.75,1.31,16.16,123.60,0.00,123.60,0.00,42206.40,1,973,2.81,2.41,1.59,0,27123016,5290036,16.32,47900,1577784,8077552,24.92,3880148,1120988,268024,lo,382.40,382.40,6252.71,6252.71,0.00,0.00,0.00,0.00,0.00,21103.20,38442.60,0.00,48915.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.20,9355.80
