timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:09:35,22.61,0.00,3.17,0.00,0.00,74.22,12.60,0.00,1217.60,96.63,0.06,1.08,0.19,0.24,11.00,0.00,11.00,0.00,988.80,9,724,2.14,1.67,0.77,1,12658884,3497680,21.65,40064,826204,5239644,32.43,2905444,434740,56340,lo,33.00,33.00,15.33,15.33,0.00,0.00,0.00,0.00,0.00,2145.60,17517.20,0.00,43272.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.60,5633.60
11:09:40,32.78,0.00,5.31,0.05,0.00,61.85,31.14,0.00,4228.34,135.79,0.17,7.00,0.10,0.32,31.40,0.00,31.40,0.00,4262.40,4,693,2.21,1.69,0.78,0,12657148,3499416,21.66,40264,965556,4591356,28.42,2727456,572188,202012,lo,21.80,21.80,12.32,12.32,0.00,0.00,0.00,0.00,0.00,2126.95,27467.47,0.00,38433.93,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.80,5721.80
11:09:45,35.50,0.00,2.11,0.30,0.00,62.09,78.00,0.00,6524.80,83.65,1.40,17.95,0.37,2.88,78.60,0.00,78.60,0.00,6644.80,3,728,2.27,1.71,0.79,3,12323944,3832620,23.72,40296,1069648,5095496,31.54,2959392,669948,311508,lo,892.20,892.20,20841.94,20841.94,0.00,0.00,0.00,0.00,0.00,1712.80,12963.40,0.00,3969.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.20,7434.40
11:09:50,50.18,0.00,2.21,0.00,0.00,47.61,4.20,0.00,214.40,51.05,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,227.20,6,830,2.41,1.75,0.81,2,11856160,4300404,26.62,40308,1070016,6364336,39.39,3423424,670168,311708,lo,45.40,45.40,30.81,30.81,0.00,0.00,0.00,0.00,0.00,107.20,25155.00,0.00,1583.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,23.40,6183.40
11:09:55,71.25,0.00,4.51,0.00,0.00,24.24,4.20,0.00,177.60,42.29,0.00,0.38,0.38,0.16,4.00,0.00,4.00,0.00,172.80,4,829,2.30,1.74,0.81,3,11984604,4171960,25.82,40324,1070208,6183064,38.27,3295376,670160,311944,lo,178.00,178.00,855.02,855.02,0.00,0.00,0.00,0.00,0.00,88.80,51385.40,0.00,57364.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,44.40,8730.80
11:10:00,75.69,0.00,3.94,0.00,0.00,20.36,4.00,0.00,177.60,44.40,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,184.00,8,851,2.60,1.81,0.84,3,11565872,4590692,28.41,40336,1070560,6563168,40.62,3712432,670384,312264,lo,157.40,157.40,846.57,846.57,0.00,0.00,0.00,0.00,0.00,88.80,49574.20,0.00,28474.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,33.80,7898.20
11:10:05,65.79,0.00,3.53,0.00,0.00,30.68,6.60,0.00,299.20,45.33,0.00,0.00,0.00,0.00,6.80,0.00,6.80,0.00,297.60,3,844,2.63,1.83,0.85,2,11868352,4288212,26.54,40348,1070644,6212452,38.45,3410548,670296,312080,lo,135.60,135.60,446.65,446.65,0.00,0.00,0.00,0.00,0.00,149.60,41081.00,0.00,55754.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.40,8448.00
11:10:10,49.27,0.00,2.97,1.71,0.00,46.05,337.80,0.00,35505.60,105.11,18.71,53.07,0.44,14.96,339.00,0.00,339.00,0.00,35603.20,6,853,2.42,1.80,0.85,1,11767824,4388740,27.16,40348,1070888,6346204,39.28,3504288,670408,216776,lo,108.20,108.20,430.95,430.95,0.00,0.00,0.00,0.00,0.00,19116.80,33555.60,0.00,29157.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.20,6976.40
11:10:15,45.52,0.00,3.12,4.18,0.00,47.18,417.80,0.00,48980.80,117.24,25.42,62.73,0.51,21.44,417.80,0.00,417.80,0.00,48980.80,4,845,2.30,1.78,0.85,1,11853692,4302872,26.63,40388,1070888,6201168,38.38,3424144,670308,109152,lo,144.60,144.60,644.28,644.28,0.00,0.00,0.00,0.00,0.00,23126.40,38584.60,0.00,43164.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.00,7062.20
11:10:20,18.90,0.00,1.15,4.01,0.00,75.94,82.80,0.00,43689.60,527.65,17.70,213.82,2.26,18.72,81.40,0.00,81.40,0.00,43592.00,4,733,2.20,1.77,0.85,0,12084424,4072140,25.20,40404,1071112,5321248,32.94,3195220,670412,9628,lo,120.60,120.60,345.76,345.76,0.00,0.00,0.00,0.00,0.00,21844.80,11096.60,0.00,22845.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.20,5946.00
11:10:25,3.10,0.00,0.85,0.05,0.00,96.00,11.00,0.00,236.80,21.53,0.00,0.07,0.07,0.08,11.40,0.00,11.40,0.00,260.80,0,698,2.02,1.74,0.84,1,12507836,3648728,22.58,40416,1070820,4616232,28.57,2774612,670184,61348,lo,512.80,512.80,10440.82,10440.82,0.00,0.00,0.00,0.00,0.00,118.40,325.80,0.00,26644.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,3688.80
11:10:30,42.23,0.00,2.35,0.00,0.00,55.41,6.80,0.00,166.40,24.47,0.00,0.12,0.12,0.08,6.20,0.00,6.20,0.00,107.20,1,790,2.02,1.74,0.85,1,12132512,4024052,24.91,40428,1070672,5291120,32.75,3150428,670432,113548,lo,355.60,355.60,10488.94,10488.94,0.00,0.00,0.00,0.00,0.00,83.20,20226.40,0.00,3986.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.40,5967.20
11:10:35,21.59,0.00,1.10,0.05,0.00,77.25,4.60,0.00,155.20,33.74,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,206.40,1,802,2.10,1.76,0.86,1,12092360,4064204,25.16,40440,1070896,5707608,35.33,3187884,670448,113732,lo,51.00,51.00,28.48,28.48,0.00,0.00,0.00,0.00,0.00,77.60,16236.40,0.00,14170.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.20,5586.40
11:10:40,30.19,0.00,3.38,0.05,0.00,66.38,17.20,0.00,401.60,23.35,0.11,0.51,0.37,0.64,16.40,0.00,16.40,0.00,251.20,6,729,2.17,1.79,0.87,0,12628312,3528252,21.84,40476,879588,5190488,32.13,2885012,484696,113884,lo,99.00,99.00,123.32,123.32,0.00,0.00,0.00,0.00,0.00,1750.40,17891.20,0.00,43824.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.20,6330.80
