timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:20:45,29.27,0.00,4.40,0.10,0.00,66.23,30.40,0.00,3432.00,112.89,0.22,7.26,0.13,0.40,30.40,0.00,30.40,0.00,3432.00,3,742,2.24,2.40,1.69,0,12175552,3981012,24.64,46076,1188056,5256708,32.54,3028528,772244,92572,lo,33.40,33.40,36.08,36.08,0.00,0.00,0.00,0.00,0.00,1716.00,25193.40,0.00,51199.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.60,6049.80
11:20:50,32.09,0.00,5.12,1.26,0.00,61.53,103.40,0.00,7084.80,68.52,1.50,14.55,0.32,3.28,103.40,0.00,103.40,0.00,7084.80,1,727,2.22,2.39,1.69,0,12426484,3730080,23.09,46124,1015724,4605972,28.51,2908424,614652,259936,lo,627.80,627.80,10454.26,10454.26,0.00,0.00,0.00,0.00,0.00,3542.40,16310.80,0.00,43690.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.60,8144.60
11:20:55,40.36,0.00,1.76,0.00,0.00,57.88,5.40,0.00,176.00,32.59,0.00,0.15,0.15,0.08,5.40,0.00,5.40,0.00,176.00,0,817,2.28,2.40,1.69,0,12033144,4123420,25.52,46136,1068012,5311056,32.87,3246380,663200,312356,lo,364.80,364.80,10438.08,10438.08,0.00,0.00,0.00,0.00,0.00,88.00,18591.60,0.00,1771.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.00,5397.20
11:21:00,79.12,0.00,4.04,0.00,0.00,16.84,8.40,0.00,369.60,44.00,0.00,0.10,0.10,0.08,8.40,0.00,8.40,0.00,369.60,3,871,2.66,2.48,1.72,0,11698304,4458260,27.59,46148,1089248,6396816,39.59,3557992,682948,333088,lo,256.00,256.00,4160.10,4160.10,0.00,0.00,0.00,0.00,0.00,184.80,48021.00,0.00,32788.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.60,8189.60
11:21:05,72.58,0.00,4.76,0.05,0.00,22.61,9.40,0.00,208.00,22.13,0.00,0.17,0.17,0.16,9.40,0.00,9.40,0.00,208.00,2,859,2.85,2.52,1.74,0,11775164,4381400,27.12,46160,1130780,6174136,38.21,3442568,721872,374604,lo,433.80,433.80,8302.62,8302.62,0.00,0.00,0.00,0.00,0.00,104.00,55850.00,0.00,63181.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.80,9328.60
11:21:10,79.18,0.00,4.40,0.05,0.00,16.37,68.40,0.00,6409.60,93.71,1.75,25.59,0.35,2.40,68.40,0.00,68.40,0.00,6409.60,0,863,2.94,2.54,1.75,0,11311316,4845248,29.99,46172,1172592,6554404,40.57,3864488,761116,400832,lo,425.60,425.60,8300.97,8300.97,0.00,0.00,0.00,0.00,0.00,3204.80,49536.40,0.00,30066.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,45.40,9328.60
11:21:15,77.65,0.00,4.45,0.00,0.00,17.90,6.40,0.00,214.40,33.50,0.00,0.38,0.37,0.24,6.40,0.00,6.40,0.00,214.40,9,869,3.27,2.62,1.78,0,11572568,4583996,28.37,46184,1193456,6492644,40.19,3583960,780512,421896,lo,233.00,233.00,4155.02,4155.02,0.00,0.00,0.00,0.00,0.00,107.20,45463.40,0.00,59787.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,8725.20
11:21:20,65.35,0.00,4.65,1.16,0.00,28.83,293.20,0.00,29953.60,102.16,13.94,47.13,0.39,11.36,285.80,0.00,285.80,0.00,29195.20,2,840,3.17,2.61,1.78,0,11702796,4453768,27.57,46196,1234972,5758456,35.64,3409324,819388,382064,lo,424.40,424.40,8300.58,8300.58,0.00,0.00,0.00,0.00,0.00,16100.80,52183.80,0.00,62835.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,41.80,8619.60
11:21:25,68.30,0.00,3.98,3.12,0.00,24.60,570.40,0.00,92160.00,161.57,47.49,83.46,0.71,40.32,577.80,0.00,577.80,0.00,92918.40,7,868,3.31,2.65,1.80,0,11515884,4640680,28.72,46236,1255920,6294024,38.96,3579912,838948,196444,lo,248.40,248.40,4154.61,4154.61,0.00,0.00,0.00,0.00,0.00,44956.00,37158.00,0.00,29711.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,29.80,8005.20
11:21:30,52.97,0.00,2.87,0.05,0.00,44.11,10.20,0.00,688.00,67.45,0.01,1.02,0.31,0.32,10.20,0.00,10.20,0.00,688.00,0,880,3.29,2.65,1.81,0,11286276,4870288,30.14,46248,1286956,6591752,40.80,3777404,869352,226204,lo,396.20,396.20,6459.42,6459.42,0.00,0.00,0.00,0.00,0.00,344.00,40024.80,0.00,31433.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.60,7926.20
