timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:43:21,26.16,0.00,0.58,0.78,0.00,72.49,188.60,0.00,3496.00,18.54,0.08,0.40,0.38,7.12,188.60,0.00,188.60,0.00,3496.00,0,820,2.64,1.48,1.16,0,61120716,3806380,5.86,64620,564140,7455380,11.48,3272188,266796,27952,lo,188.80,188.80,3573.76,3573.76,0.00,0.00,0.00,0.00,0.00,1748.00,7130.20,0.00,4453.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,6435.00
17:43:26,20.96,0.00,0.73,0.03,0.00,78.28,4.00,0.00,136.00,34.00,0.00,0.20,0.20,0.08,4.00,0.00,4.00,0.00,136.00,0,914,2.51,1.48,1.16,0,60658980,4268116,6.57,64632,581900,8746196,13.47,3715416,283132,45788,lo,165.80,165.80,3529.39,3529.39,0.00,0.00,0.00,0.00,0.00,68.00,23982.00,0.00,1712.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.40,5570.80
17:43:31,47.41,0.00,1.89,0.00,0.00,50.70,6.40,0.00,132.80,20.75,0.00,0.50,0.50,0.32,6.40,0.00,6.40,0.00,132.80,2,988,3.03,1.60,1.21,0,60344260,4582836,7.06,64644,582812,9302644,14.33,4027136,282616,46680,lo,126.40,126.40,65.33,65.33,0.00,0.00,0.00,0.00,0.00,66.40,35838.80,0.00,19557.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.80,10277.00
17:43:36,39.24,0.00,1.61,0.03,0.00,59.12,11.00,0.00,244.80,22.25,0.01,0.58,0.51,0.56,11.00,0.00,11.00,0.00,244.80,6,964,2.79,1.57,1.20,0,60457496,4469600,6.88,64652,582744,9329360,14.37,3914876,282344,46580,lo,145.00,145.00,96.68,96.68,0.00,0.00,0.00,0.00,0.00,122.40,33038.60,0.00,38174.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,43.60,9101.20
17:43:41,29.00,0.00,1.10,0.05,0.00,69.84,18.00,0.00,252.80,14.04,0.01,0.40,0.31,0.56,18.00,0.00,18.00,0.00,252.80,0,900,2.81,1.60,1.21,0,60642944,4284152,6.60,64664,583124,8754580,13.48,3728676,282600,46832,lo,159.00,159.00,189.67,189.67,0.00,0.00,0.00,0.00,0.00,126.40,17969.80,0.00,27431.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,31.00,7665.00
17:43:46,1.58,0.00,0.25,0.03,0.00,98.15,54.80,0.00,3787.20,69.11,0.21,3.88,0.09,0.48,54.80,0.00,54.80,0.00,3787.20,0,860,2.58,1.57,1.20,0,60644576,4282520,6.60,64676,582840,8754580,13.48,3729452,282364,37408,lo,203.60,203.60,3490.68,3490.68,0.00,0.00,0.00,0.00,0.00,1893.60,286.00,0.00,1995.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,2550.40
17:43:51,20.53,0.00,0.83,0.03,0.00,78.62,14.80,0.00,673.60,45.51,0.00,0.27,0.11,0.16,12.60,0.00,12.60,0.00,515.20,2,915,2.37,1.55,1.20,0,60656148,4270948,6.58,64684,583072,8680348,13.37,3718352,284004,36480,lo,175.80,175.80,3609.85,3609.85,0.00,0.00,0.00,0.00,0.00,336.80,24125.00,0.00,25478.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.40,5585.40
17:43:56,14.68,0.00,0.58,0.00,0.00,84.75,13.20,0.00,144.00,10.91,0.00,0.18,0.18,0.24,14.80,0.00,14.80,0.00,254.40,0,868,2.18,1.52,1.19,1,60648928,4278168,6.59,64700,583684,8690116,13.38,3720712,283248,37268,lo,141.60,141.60,248.86,248.86,0.00,0.00,0.00,0.00,0.00,72.00,10840.40,0.00,10764.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,5453.40
17:44:01,0.83,0.00,0.13,0.03,0.00,99.02,4.60,0.00,99.20,21.57,0.00,0.52,0.52,0.24,4.40,0.00,4.40,0.00,91.20,0,814,2.01,1.49,1.18,1,61046920,3880176,5.98,64712,565668,7967472,12.27,3341420,266248,19400,lo,25.40,25.40,4.89,4.89,0.00,0.00,0.00,0.00,0.00,49.60,555.40,0.00,20278.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,5.00,2481.40
17:44:06,18.04,0.00,1.20,0.00,0.00,80.76,8.00,0.00,259.20,32.40,0.00,0.10,0.10,0.08,7.80,0.00,7.80,0.00,211.20,4,806,1.93,1.49,1.18,1,61331184,3595912,5.54,64720,544732,7371400,11.35,3079268,249696,2100,lo,23.80,23.80,16.83,16.83,0.00,0.00,0.00,0.00,0.00,129.60,36607.60,0.00,49133.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,6721.80
