timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:27:36,55.13,0.00,12.17,0.20,0.00,32.49,30.40,38.40,3443.20,114.53,0.23,7.68,0.11,0.32,30.40,1.00,29.40,38.40,3443.20,2,629,1.70,1.96,2.15,0,2078648,14078180,87.13,35240,11330540,4386836,27.15,3834888,9730524,191024,lo,23.20,23.20,19.80,19.80,0.00,0.00,0.00,0.00,19.20,1721.60,24638.00,0.20,48069.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.56,3321.76
11:27:41,43.05,0.00,5.08,4.06,0.00,47.82,294.00,76.80,7004.80,24.09,1.51,5.13,0.29,8.48,294.00,5.60,288.40,76.80,7004.80,0,638,1.80,1.97,2.15,0,1929692,14227136,88.06,35752,11353832,4433308,27.44,3956780,9752368,221864,lo,900.20,900.20,120.81,120.81,0.00,0.00,0.00,0.00,38.40,3502.40,7781.40,0.00,2516.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,176.00,9355.80
11:27:46,56.10,0.00,14.33,0.81,0.00,28.76,161.00,171.20,9014.40,57.05,2.07,12.85,0.26,4.24,161.00,20.20,140.80,171.20,9014.40,3,659,1.90,1.99,2.16,0,8231468,7925360,49.05,36136,5070480,4849960,30.02,2928336,4677612,305324,lo,960.60,960.60,20901.63,20901.63,0.00,0.00,0.00,0.00,85.60,4507.20,11172.80,0.20,334924.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,49.20,6293.80
11:27:51,58.47,0.00,7.56,0.00,0.00,33.97,7.60,4.80,561.60,74.53,0.02,3.05,0.32,0.24,7.60,0.20,7.40,4.80,561.60,5,754,1.99,2.01,2.16,0,12523228,3633600,22.49,36148,653760,5991608,37.08,2942004,502664,307108,lo,45.80,45.80,31.73,31.73,0.00,0.00,0.00,0.00,2.40,280.80,14289.20,0.00,227038.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.00,4298.80
11:27:56,91.86,0.00,7.84,0.00,0.00,0.30,5.40,0.00,104.00,19.26,0.00,0.30,0.30,0.16,5.40,0.00,5.40,0.00,104.00,6,775,2.15,2.04,2.17,0,11794544,4362284,27.00,36160,819048,6412500,39.69,3509444,658176,472460,lo,1285.00,1285.00,33176.45,33176.45,0.00,0.00,0.00,0.00,0.00,52.00,29614.00,0.00,7509.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.80,10080.40
11:28:01,88.37,0.00,6.52,0.00,0.00,5.12,29.20,0.00,3083.20,105.59,0.18,6.00,0.36,1.04,29.20,0.00,29.20,0.00,3083.20,8,789,2.30,2.07,2.18,0,11793292,4363536,27.01,36172,916380,6218276,38.49,3420048,749400,562428,lo,772.60,772.60,19403.22,19403.22,0.00,0.00,0.00,0.00,0.00,1541.60,27755.80,0.00,35491.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.00,9092.40
11:28:06,81.02,0.00,7.93,0.00,0.00,11.04,276.20,0.00,20385.60,73.81,14.18,46.96,0.42,11.52,276.20,0.00,276.20,0.00,20385.60,4,770,2.43,2.11,2.19,1,11861188,4295640,26.59,36184,1069340,6314108,39.08,3204232,892832,659092,lo,1119.40,1119.40,30253.19,30253.19,0.00,0.00,0.00,0.00,0.00,11400.00,19585.60,0.00,36023.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.20,6776.20
11:28:11,81.89,0.00,10.16,1.91,0.00,6.04,644.60,0.00,59710.40,92.63,33.60,54.01,0.43,27.44,644.60,0.00,644.60,0.00,59710.40,5,766,2.56,2.14,2.20,0,11709060,4447768,27.53,36216,1276932,6117176,37.86,3160972,1087760,739256,lo,1462.40,1462.40,41402.39,41402.39,0.00,0.00,0.00,0.00,0.00,28648.00,31237.60,0.00,40898.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.80,11077.20
11:28:16,84.87,0.00,9.12,0.00,0.00,6.01,174.80,0.00,21779.20,124.59,10.14,58.02,0.49,8.48,174.80,0.00,174.80,0.00,21779.20,4,758,2.92,2.22,2.23,0,11584240,4572588,28.30,36232,1484576,5976728,36.99,3086872,1282812,892992,lo,1539.20,1539.20,41405.90,41405.90,0.00,0.00,0.00,0.00,0.00,10889.60,29519.80,0.00,40317.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.20,11023.20
11:28:21,84.72,0.00,8.44,0.00,0.00,6.83,171.80,0.00,21129.60,122.99,10.23,59.53,0.49,8.40,171.80,0.00,171.80,0.00,21129.60,3,759,3.24,2.30,2.25,0,11457604,4699224,29.09,36244,1692280,5958152,36.88,3012992,1477784,1048376,lo,1475.40,1475.40,41403.28,41403.28,0.00,0.00,0.00,0.00,0.00,10564.80,28091.80,0.00,38113.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.60,10418.80
11:28:26,91.27,0.00,8.23,0.10,0.00,0.40,111.80,0.00,12864.00,115.06,3.48,28.36,0.28,3.12,111.80,0.00,111.80,0.00,12864.00,2,777,3.30,2.33,2.26,1,10671088,5485740,33.95,36256,1899348,6461564,39.99,3596712,1672924,1215604,lo,1433.00,1433.00,41397.56,41397.56,0.00,0.00,0.00,0.00,0.00,8083.20,28997.60,0.00,6393.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,14.00,10304.80
11:28:31,89.19,0.00,4.50,0.10,0.00,6.21,111.40,0.00,14073.60,126.33,7.51,70.22,0.69,7.68,111.80,0.00,111.80,0.00,14075.20,4,782,3.36,2.35,2.27,0,10775700,5381128,33.31,36268,1900276,6241868,38.63,3492756,1673036,1189604,lo,58.60,58.60,21.52,21.52,0.00,0.00,0.00,0.00,0.00,5385.60,27216.20,0.00,32222.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,5997.20
11:28:36,82.40,0.00,9.40,5.50,0.00,2.70,1149.80,0.00,213832.00,185.97,117.45,101.75,0.82,94.24,1156.20,0.00,1156.20,0.00,215352.00,5,771,3.49,2.40,2.29,1,10816068,5340760,33.06,36284,2107784,6013356,37.22,3252748,1868072,853208,lo,1408.00,1408.00,41393.06,41393.06,0.00,0.00,0.00,0.00,0.00,109964.80,18435.40,0.00,36492.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,18.40,9844.00
11:28:41,81.99,0.00,10.16,5.53,0.00,2.31,1154.00,0.00,225344.00,195.27,124.47,107.50,0.87,100.08,1154.60,0.00,1154.60,0.00,225121.60,7,764,3.61,2.44,2.30,1,10682044,5474784,33.89,36312,2315380,6079184,37.63,3187496,2063004,500696,lo,1407.60,1407.60,41392.73,41392.73,0.00,0.00,0.00,0.00,0.00,112541.60,27088.20,0.00,36292.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.00,11015.60
11:28:46,88.57,0.00,9.33,0.00,0.00,2.11,166.60,0.00,36694.40,220.25,18.63,117.11,0.97,16.24,159.20,0.00,159.20,0.00,35395.20,3,758,3.56,2.45,2.31,0,10525060,5631768,34.86,36328,2523000,5987428,37.06,3143960,2258020,624240,lo,1478.40,1478.40,41402.80,41402.80,0.00,0.00,0.00,0.00,0.00,15428.80,29727.80,0.00,38881.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,11576.00
11:28:51,89.17,0.00,8.22,0.10,0.00,2.51,3.80,0.00,112.00,29.47,0.00,0.84,0.42,0.16,3.80,0.00,3.80,0.00,112.00,6,766,3.60,2.48,2.32,0,10044128,6112700,37.83,36340,2730188,6208140,38.42,3423384,2453084,831464,lo,1434.60,1434.60,41398.09,41398.09,0.00,0.00,0.00,0.00,0.00,56.00,29212.80,0.00,21723.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,11947.60
