timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:22:39,87.44,0.00,2.51,4.22,0.00,5.83,255.60,0.00,4889.60,19.13,0.10,0.41,0.37,9.52,251.60,0.00,251.60,0.00,4816.00,2,688,2.96,3.04,2.58,0,1409016,14747812,91.28,154212,11639160,4397760,27.22,7007360,7295308,2448,lo,4.20,4.20,0.62,0.62,0.00,0.00,0.00,0.00,0.00,2434.40,11386.00,0.00,345.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,6246.80
01:22:44,82.21,0.00,5.73,1.21,0.00,10.85,74.40,0.00,1484.80,19.96,0.04,0.48,0.45,3.36,78.40,0.00,78.40,0.00,1558.40,3,703,2.88,3.02,2.58,0,1119612,15037216,93.07,154508,11701224,4869444,30.14,7224860,7354928,63440,lo,17.00,17.00,1.98,1.98,0.00,0.00,0.00,0.00,0.00,752.80,11814.60,0.00,914.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.80,4951.00
01:22:49,71.05,0.00,5.06,0.10,0.00,23.79,25.80,0.00,1209.60,46.88,0.04,1.40,0.12,0.32,25.80,0.00,25.80,0.00,1209.60,4,713,2.81,3.00,2.57,0,1225880,14930948,92.41,154524,11677576,4857104,30.06,7154232,7329148,42424,lo,404.20,404.20,7281.05,7281.05,0.00,0.00,0.00,0.00,0.00,604.80,11609.60,0.00,19377.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,28.40,5456.80
01:22:54,73.92,0.00,2.01,0.00,0.00,24.07,5.40,0.00,246.40,45.63,0.00,0.89,0.15,0.08,5.40,0.00,5.40,0.00,246.40,0,775,2.75,2.99,2.57,0,956204,15200624,94.08,154536,11677824,5229280,32.37,7422572,7329140,42816,lo,38.00,38.00,49.46,49.46,0.00,0.00,0.00,0.00,0.00,123.20,14329.20,0.00,866.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,3558.40
01:22:59,89.48,0.00,3.41,0.00,0.00,7.11,3.80,0.00,241.60,63.58,0.00,0.42,0.42,0.16,3.80,0.00,3.80,0.00,241.60,4,825,2.53,2.94,2.56,0,648424,15508404,95.99,154540,11678552,5719216,35.40,7727876,7329072,43272,lo,51.60,51.60,13.05,13.05,0.00,0.00,0.00,0.00,0.00,120.80,16452.00,0.00,860.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,5417.60
01:23:04,92.47,0.00,4.92,0.00,0.00,2.61,5.00,0.00,310.40,62.08,0.00,0.48,0.16,0.08,5.00,0.00,5.00,0.00,310.40,5,812,2.73,2.97,2.57,0,774588,15382240,95.21,154552,11678304,5783784,35.80,7604844,7326256,42496,lo,117.80,117.80,1589.16,1589.16,0.00,0.00,0.00,0.00,0.00,155.20,25555.60,0.00,31225.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.60,4835.80
01:23:09,95.90,0.00,4.00,0.00,0.00,0.10,6.00,0.00,331.20,55.20,0.00,0.13,0.13,0.08,6.00,0.00,6.00,0.00,331.20,2,824,2.83,2.99,2.58,0,354252,15802576,97.81,154564,11678540,5907316,36.56,8024092,7326448,42368,lo,96.80,96.80,1046.60,1046.60,0.00,0.00,0.00,0.00,0.00,165.60,22514.40,0.00,1324.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,12.60,4159.80
01:23:14,93.76,0.00,4.63,0.00,0.00,1.61,26.60,0.00,1393.60,52.39,0.06,2.29,0.09,0.24,26.60,0.00,26.60,0.00,1393.60,4,825,2.84,2.99,2.58,0,557136,15599692,96.55,154568,11678716,5806056,35.94,7821708,7326492,39404,lo,76.60,76.60,667.85,667.85,0.00,0.00,0.00,0.00,0.00,696.80,21209.60,0.00,30900.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.60,4717.00
01:23:19,94.89,0.00,4.01,0.00,0.00,1.10,4.40,0.00,539.20,122.55,0.01,1.27,0.36,0.16,4.40,0.00,4.40,0.00,539.20,2,819,3.10,3.04,2.60,0,517020,15639808,96.80,154576,11678668,5808040,35.95,7862152,7326392,38296,lo,88.60,88.60,875.39,875.39,0.00,0.00,0.00,0.00,0.00,269.60,18606.00,0.00,16166.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.00,4847.40
01:23:24,90.38,0.00,4.01,0.00,0.00,5.61,127.60,0.00,14947.20,117.14,6.75,52.88,0.48,6.16,127.40,0.00,127.40,0.00,14945.60,0,832,3.01,3.02,2.60,0,464532,15692296,97.12,154576,11678984,5824144,36.05,7913228,7326628,1772,lo,90.60,90.60,673.36,673.36,0.00,0.00,0.00,0.00,0.00,7473.60,18559.80,0.00,15661.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,15.80,4765.60
