timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
01:38:24,80.60,0.00,4.72,0.00,0.00,14.67,2.00,0.00,108.80,54.40,0.00,0.40,0.40,0.08,2.00,0.00,2.00,0.00,108.80,5,714,2.90,2.88,2.72,0,1029936,15126892,93.63,155548,11823044,4934572,30.54,7262448,7427376,444,lo,13.40,13.40,2.94,2.94,0.00,0.00,0.00,0.00,0.00,54.40,27340.80,0.00,9001.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.20,3064.00
01:38:29,79.48,0.00,5.33,5.03,0.00,10.16,204.80,160.00,30732.80,150.84,13.85,67.61,0.61,12.48,204.80,1.40,203.40,160.00,30732.80,2,738,2.91,2.88,2.72,0,555644,15601184,96.56,155552,11976800,5262920,32.57,7659152,7503032,77092,lo,544.40,544.40,18588.54,18588.54,0.00,0.00,0.00,0.00,80.00,15366.40,16629.20,0.00,3182.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,6.40,5548.60
01:38:34,96.09,0.00,2.41,0.00,0.00,1.50,2.40,0.00,83.20,34.67,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,83.20,3,744,2.92,2.89,2.72,0,455632,15701196,97.18,155556,11983688,5262920,32.57,7753992,7508148,83964,lo,615.80,615.80,18759.86,18759.86,0.00,0.00,0.00,0.00,0.00,41.60,4858.60,0.00,264.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.60,2470.00
01:38:39,97.30,0.00,1.70,0.00,0.00,1.00,3.00,0.00,96.00,32.00,0.00,0.00,0.00,0.00,2.99,0.00,2.99,0.00,95.81,3,752,2.92,2.89,2.72,0,365676,15791152,97.74,155560,11983716,5262920,32.57,7848428,7503008,84068,lo,205.60,205.60,4173.05,4173.05,0.00,0.00,0.00,0.00,0.00,48.00,4548.40,0.00,347.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.00,2571.60
01:38:44,96.18,0.00,1.71,0.00,0.00,2.11,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,2,750,2.85,2.87,2.72,0,308996,15847832,98.09,155564,11983716,5317000,32.91,7905100,7503004,84116,lo,353.40,353.40,10791.05,10791.05,0.00,0.00,0.00,0.00,0.00,7.20,3070.00,0.00,122.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2218.20
01:38:49,95.57,0.00,1.41,0.00,0.00,3.02,1.80,0.00,73.60,40.89,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,73.60,2,750,2.78,2.86,2.71,0,304148,15852680,98.12,155568,11985308,5317000,32.91,7908336,7504584,85668,lo,428.60,428.60,12404.60,12404.60,0.00,0.00,0.00,0.00,0.00,36.80,173.80,0.00,71.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2335.60
01:38:54,96.67,0.00,1.41,0.00,0.00,1.92,9.00,0.00,192.00,21.33,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,192.00,3,750,2.72,2.84,2.71,0,262152,15894676,98.38,155576,11985320,5373108,33.26,7950220,7504592,85296,lo,425.20,425.20,12213.09,12213.09,0.00,0.00,0.00,0.00,0.00,96.00,2215.80,0.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2316.60
01:38:59,96.58,0.00,1.21,0.20,0.00,2.01,96.60,0.00,30728.00,318.10,13.14,136.03,1.28,12.40,96.60,0.00,96.60,0.00,30728.00,3,750,2.66,2.83,2.71,0,261520,15895308,98.38,155580,11985344,5373108,33.26,7950704,7504600,8688,lo,433.00,433.00,12128.08,12128.08,0.00,0.00,0.00,0.00,0.00,15364.00,55.40,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2243.40
01:39:04,71.72,0.00,1.20,0.00,0.00,27.08,4.00,0.00,1435.20,358.80,0.01,3.00,0.40,0.16,4.00,0.00,4.00,0.00,1435.20,1,749,2.53,2.80,2.70,0,203044,15953784,98.74,155580,11985328,5521432,34.17,8009468,7504568,5276,lo,170.40,170.40,4380.60,4380.60,0.00,0.00,0.00,0.00,0.00,717.60,3063.60,0.00,61.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2541.80
01:39:09,92.86,0.00,1.51,0.00,0.00,5.63,7.80,0.00,1427.20,182.97,0.04,5.13,0.21,0.16,7.80,0.00,7.80,0.00,1427.20,2,750,2.64,2.82,2.70,0,153708,16003120,99.05,155584,11995980,5556288,34.39,8048820,7513568,12516,lo,305.40,305.40,8480.53,8480.53,0.00,0.00,0.00,0.00,0.00,713.60,2075.40,0.00,177.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.20,2452.00
01:39:14,83.10,0.00,1.81,0.00,0.00,15.09,0.80,0.00,65.60,82.00,0.00,1.00,1.00,0.08,0.80,0.00,0.80,0.00,65.60,2,753,2.59,2.81,2.70,0,161172,15995656,99.00,155180,11932800,5589656,34.60,8102428,7452824,3592,lo,401.00,401.00,10686.68,10686.68,0.00,0.00,0.00,0.00,0.00,32.80,3053.60,0.00,4539.00,2728.40,0.00,2728.40,100.00,0.00,0.00,0,0,0.00,0,0.00,0.60,2473.20
01:39:19,87.85,0.00,1.52,0.00,0.00,10.63,1.60,0.00,718.40,449.00,0.00,2.50,1.50,0.24,1.60,0.00,1.60,0.00,718.40,1,751,2.55,2.79,2.70,0,175472,15981356,98.91,154976,11913204,5589656,34.60,8107496,7434448,9452,lo,396.00,396.00,11394.45,11394.45,0.00,0.00,0.00,0.00,0.00,359.20,528.20,0.00,1619.80,1357.20,0.00,1357.20,100.00,0.00,0.00,0,0,0.00,0,0.00,1.80,2230.00
01:39:24,67.60,0.00,7.52,0.10,0.00,24.77,3.00,0.00,76.80,25.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,76.80,3,691,2.42,2.76,2.69,0,5116816,11040012,68.33,154980,8029304,4401564,27.24,3385276,7266176,524,lo,24.20,24.20,11.02,11.02,0.00,0.00,0.00,0.00,0.00,38.40,19517.00,0.00,258993.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.80,3287.60
