timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
16:10:41,42.90,0.00,2.76,0.00,0.00,54.34,6.40,0.00,184.00,28.75,0.00,0.12,0.12,0.08,6.40,0.00,6.40,0.00,184.00,0,667,3.50,3.10,2.65,0,25639820,6773760,20.90,141768,3704784,5723876,17.66,3425496,3068212,472,lo,245.80,245.80,6504.25,6504.25,0.00,0.00,0.00,0.00,0.00,92.00,25379.40,0.00,258339.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.60,3932.20
16:10:46,57.11,0.00,4.23,1.16,0.00,37.50,45.60,0.00,30804.80,675.54,11.41,250.30,2.77,12.64,45.60,0.00,45.60,0.00,30804.80,1,746,3.62,3.13,2.67,0,24796988,7616592,23.50,141772,3857936,7062312,21.79,4186380,3144616,77164,lo,444.00,444.00,15361.36,15361.36,0.00,0.00,0.00,0.00,0.00,15402.40,48083.40,0.00,15577.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,22.40,7172.80
16:10:51,89.76,0.00,4.05,0.00,0.00,6.20,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,5,749,3.65,3.14,2.67,0,23590736,8822844,27.22,141772,3858192,8410704,25.95,5391088,3144764,77184,lo,1859.80,1859.80,57135.00,57135.00,0.00,0.00,0.00,0.00,0.00,5.60,61174.60,0.00,1234.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3833.20
16:10:56,97.40,0.00,1.85,0.00,0.00,0.75,0.60,0.00,33.60,56.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,33.60,4,753,3.84,3.19,2.69,0,23504820,8908760,27.48,141772,3861960,8410704,25.95,5473752,3147904,80952,lo,2316.60,2316.60,71303.62,71303.62,0.00,0.00,0.00,0.00,0.00,16.80,4130.20,0.00,309.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.20,3362.80
16:11:01,97.40,0.00,2.05,0.00,0.00,0.55,2.20,0.00,89.60,40.73,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,89.60,4,753,3.85,3.20,2.70,0,23460680,8952900,27.62,141776,3864772,8410704,25.95,5515068,3150240,83796,lo,2588.00,2588.00,80657.48,80657.48,0.00,0.00,0.00,0.00,0.00,44.80,2059.00,0.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.20,3494.00
16:11:06,97.55,0.00,1.85,0.00,0.00,0.60,0.60,0.00,36.80,61.33,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,36.80,4,752,3.87,3.22,2.71,0,23392476,9021104,27.83,141784,3867592,8410704,25.95,5580364,3152556,86596,lo,2623.60,2623.60,80648.98,80648.98,0.00,0.00,0.00,0.00,0.00,18.40,3288.80,0.00,361.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,3351.00
16:11:11,94.59,0.00,1.80,0.00,0.00,3.61,1.60,0.00,49.60,31.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,49.60,3,752,3.88,3.23,2.71,0,23341776,9071804,27.99,141788,3870412,8410704,25.95,5628544,3154912,89452,lo,2561.20,2561.20,78999.13,78999.13,0.00,0.00,0.00,0.00,0.00,24.80,2446.20,0.00,351.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.60,3339.20
16:11:16,77.33,0.00,0.80,0.00,0.00,21.87,16.00,0.00,4491.20,280.70,1.12,4.75,0.60,0.96,16.00,0.00,16.00,0.00,4491.20,6,752,3.73,3.21,2.71,1,23304004,9109576,28.10,141788,3873272,8410704,25.95,5676656,3144736,36528,lo,584.20,584.20,15130.22,15130.22,0.00,0.00,0.00,0.00,0.00,11154.40,1795.80,0.00,375.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.40,3519.00
16:11:21,97.19,0.00,0.85,0.20,0.00,1.76,38.40,0.00,26425.60,688.17,10.65,304.48,3.02,11.60,38.40,0.00,38.40,0.00,26425.60,4,753,3.75,3.22,2.72,0,23212712,9200868,28.39,141792,3873272,8501288,26.23,5767640,3144736,15364,lo,794.20,794.20,24624.30,24624.30,0.00,0.00,0.00,0.00,0.00,4304.00,5955.60,0.00,1242.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.40,2512.00
16:11:26,98.19,0.00,0.85,0.00,0.00,0.95,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,4,752,3.77,3.24,2.73,0,23144168,9269412,28.60,141796,3873272,8501288,26.23,5836844,3144736,15404,lo,917.00,917.00,28443.59,28443.59,0.00,0.00,0.00,0.00,0.00,8.80,3724.40,0.00,275.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2475.20
