timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
17:06:34,30.86,0.00,0.68,1.13,0.00,67.34,295.80,0.00,5617.60,18.99,0.13,0.45,0.39,11.68,295.80,0.00,295.80,0.00,5617.60,2,801,2.72,1.61,0.98,0,61242124,3684972,5.68,45252,529820,7545300,11.62,3180800,239600,3520,lo,8.80,8.80,1.18,1.18,0.00,0.00,0.00,0.00,0.00,2808.80,17158.60,0.00,1017.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.00,7480.40
17:06:39,27.82,0.00,1.18,0.10,0.00,70.91,43.40,0.00,712.00,16.41,0.01,0.31,0.28,1.20,43.40,0.00,43.40,0.00,712.00,3,850,2.58,1.60,0.98,0,60733880,4193216,6.46,45392,564784,8774600,13.51,3652896,272112,36952,lo,326.60,326.60,6970.11,6970.11,0.00,0.00,0.00,0.00,0.00,356.00,25988.80,0.00,2993.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,38.20,6638.00
17:06:44,34.20,0.00,1.28,0.00,0.00,64.52,5.20,0.00,193.60,37.23,0.00,0.46,0.46,0.24,5.20,0.00,5.20,0.00,193.60,1,903,2.62,1.62,0.99,0,60703220,4223876,6.51,45404,565820,8794744,13.55,3679628,271560,38236,lo,97.60,97.60,88.97,88.97,0.00,0.00,0.00,0.00,0.00,96.80,32214.00,0.00,30886.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,32.20,7085.40
17:06:49,39.44,0.00,1.68,0.00,0.00,58.88,3.20,0.00,155.20,48.50,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,155.20,3,961,2.73,1.66,1.01,0,60461460,4465636,6.88,45416,565720,9423272,14.51,3921272,271176,38172,lo,96.20,96.20,48.53,48.53,0.00,0.00,0.00,0.00,0.00,77.60,42828.00,0.00,29991.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.80,9256.40
17:06:54,47.69,0.00,2.17,0.00,0.00,50.14,6.60,0.00,348.80,52.85,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,348.80,4,941,2.75,1.68,1.02,0,60549056,4378040,6.74,45428,566212,9159020,14.11,3833144,271420,38268,lo,125.00,125.00,69.06,69.06,0.00,0.00,0.00,0.00,0.00,174.40,53805.20,0.00,57898.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,46.00,9418.40
17:06:59,33.45,0.00,1.65,0.00,0.00,64.90,9.00,0.00,513.60,57.07,0.01,1.42,0.80,0.72,9.00,0.00,9.00,0.00,513.60,5,926,2.93,1.74,1.04,0,60608428,4318668,6.65,45444,566136,9137056,14.07,3775936,271124,37440,lo,123.80,123.80,45.77,45.77,0.00,0.00,0.00,0.00,0.00,256.80,33563.40,0.00,36194.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,39.20,9163.60
17:07:04,48.86,0.00,1.98,0.03,0.00,49.14,12.20,0.00,385.60,31.61,0.00,0.33,0.26,0.32,12.20,0.00,12.20,0.00,385.60,5,942,2.85,1.74,1.05,0,60556892,4370204,6.73,45460,566688,9109316,14.03,3825596,271416,37532,lo,132.60,132.60,40.32,40.32,0.00,0.00,0.00,0.00,0.00,192.80,34880.40,0.00,31994.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,50.20,10511.20
17:07:09,32.57,0.00,1.41,0.05,0.00,65.97,44.60,0.00,14257.60,319.68,3.61,81.02,1.54,6.88,44.60,0.00,44.60,0.00,14257.60,1,887,2.87,1.76,1.06,0,60692020,4235076,6.52,45472,566980,8846556,13.63,3693140,271540,2820,lo,165.40,165.40,191.00,191.00,0.00,0.00,0.00,0.00,0.00,7128.80,22888.80,0.00,29602.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.80,7532.80
17:07:14,0.80,0.00,0.10,0.00,0.00,99.10,19.60,0.00,550.40,28.08,0.00,0.04,0.04,0.08,19.60,0.00,19.60,0.00,550.40,1,811,2.64,1.73,1.05,0,61086432,3840664,5.92,45484,549100,8134284,12.53,3315556,254712,1504,lo,23.80,23.80,6.88,6.88,0.00,0.00,0.00,0.00,0.00,275.20,537.60,0.00,20118.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,3.20,2901.40
17:07:19,11.07,0.00,0.98,0.00,0.00,87.95,6.40,0.00,156.80,24.50,0.00,0.50,0.50,0.32,6.40,0.00,6.40,0.00,156.80,2,788,2.50,1.72,1.05,0,61570616,3356480,5.17,45496,528016,7459328,11.49,2851732,239052,1760,lo,32.40,32.40,171.96,171.96,0.00,0.00,0.00,0.00,0.00,78.40,24462.00,0.00,47562.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.20,6338.00
