timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
10:39:41,17.99,0.00,1.55,3.93,0.00,76.52,107.00,8.00,76028.80,710.62,37.57,316.48,3.10,33.12,107.00,1.00,106.00,8.00,76028.80,4,755,2.57,2.80,1.81,1,33526612,31400484,48.36,45188,27557680,7410384,11.41,4672068,25703620,904348,lo,17.20,17.20,1.80,1.80,0.00,0.00,0.00,0.00,4.00,41510.40,37879.00,0.00,60851.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,34.00,7935.80
10:39:46,13.85,0.00,2.76,2.21,0.00,81.18,152.80,14.40,29280.00,191.72,11.45,72.29,0.87,13.36,152.80,0.60,152.20,14.40,29280.00,1,765,2.69,2.82,1.82,3,33280160,31646936,48.74,58400,27528768,7278996,11.21,4908056,25677992,1009112,lo,298.80,298.80,768.65,768.65,0.00,0.00,0.00,0.00,7.20,16567.20,12585.60,0.00,12163.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.80,7612.80
10:39:51,1.61,0.00,0.38,6.17,0.00,91.85,213.80,0.00,70713.60,330.75,33.08,173.93,1.58,33.84,213.80,0.00,213.80,0.00,70713.60,1,764,2.47,2.77,1.81,0,33270200,31656896,48.76,58440,27527308,7278996,11.21,4918800,25677280,883152,lo,376.60,376.60,51.17,51.17,0.00,0.00,0.00,0.00,0.00,29933.60,1492.60,0.00,1355.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,67.20,6721.40
10:39:56,0.33,0.00,0.10,6.09,0.00,93.49,176.80,1.60,124150.40,702.22,53.81,304.34,3.02,53.36,176.80,0.20,176.60,1.60,124150.40,1,762,2.44,2.76,1.81,0,33268920,31658176,48.76,58460,27527836,7278996,11.21,4920500,25677676,573428,lo,73.00,73.00,9.33,9.33,0.00,0.00,0.00,0.00,0.80,62075.20,213.00,0.00,238.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,3209.20
10:40:01,0.23,0.00,0.10,5.33,0.00,94.34,121.00,0.00,82257.60,679.81,39.46,323.72,2.93,35.44,121.00,0.00,121.00,0.00,82257.60,2,761,2.24,2.72,1.80,4,33267508,31659588,48.76,58472,27527976,7278996,11.21,4921908,25677768,367228,lo,52.60,52.60,6.79,6.79,0.00,0.00,0.00,0.00,0.00,41357.60,153.20,0.00,184.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,2900.20
10:40:06,0.50,0.00,0.13,1.88,0.00,97.50,177.40,0.00,27532.80,155.20,13.53,68.23,0.66,11.68,177.40,0.00,177.40,0.00,27532.80,1,762,2.06,2.67,1.79,1,33265804,31661292,48.76,58488,27528124,7278996,11.21,4923432,25677892,275588,lo,83.40,83.40,10.99,10.99,0.00,0.00,0.00,0.00,0.00,18430.40,246.40,0.00,253.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,9.60,3662.60
10:40:11,0.38,0.00,0.13,2.28,0.00,97.22,109.60,0.00,34915.20,318.57,13.63,140.07,1.43,15.68,109.60,0.00,109.60,0.00,34915.20,1,762,1.98,2.64,1.79,0,33263828,31663268,48.77,58496,27528284,7278996,11.21,4925108,25678000,213068,lo,104.60,104.60,13.51,13.51,0.00,0.00,0.00,0.00,0.00,12564.80,323.80,0.00,314.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,3000.80
10:40:16,0.30,0.00,0.48,8.57,0.00,90.65,1662.40,0.00,78278.40,47.09,86.46,52.01,0.40,67.12,1659.08,0.00,1659.08,0.00,78122.16,2,762,1.90,2.62,1.78,0,33262400,31664696,48.77,58504,27528408,7278996,11.21,4926800,25678096,17740,lo,61.80,61.80,7.61,7.61,0.00,0.00,0.00,0.00,0.00,39139.20,172.60,0.00,1275.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,8.00,2871.80
10:40:21,0.15,0.00,0.08,0.23,0.00,99.55,140.60,0.00,9929.60,70.62,3.08,21.88,0.30,4.16,140.60,0.00,140.60,0.00,9929.60,2,763,1.75,2.57,1.77,0,33260688,31666408,48.77,58532,27528528,7278996,11.21,4928260,25678188,1232,lo,80.40,80.40,10.52,10.52,0.00,0.00,0.00,0.00,0.00,4964.80,234.40,0.00,271.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.60,2643.80
10:40:26,0.75,0.00,0.13,0.08,0.00,99.05,30.40,0.00,392.00,12.89,0.01,0.32,0.32,0.96,30.40,0.00,30.40,0.00,392.00,2,763,1.60,2.53,1.76,0,33240652,31686444,48.80,58540,27528752,7278996,11.21,4948232,25678360,1044,lo,109.20,109.20,14.25,14.25,0.00,0.00,0.00,0.00,0.00,196.00,1237.00,0.00,367.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.80,2785.60
10:40:31,11.95,0.00,0.80,0.08,0.00,87.18,31.00,0.00,267.20,8.62,0.01,0.18,0.15,0.48,31.00,0.00,31.00,0.00,267.20,3,792,1.88,2.57,1.78,0,33003016,31924080,49.17,58548,27632716,8435508,12.99,5084780,25776244,104976,lo,842.80,842.80,20879.72,20879.72,0.00,0.00,0.00,0.00,0.00,133.60,8472.00,0.00,4142.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,30.80,6621.60
10:40:36,25.45,0.00,1.00,0.03,0.00,73.53,4.60,0.00,169.60,36.87,0.00,0.70,0.35,0.16,4.60,0.00,4.60,0.00,169.60,6,904,2.05,2.59,1.79,0,32484488,32442608,49.97,58564,27633284,11844968,18.24,5598424,25776116,105612,lo,46.00,46.00,31.78,31.78,0.00,0.00,0.00,0.00,0.00,84.80,27453.20,0.00,1324.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,27.40,5916.60
10:40:41,47.57,0.00,2.77,0.00,0.00,49.66,3.60,0.00,196.80,54.67,0.00,1.11,0.44,0.16,3.60,0.00,3.60,0.00,196.80,2,867,1.88,2.55,1.78,0,32597800,32329296,49.79,58572,27636048,8628040,13.29,5483028,25776472,108336,lo,2593.40,2593.40,82782.73,82782.73,0.00,0.00,0.00,0.00,0.00,104.80,61635.00,0.00,67837.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,37.60,8721.40
10:40:46,42.22,0.00,2.31,0.38,0.00,55.10,64.40,0.00,21104.00,327.70,7.71,119.79,1.32,8.48,64.40,0.00,64.40,0.00,21104.00,14,919,2.37,2.64,1.82,0,32182168,32744928,50.43,58588,27637384,11928248,18.37,5899008,25776232,57104,lo,1209.80,1209.80,41383.99,41383.99,0.00,0.00,0.00,0.00,0.00,10545.60,55789.40,0.00,34508.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.80,10387.60
10:40:51,36.31,0.00,2.69,0.48,0.00,60.52,51.20,0.00,22969.60,448.62,8.62,168.42,1.94,9.92,51.20,0.00,51.20,0.00,22969.60,4,882,2.42,2.65,1.82,0,32511012,32416084,49.93,58612,27639756,10290824,15.85,5570176,25776104,2880,lo,2353.60,2353.60,82758.08,82758.08,0.00,0.00,0.00,0.00,0.00,11484.80,51052.40,0.00,67676.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.80,8503.00
10:40:56,51.19,0.00,2.84,0.03,0.00,45.94,3.60,0.00,166.40,46.22,0.01,1.78,0.44,0.16,3.60,0.00,3.60,0.00,166.40,7,917,2.39,2.64,1.82,0,32170148,32756948,50.45,58628,27641864,11940720,18.39,5909544,25776252,5136,lo,1806.00,1806.00,62072.71,62072.71,0.00,0.00,0.00,0.00,0.00,83.20,69306.60,0.00,52037.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,48.20,11556.20
10:41:01,37.68,0.00,2.58,0.00,0.00,59.74,2.60,0.00,156.80,60.31,0.00,1.85,0.92,0.24,2.60,0.00,2.60,0.00,156.80,4,906,2.60,2.68,1.84,0,32468896,32458200,49.99,58644,27644228,11892560,18.32,5613512,25776072,7544,lo,2377.00,2377.00,82759.18,82759.18,0.00,0.00,0.00,0.00,0.00,78.40,52794.20,0.00,67538.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.20,10160.20
10:41:06,46.88,0.00,2.77,0.00,0.00,50.35,2.00,0.00,142.40,71.20,0.00,1.60,1.20,0.24,2.00,0.00,2.00,0.00,142.40,1,888,2.39,2.63,1.83,0,32252836,32674260,50.32,58656,27646860,10315232,15.89,5825828,25776452,10300,lo,2368.40,2368.40,82757.61,82757.61,0.00,0.00,0.00,0.00,0.00,71.20,61204.20,0.00,50786.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,35.80,9867.80
10:41:11,40.07,0.00,2.18,0.00,0.00,57.75,2.00,0.00,126.40,63.20,0.00,0.80,0.40,0.08,2.00,0.00,2.00,0.00,126.40,8,919,2.84,2.72,1.86,0,32184072,32743024,50.43,58672,27648188,12161508,18.73,5896048,25776212,11652,lo,1218.80,1218.80,41383.67,41383.67,0.00,0.00,0.00,0.00,0.00,63.20,54829.60,0.00,50989.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.40,11360.00
10:41:16,36.93,0.00,2.39,0.00,0.00,60.68,3.60,0.00,176.00,48.89,0.00,0.89,0.22,0.08,3.60,0.00,3.60,0.00,176.00,7,906,2.85,2.73,1.87,0,32465912,32461184,50.00,58684,27650588,11894904,18.32,5617076,25776068,14004,lo,2375.00,2375.00,82757.85,82757.85,0.00,0.00,0.00,0.00,0.00,88.00,53925.80,0.00,67846.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.00,10575.80
10:41:21,45.86,0.00,2.98,0.03,0.00,51.14,17.60,0.00,1387.20,78.82,0.03,1.45,0.18,0.32,17.60,0.00,17.60,0.00,1387.20,0,915,2.62,2.68,1.86,0,31917112,33009984,50.84,58700,27653220,11986136,18.46,6160692,25776428,13436,lo,2357.80,2357.80,82755.88,82755.88,0.00,0.00,0.00,0.00,0.00,693.60,61714.60,0.00,34692.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.00,10052.80
10:41:26,36.43,0.00,2.66,0.00,0.00,60.90,8.80,0.00,1107.20,125.82,0.02,1.91,0.36,0.32,8.80,0.00,8.80,0.00,1107.20,1,884,2.89,2.74,1.88,0,32512184,32414912,49.93,58712,27655124,10268096,15.81,5568656,25776232,13360,lo,1787.00,1787.00,62069.80,62069.80,0.00,0.00,0.00,0.00,0.00,553.60,55104.20,0.00,84611.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,42.20,10979.80
10:41:31,48.61,0.00,3.03,0.00,0.00,48.36,6.00,0.00,1144.00,190.67,0.01,1.87,0.40,0.24,6.00,0.00,6.00,0.00,1144.00,5,916,2.90,2.74,1.89,0,32211944,32715152,50.39,58732,27657128,11845168,18.24,5868276,25776168,13072,lo,1791.40,1791.40,62070.21,62070.21,0.00,0.00,0.00,0.00,0.00,572.00,66737.40,0.00,51471.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.80,12021.00
10:41:36,35.89,0.00,2.79,0.00,0.00,61.32,4.20,0.00,667.20,158.86,0.01,1.71,0.38,0.16,4.20,0.00,4.20,0.00,667.20,2,880,3.39,2.84,1.93,0,32519340,32407756,49.91,58744,27659500,10228468,15.75,5562948,25776028,14248,lo,2368.00,2368.00,82755.85,82755.85,0.00,0.00,0.00,0.00,0.00,333.60,52089.60,0.00,67483.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,36.20,9832.60
10:41:41,48.33,0.00,2.87,0.03,0.00,48.78,5.20,0.00,1129.60,217.23,0.01,2.31,0.62,0.32,5.20,0.00,5.20,0.00,1129.60,5,914,3.52,2.88,1.94,0,32222440,32704656,50.37,58756,27661592,11850772,18.25,5859080,25776144,13996,lo,1785.40,1785.40,62069.25,62069.25,0.00,0.00,0.00,0.00,0.00,564.80,66208.80,0.00,51088.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,47.60,11961.00
