timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:48:00,21.64,0.00,2.76,0.00,0.00,75.60,4.00,0.00,196.80,49.20,0.00,0.80,0.20,0.08,4.00,0.00,4.00,0.00,196.80,4,785,6.97,7.17,5.47,0,50426388,14500708,22.33,52728,10897908,8321736,12.82,4157668,9781924,280,lo,3500.40,3500.40,117929.35,117929.35,0.00,0.00,0.00,0.00,0.00,98.40,33771.00,0.00,326843.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,54.40,6483.20
11:48:05,48.69,0.00,3.30,0.28,0.00,47.74,46.20,0.00,30771.20,666.04,8.02,173.70,2.39,11.04,45.80,0.00,45.80,0.00,30747.20,11,895,6.81,7.13,5.47,0,48618728,16308368,25.12,52740,11051336,10316860,15.89,5881896,9858528,77268,lo,3713.20,3713.20,128194.27,128194.27,0.00,0.00,0.00,0.00,0.00,15384.80,84395.60,0.00,4355.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,26.80,10431.20
11:48:10,84.65,0.00,6.97,0.00,0.00,8.38,2.60,0.00,116.80,44.92,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,99.20,10,896,6.75,7.12,5.47,0,47656392,17270704,26.60,52748,11051372,11250252,17.33,6840356,9858528,77336,lo,28823.40,28823.40,997516.79,997516.79,0.00,0.00,0.00,0.00,0.00,58.40,51651.20,0.00,4904.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,19.40,11428.60
11:48:15,83.52,0.00,4.97,0.00,0.00,11.51,1.40,0.00,86.40,61.71,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,126.40,11,895,7.25,7.21,5.51,3,47520804,17406292,26.81,52756,11117216,11250576,17.33,6918952,9915796,143272,lo,24434.60,24434.60,840666.55,840666.55,0.00,0.00,0.00,0.00,0.00,44.00,4466.80,0.00,3124.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.20,10708.20
11:48:20,88.62,0.00,5.36,0.00,0.00,6.01,1.20,0.00,96.00,80.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,62.40,11,896,7.71,7.31,5.56,0,47352428,17574668,27.07,52764,11263156,11250576,17.33,6955652,10043008,289288,lo,25901.40,25901.40,890705.04,890705.04,0.00,0.00,0.00,0.00,0.00,47.20,2171.40,0.00,3584.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.20,9439.80
11:48:25,78.11,0.00,4.38,0.00,0.00,17.51,3.60,0.00,163.20,45.33,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,196.80,9,911,7.25,7.22,5.54,0,47026028,17901068,27.57,52772,11354188,11298392,17.40,7463052,9860116,380260,lo,16759.08,16759.08,574481.60,574481.60,0.00,0.00,0.00,0.00,0.00,81.60,13385.80,0.00,5701.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.00,10862.20
11:48:30,82.70,0.00,4.56,0.00,0.00,12.74,9.60,0.00,294.40,30.67,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,296.00,12,911,7.47,7.27,5.56,0,47045852,17881244,27.54,52780,11354224,11264468,17.35,7441308,9860112,379664,lo,20134.20,20134.20,700490.75,700490.75,0.00,0.00,0.00,0.00,0.00,147.20,567.80,0.00,3496.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.80,11459.60
11:48:35,82.40,0.00,4.69,0.05,0.00,12.87,45.00,0.00,30785.60,684.12,11.33,251.70,2.77,12.48,45.00,0.00,45.00,0.00,30785.60,9,907,7.51,7.28,5.57,0,47021900,17905196,27.58,52788,11354276,11302928,17.41,7467656,9860112,302944,lo,20596.00,20596.00,710301.87,710301.87,0.00,0.00,0.00,0.00,0.00,15392.80,2482.40,0.00,3113.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,11515.80
11:48:40,78.98,0.00,2.72,0.00,0.00,18.31,3.40,0.00,131.20,38.59,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,129.60,9,909,7.55,7.29,5.59,0,46894528,18032568,27.77,52796,11455924,11302928,17.41,7502176,9947016,404592,lo,10261.40,10261.40,351521.47,351521.47,0.00,0.00,0.00,0.00,0.00,65.60,1437.20,0.00,1373.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.40,7471.40
11:48:45,86.38,0.00,3.56,0.00,0.00,10.06,14.20,0.00,15129.60,1065.46,1.85,130.08,4.39,6.24,14.20,0.00,14.20,0.00,15129.60,10,911,7.59,7.30,5.60,0,46771844,18155252,27.96,52804,11589784,11301840,17.41,7505928,10065088,501052,lo,15104.40,15104.40,522126.59,522126.59,0.00,0.00,0.00,0.00,0.00,7564.80,137.40,0.00,2160.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,10.20,9235.60
