timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
11:08:11,87.98,0.00,2.71,2.71,0.00,6.61,165.80,0.00,3217.60,19.41,0.07,0.42,0.36,6.00,164.80,0.00,164.80,0.00,3185.60,3,665,3.08,3.10,2.88,0,1642440,14514388,89.83,70168,11784044,4383740,27.13,3470452,10603188,1628,lo,4.20,4.20,0.53,0.53,0.00,0.00,0.00,0.00,0.00,1608.80,11724.60,0.00,776.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,3521.80
11:08:16,85.15,0.00,1.92,2.42,0.00,10.51,160.80,0.00,2942.40,18.30,0.07,0.43,0.40,6.48,161.80,0.00,161.80,0.00,2974.40,2,667,3.08,3.09,2.89,0,1554244,14602584,90.38,71148,11785704,4525112,28.01,3558436,10603416,1828,lo,30.20,30.20,6.13,6.13,0.00,0.00,0.00,0.00,0.00,1471.20,4470.60,0.00,160.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.80,3366.20
11:08:21,71.33,0.00,3.82,0.10,0.00,24.75,12.40,0.00,206.40,16.65,0.00,0.00,0.00,0.00,12.40,0.00,12.40,0.00,206.40,2,706,3.07,3.09,2.89,0,1281812,14875016,92.07,71148,11820640,5016964,31.05,3796512,10635972,36916,lo,322.80,322.80,6982.81,6982.81,0.00,0.00,0.00,0.00,0.00,103.20,13546.80,0.00,1970.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,24.80,3761.40
11:08:26,69.42,0.00,3.42,0.00,0.00,27.16,4.60,0.00,148.80,32.35,0.00,0.17,0.17,0.08,4.60,0.00,4.60,0.00,148.80,6,789,2.82,3.04,2.87,0,1006288,15150540,93.77,71152,11821168,5745000,35.56,4068160,10636328,37476,lo,41.40,41.40,55.35,55.35,0.00,0.00,0.00,0.00,0.00,74.40,15724.60,0.00,1826.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.40,3813.80
11:08:31,95.60,0.00,4.20,0.00,0.00,0.20,2.60,0.00,179.20,68.92,0.00,0.62,0.31,0.08,2.60,0.00,2.60,0.00,179.20,6,807,3.16,3.11,2.89,0,603548,15553280,96.26,71156,11821660,5830644,36.09,4471724,10634584,37660,lo,92.40,92.40,769.30,769.30,0.00,0.00,0.00,0.00,0.00,89.60,20671.00,0.00,598.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.00,3106.20
11:08:36,98.00,0.00,1.90,0.00,0.00,0.10,2.59,0.00,223.55,86.15,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,224.00,3,804,3.23,3.12,2.90,0,563168,15593660,96.51,71160,11821696,5894008,36.48,4511076,10634424,37248,lo,291.60,291.60,8878.54,8878.54,0.00,0.00,0.00,0.00,0.00,112.00,3202.80,0.00,1265.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3123.80
11:08:41,97.60,0.00,2.20,0.00,0.00,0.20,5.60,0.00,172.80,30.86,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,172.80,2,802,3.21,3.12,2.90,0,581312,15575516,96.40,71160,11821704,5894008,36.48,4492732,10634424,37000,lo,783.60,783.60,24062.16,24062.16,0.00,0.00,0.00,0.00,0.00,86.40,173.20,0.00,1142.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3421.80
11:08:46,97.10,0.00,2.70,0.00,0.00,0.20,16.80,0.00,428.80,25.52,0.00,0.19,0.05,0.08,16.80,0.00,16.80,0.00,428.80,2,792,3.43,3.17,2.92,0,835172,15321656,94.83,71160,11824564,5809828,35.96,4239796,10634200,39228,lo,722.20,722.20,21519.64,21519.64,0.00,0.00,0.00,0.00,0.00,214.40,1777.20,0.00,14541.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.20,3784.60
11:08:51,93.78,0.00,4.61,0.00,0.00,1.60,36.00,0.00,7134.40,198.18,1.66,46.00,0.67,2.40,36.00,0.00,36.00,0.00,7134.40,5,806,3.56,3.20,2.93,0,733164,15423664,95.46,71164,11824896,5775452,35.75,4341708,10634376,22248,lo,59.80,59.80,412.78,412.78,0.00,0.00,0.00,0.00,0.00,3567.20,19757.00,0.00,14452.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,11.00,3916.60
11:08:56,97.90,0.00,2.10,0.00,0.00,0.00,35.80,0.00,7174.40,200.40,1.72,48.07,0.65,2.32,35.80,0.00,35.80,0.00,7174.40,5,812,3.59,3.21,2.93,0,555604,15601224,96.56,71172,11824920,5875448,36.37,4517800,10634376,4484,lo,214.80,214.80,6045.51,6045.51,0.00,0.00,0.00,0.00,0.00,3587.20,9869.60,0.00,1079.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,1.00,2953.60
11:09:01,97.80,0.00,2.10,0.00,0.00,0.10,1.20,0.00,72.00,60.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,72.00,2,811,3.63,3.22,2.94,0,558048,15598780,96.55,71176,11825000,5875448,36.37,4515228,10634484,4432,lo,742.20,742.20,22685.64,22685.64,0.00,0.00,0.00,0.00,0.00,36.00,204.60,0.00,385.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3532.20
11:09:06,98.10,0.00,1.70,0.00,0.00,0.20,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,4,808,3.50,3.20,2.94,0,558284,15598544,96.54,71176,11825020,5875448,36.37,4515476,10634492,4460,lo,786.20,786.20,23939.81,23939.81,0.00,0.00,0.00,0.00,0.00,9.60,123.20,0.00,169.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3364.40
11:09:11,93.28,0.00,4.11,0.00,0.00,2.61,2.60,0.00,145.60,56.00,0.01,2.15,0.92,0.24,2.60,0.00,2.60,0.00,145.60,5,805,3.54,3.22,2.94,0,853132,15303696,94.72,71188,11827932,5752700,35.61,4222484,10634272,7336,lo,110.20,110.20,2106.30,2106.30,0.00,0.00,0.00,0.00,0.00,72.80,14692.20,0.00,29274.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,20.20,4352.80
11:09:16,97.10,0.00,2.90,0.00,0.00,0.00,2.80,0.00,57.60,20.57,0.00,0.29,0.29,0.08,2.80,0.00,2.80,0.00,57.60,3,813,3.65,3.25,2.95,0,542480,15614348,96.64,71192,11828196,5859504,36.27,4531488,10634508,7604,lo,235.00,235.00,6272.12,6272.12,0.00,0.00,0.00,0.00,0.00,28.80,16104.40,0.00,666.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.40,3055.80
11:09:21,98.00,0.00,2.00,0.00,0.00,0.00,17.80,0.00,1476.80,82.97,0.08,4.31,0.09,0.16,17.80,0.00,17.80,0.00,1476.80,3,810,3.60,3.24,2.95,0,544792,15612036,96.63,71200,11828188,5859504,36.27,4529760,10634508,4104,lo,660.00,660.00,20108.10,20108.10,0.00,0.00,0.00,0.00,0.00,738.40,784.00,0.00,882.20,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,3442.80
11:09:26,98.10,0.00,1.80,0.00,0.00,0.10,0.80,0.00,51.20,64.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,51.20,2,809,3.47,3.22,2.95,0,543816,15613012,96.63,71208,11828252,5859504,36.27,4530008,10634532,4192,lo,767.80,767.80,23263.09,23263.09,0.00,0.00,0.00,0.00,0.00,25.60,92.80,0.00,122.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,2.60,3460.40
11:09:31,90.98,0.00,4.21,0.00,0.00,4.81,2.40,0.00,140.80,58.67,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,140.80,4,800,3.59,3.25,2.96,0,863216,15293612,94.66,71212,11831228,5761168,35.66,4212168,10634320,7120,lo,216.20,216.20,5597.91,5597.91,0.00,0.00,0.00,0.00,0.00,70.40,13167.80,0.00,28972.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.00,4155.20
