timestamp,%user,%nice,%system,%iowait,%steal,%idle,tps,rd_sec/s,wr_sec/s,avgrq-sz,avgqu-sz,await,svctm,%util,tps,rtps,wtps,bread/s,bwrtn/s,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,pswpin/s,pswpout/sf,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,proc/s,cswch/s
00:01:57,57.09,0.00,5.33,0.10,0.00,37.49,19.60,0.00,1745.60,89.06,0.07,3.63,0.24,0.48,19.60,0.00,19.60,0.00,1745.60,3,696,2.43,2.76,2.72,0,2320576,13836252,85.64,110632,10708696,4887668,30.25,7266436,6080104,856,lo,21.40,21.40,10.02,10.02,0.00,0.00,0.00,0.00,0.00,835.20,19823.40,0.00,60206.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.60,3801.00
00:02:02,84.89,0.00,5.04,0.00,0.00,10.07,15.80,0.00,326.40,20.66,0.00,0.15,0.15,0.24,15.80,0.00,15.80,0.00,326.40,3,706,2.48,2.77,2.72,0,2830588,13326240,82.48,110636,10215188,4723476,29.24,7251272,5586528,10152,lo,151.00,151.00,1681.24,1681.24,0.00,0.00,0.00,0.00,0.00,135.20,19604.60,0.00,46161.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,21.00,3590.40
00:02:07,66.26,0.00,2.92,0.00,0.00,30.82,3.40,0.00,107.20,31.53,0.00,0.47,0.47,0.16,3.40,0.00,3.40,0.00,107.20,6,800,2.60,2.79,2.73,0,2554152,13602676,84.19,110640,10215540,5488424,33.97,7524244,5586780,10720,lo,43.60,43.60,30.43,30.43,0.00,0.00,0.00,0.00,0.00,107.20,16274.20,0.00,2335.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.20,3877.00
00:02:12,96.50,0.00,3.40,0.00,0.00,0.10,2.20,0.00,75.20,34.18,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,75.20,2,816,2.71,2.81,2.74,0,2151392,14005436,86.68,110644,10215808,5550480,34.35,7921284,5587000,10984,lo,191.20,191.20,4673.38,4673.38,0.00,0.00,0.00,0.00,0.00,63.20,20409.20,0.00,295.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2395.20
00:02:17,99.10,0.00,0.70,0.00,0.00,0.20,1.40,0.00,36.80,26.29,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,36.80,2,814,2.66,2.79,2.73,0,2143240,14013588,86.73,110656,10215808,5550480,34.35,7930748,5586992,10996,lo,288.60,288.60,8374.46,8374.46,0.00,0.00,0.00,0.00,0.00,27.20,552.20,0.00,120.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,17.40,4330.00
00:02:22,88.28,0.00,5.01,0.00,0.00,6.71,3.00,0.00,145.60,48.53,0.00,0.27,0.27,0.08,3.00,0.00,3.00,0.00,145.60,4,806,2.68,2.80,2.73,0,2348600,13808228,85.46,110664,10275388,5503332,34.06,7726036,5586800,70536,lo,49.00,49.00,12.39,12.39,0.00,0.00,0.00,0.00,0.00,40.00,12275.20,0.00,25294.80,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,4.40,3173.40
00:02:27,97.70,0.00,2.20,0.00,0.00,0.10,2.20,0.00,150.40,68.36,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,150.40,3,822,2.63,2.78,2.73,0,2077372,14079456,87.14,110672,10275640,5550064,34.35,7995072,5587040,70584,lo,450.60,450.60,13042.41,13042.41,0.00,0.00,0.00,0.00,0.00,102.40,13774.60,0.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,13.40,2844.20
00:02:32,95.30,0.00,2.80,0.00,0.00,1.90,58.60,0.00,3803.20,64.90,1.23,21.00,0.37,2.16,58.60,0.00,58.60,0.00,3803.20,1,785,2.90,2.84,2.75,0,2438452,13718376,84.91,110676,10335128,5233400,32.39,7636004,5586828,120936,lo,38.80,38.80,8.54,8.54,0.00,0.00,0.00,0.00,0.00,1858.40,3880.60,0.00,24844.40,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,7.80,4245.60
00:02:37,94.31,0.00,4.70,0.00,0.00,1.00,7.80,0.00,492.80,63.18,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,492.80,3,826,2.83,2.82,2.74,0,2019680,14137148,87.50,110688,10335460,5556084,34.39,8053488,5587052,120608,lo,193.00,193.00,4613.23,4613.23,0.00,0.00,0.00,0.00,0.00,256.80,21634.00,0.00,519.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,0.00,2755.40
00:02:42,99.10,0.00,0.80,0.00,0.00,0.10,1.60,0.00,92.80,58.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,92.80,2,826,2.76,2.81,2.74,0,2016380,14140448,87.52,110692,10335468,5556084,34.39,8057320,5587052,120560,lo,290.20,290.20,8428.21,8428.21,0.00,0.00,0.00,0.00,0.00,80.00,287.00,0.00,130.60,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0.00,16.40,4525.40
